,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
45,1976,5-9 (35.7%),7-7 (50.0%),3-0 (100.0%),2-1 (66.7%),4-3 (57.1%),4-3 (57.1%),3-0 (100.0%),2-1 (66.7%),1-3 (25.0%),2-2 (50.0%),0-0 (0.0%)
46,1975,4-10 (28.6%),8-6 (57.1%),3-2 (60.0%),3-2 (60.0%),3-4 (42.9%),4-3 (57.1%),3-1 (75.0%),3-1 (75.0%),0-3 (0.0%),1-2 (33.3%),0-0 (0.0%)
47,1974,6-8 (42.9%),5-8-1 (38.5%),4-3 (57.1%),2-5 (28.6%),4-3 (57.1%),3-4 (42.9%),3-0 (100.0%),2-1 (66.7%),1-3 (25.0%),1-3 (25.0%),0-0 (0.0%)
48,1973,5-7-2 (41.7%),4-10 (28.6%),5-2-2 (71.4%),4-5 (44.4%),3-2-2 (60.0%),3-4 (42.9%),3-1-2 (75.0%),3-3 (50.0%),0-1 (0.0%),0-1 (0.0%),0-0 (0.0%)
49,1972,10-4 (71.4%),10-4 (71.4%),4-1 (80.0%),3-2 (60.0%),4-3 (57.1%),3-4 (42.9%),1-1 (50.0%),0-2 (0.0%),3-2 (60.0%),3-2 (60.0%),0-0 (0.0%)
50,1971,4-8-2 (33.3%),7-7 (50.0%),2-2-1 (50.0%),2-3 (40.0%),3-3-1 (50.0%),3-4 (42.9%),2-2-1 (50.0%),2-3 (40.0%),1-1 (50.0%),1-1 (50.0%),0-0 (0.0%)
51,1970,6-8 (42.9%),5-9 (35.7%),5-1 (83.3%),2-4 (33.3%),4-3 (57.1%),3-4 (42.9%),3-1 (75.0%),1-3 (25.0%),1-2 (33.3%),2-1 (66.7%),0-0 (0.0%)
52,1969,8-6 (57.1%),7-7 (50.0%),6-1 (85.7%),4-3 (57.1%),5-2 (71.4%),5-2 (71.4%),5-1 (83.3%),4-2 (66.7%),0-1 (0.0%),1-0 (100.0%),0-0 (0.0%)
53,1968,6-7-1 (46.2%),5-8-1 (38.5%),4-6-1 (40.0%),3-7-1 (30.0%),2-5 (28.6%),1-5-1 (16.7%),2-4 (33.3%),1-4-1 (20.0%),0-1 (0.0%),0-1 (0.0%),0-0 (0.0%)
54,1967,9-4-1 (69.2%),6-8 (42.9%),9-2-1 (81.8%),5-7 (41.7%),4-2-1 (66.7%),2-5 (28.6%),4-2-1 (66.7%),2-5 (28.6%),0-0 (0.0%),0-0 (0.0%),0-0 (0.0%)
55,1966,12-2 (85.7%),9-5 (64.3%),11-2 (84.6%),8-5 (61.5%),6-1 (85.7%),4-3 (57.1%),6-1 (85.7%),4-3 (57.1%),0-0 (0.0%),0-0 (0.0%),0-0 (0.0%)
56,1965,11-3-1 (78.6%),6-9 (40.0%),10-3-1 (76.9%),5-9 (35.7%),7-1 (87.5%),2-6 (25.0%),7-1 (87.5%),2-6 (25.0%),0-0 (0.0%),0-0 (0.0%),0-0 (0.0%)
57,1964,8-5-1 (61.5%),6-8 (42.9%),8-4-1 (66.7%),6-7 (46.2%),4-3 (57.1%),3-4 (42.9%),4-3 (57.1%),3-4 (42.9%),0-0 (0.0%),0-0 (0.0%),0-0 (0.0%)
58,1963,11-2-1 (84.6%),7-7 (50.0%),11-2-1 (84.6%),7-7 (50.0%),6-1 (85.7%),4-3 (57.1%),6-1 (85.7%),4-3 (57.1%),0-0 (0.0%),0-0 (0.0%),0-0 (0.0%)
59,1962,13-1 (92.9%),8-5-1 (61.5%),13-1 (92.9%),8-5-1 (61.5%),7-0 (100.0%),5-2 (71.4%),7-0 (100.0%),5-2 (71.4%),0-0 (0.0%),0-0 (0.0%),0-0 (0.0%)
60,1961,11-3 (78.6%),9-5 (64.3%),10-3 (76.9%),8-5 (61.5%),6-1 (85.7%),5-2 (71.4%),6-1 (85.7%),5-2 (71.4%),0-0 (0.0%),0-0 (0.0%),0-0 (0.0%)
61,1960,8-4 (66.7%),7-4-1 (63.6%),6-3 (66.7%),5-3-1 (62.5%),4-2 (66.7%),4-2 (66.7%),3-2 (60.0%),3-2 (60.0%),1-0 (100.0%),1-0 (100.0%),0-0 (0.0%)
62,1959,7-5 (58.3%),7-5 (58.3%),3-0 (100.0%),2-1 (66.7%),4-2 (66.7%),4-2 (66.7%),3-0 (100.0%),2-1 (66.7%),1-2 (33.3%),2-1 (66.7%),0-0 (0.0%)
63,1958,1-10-1 (9.1%),4-7-1 (36.4%),1-0 (100.0%),1-0 (100.0%),1-4-1 (20.0%),2-4 (33.3%),1-0 (100.0%),1-0 (100.0%),0-4-1 (0.0%),1-4 (20.0%),0-0 (0.0%)
64,1957,3-9 (25.0%),6-6 (50.0%),0-2 (0.0%),0-2 (0.0%),1-5 (16.7%),2-4 (33.3%),0-2 (0.0%),0-2 (0.0%),1-2 (33.3%),2-1 (66.7%),0-0 (0.0%)
65,1956,4-8 (33.3%),4-8 (33.3%),0-4 (0.0%),0-4 (0.0%),2-4 (33.3%),2-4 (33.3%),0-3 (0.0%),0-3 (0.0%),2-1 (66.7%),2-1 (66.7%),0-0 (0.0%)
66,1955,6-6 (50.0%),6-5-1 (54.5%),2-1 (66.7%),2-1 (66.7%),5-1 (83.3%),5-1 (83.3%),2-1 (66.7%),2-1 (66.7%),3-0 (100.0%),3-0 (100.0%),0-0 (0.0%)
67,1954,4-8 (33.3%),6-6 (50.0%),2-1 (66.7%),0-3 (0.0%),2-4 (33.3%),3-3 (50.0%),1-1 (50.0%),0-2 (0.0%),1-3 (25.0%),3-1 (75.0%),0-0 (0.0%)
68,1953,2-9-1 (18.2%),5-7 (41.7%),0-0 (0.0%),0-0 (0.0%),1-5 (16.7%),2-4 (33.3%),0-0 (0.0%),0-0 (0.0%),1-5 (16.7%),2-4 (33.3%),0-0 (0.0%)
69,1952,6-6 (50.0%),5-4 (55.6%),1-1 (50.0%),1-1 (50.0%),3-3 (50.0%),3-1 (75.0%),1-0 (100.0%),1-0 (100.0%),0-2 (0.0%),1-1 (50.0%),0-0 (0.0%)
