,Week #,Day,Date,Time (ET),,Opponent,Score,Spread,Total,Notes
0,1,Sun,"Sep 12, 2021",8:20,@,Los Angeles Rams,L 14-34,L +8,O 46.5,
1,2,Sun,"Sep 19, 2021",1:00,,Cincinnati Bengals,W 20-17,W -1.5,U 44.5,
2,3,Sun,"Sep 26, 2021",1:00,@,Cleveland Browns,L 6-26,L +7.5,U 44.5,
3,4,Sun,"Oct 3, 2021",1:00,,Detroit Lions,W 24-14,W -3,U 41.5,
4,5,Sun,"Oct 10, 2021",4:04,@,Las Vegas Raiders,W 20-9,W +5.5,U 45.5,
5,6,Sun,"Oct 17, 2021",1:00,,Green Bay Packers,L 14-24,L +6,U 44,
6,7,Sun,"Oct 24, 2021",4:25,@,Tampa Bay Buccaneers,L 3-38,L +11.5,U 47,
7,8,Sun,"Oct 31, 2021",1:00,,San Francisco 49ers,L 22-33,L +4,O 39.5,
8,9,Mon,"Nov 8, 2021",8:15,@,Pittsburgh Steelers,L 27-29,W +6.5,O 38.5,
9,11,Sun,"Nov 21, 2021",1:00,,Baltimore Ravens,L 13-16,W +5,U 43.5,
10,12,Thu,"Nov 25, 2021",12:30,@,Detroit Lions,W 16-14,L -3,U 41,
11,13,Sun,"Dec 5, 2021",1:00,,Arizona Cardinals,L 22-33,L +7.5,O 42,
12,14,Sun,"Dec 12, 2021",8:20,@,Green Bay Packers,L 30-45,L +11.5,O 43,
13,15,Mon,"Dec 20, 2021",8:15,,Minnesota Vikings,L 9-17,L +6.5,U 44.5,
14,16,Sun,"Dec 26, 2021",4:04,@,Seattle Seahawks,W 25-24,W +6.5,O 41.5,
15,17,Sun,"Jan 2, 2022",1:00,,New York Giants,W 29-3,W -6.5,U 36.5,
16,18,Sun,"Jan 9, 2022",1:00,@,Minnesota Vikings,L 17-31,L +4,O 44.5,
