,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,7-10 (41.2%),7-10 (41.2%),3-1 (75.0%),2-2 (50.0%),3-5 (37.5%),3-5 (37.5%),1-1 (50.0%),0-2 (0.0%),1-4 (20.0%),2-3 (40.0%),7-10 (41.2%)
1,2020,7-9 (43.8%),9-7 (56.3%),2-1 (66.7%),1-2 (33.3%),3-5 (37.5%),5-3 (62.5%),1-1 (50.0%),1-1 (50.0%),2-4 (33.3%),4-2 (66.7%),5-11 (31.3%)
2,2019,3-13 (18.8%),6-10 (37.5%),1-1 (50.0%),0-2 (0.0%),1-7 (12.5%),2-6 (25.0%),0-1 (0.0%),0-1 (0.0%),1-6 (14.3%),2-5 (28.6%),8-8 (50.0%)
3,2018,7-9 (43.8%),9-7 (56.3%),1-2 (33.3%),1-2 (33.3%),3-5 (37.5%),4-4 (50.0%),0-2 (0.0%),0-2 (0.0%),3-3 (50.0%),4-2 (66.7%),7-9 (43.8%)
4,2017,7-9 (43.8%),7-9 (43.8%),4-2 (66.7%),3-3 (50.0%),5-3 (62.5%),4-4 (50.0%),4-0 (100.0%),3-1 (75.0%),1-3 (25.0%),1-3 (25.0%),8-8 (50.0%)
5,2016,8-7-1 (53.3%),10-6 (62.5%),5-4 (55.6%),5-4 (55.6%),4-4 (50.0%),4-4 (50.0%),3-3 (50.0%),3-3 (50.0%),1-1 (50.0%),1-1 (50.0%),12-4 (75.0%)
6,2015,9-7 (56.3%),9-7 (56.3%),1-1 (50.0%),0-2 (0.0%),6-2 (75.0%),5-3 (62.5%),1-1 (50.0%),0-2 (0.0%),5-1 (83.3%),5-1 (83.3%),9-7 (56.3%)
7,2014,4-12 (25.0%),5-11 (31.3%),2-2 (50.0%),1-3 (25.0%),3-5 (37.5%),2-6 (25.0%),2-2 (50.0%),1-3 (25.0%),1-3 (25.0%),1-3 (25.0%),7-8-1 (46.7%)
8,2013,3-13 (18.8%),5-11 (31.3%),1-3 (25.0%),1-3 (25.0%),2-6 (25.0%),3-5 (37.5%),0-2 (0.0%),0-2 (0.0%),1-4 (20.0%),2-3 (40.0%),8-8 (50.0%)
9,2012,10-6 (62.5%),11-5 (68.8%),4-3 (57.1%),4-3 (57.1%),5-3 (62.5%),5-3 (62.5%),3-2 (60.0%),3-2 (60.0%),2-1 (66.7%),2-1 (66.7%),9-7 (56.3%)
10,2011,5-11 (31.3%),7-9 (43.8%),2-1 (66.7%),1-2 (33.3%),2-6 (25.0%),3-5 (37.5%),1-1 (50.0%),0-2 (0.0%),1-5 (16.7%),3-3 (50.0%),7-9 (43.8%)
11,2010,6-10 (37.5%),9-5-2 (64.3%),0-1 (0.0%),0-1 (0.0%),2-6 (25.0%),4-2-2 (66.7%),0-0 (0.0%),0-0 (0.0%),2-6 (25.0%),4-2-2 (66.7%),6-10 (37.5%)
12,2009,4-12 (25.0%),6-8-2 (42.9%),3-2 (60.0%),1-4 (20.0%),3-5 (37.5%),2-6 (25.0%),2-1 (66.7%),0-3 (0.0%),1-4 (20.0%),2-3 (40.0%),9-7 (56.3%)
