,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,7-10 (41.2%),8-9 (47.1%),5-4 (55.6%),5-4 (55.6%),4-5 (44.4%),5-4 (55.6%),3-3 (50.0%),3-3 (50.0%),1-2 (33.3%),2-1 (66.7%),5-12 (29.4%)
1,2020,5-11 (31.3%),9-7 (56.3%),0-0 (0.0%),0-0 (0.0%),2-6 (25.0%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),2-6 (25.0%),4-4 (50.0%),8-8 (50.0%)
2,2019,7-9 (43.8%),9-7 (56.3%),3-2 (60.0%),2-3 (40.0%),5-3 (62.5%),5-3 (62.5%),3-1 (75.0%),2-2 (50.0%),2-2 (50.0%),3-1 (75.0%),7-9 (43.8%)
3,2018,6-10 (37.5%),6-9-1 (40.0%),4-4 (50.0%),2-5-1 (28.6%),3-5 (37.5%),2-5-1 (28.6%),2-2 (50.0%),0-3-1 (0.0%),1-3 (25.0%),2-2 (50.0%),3-12-1 (20.0%)
4,2017,5-11 (31.3%),4-11-1 (26.7%),3-6 (33.3%),2-6-1 (25.0%),4-4 (50.0%),3-4-1 (42.9%),2-3 (40.0%),1-3-1 (25.0%),2-1 (66.7%),2-1 (66.7%),8-8 (50.0%)
5,2016,9-7 (56.3%),9-7 (56.3%),6-3 (66.7%),6-3 (66.7%),5-3 (62.5%),5-3 (62.5%),4-2 (66.7%),4-2 (66.7%),1-1 (50.0%),1-1 (50.0%),7-9 (43.8%)
6,2015,12-4 (75.0%),8-7-1 (53.3%),9-3 (75.0%),5-6-1 (45.5%),6-2 (75.0%),3-4-1 (42.9%),4-2 (66.7%),1-4-1 (20.0%),2-0 (100.0%),2-0 (100.0%),7-8-1 (46.7%)
7,2014,12-4 (75.0%),8-8 (50.0%),11-3 (78.6%),7-7 (50.0%),8-0 (100.0%),4-4 (50.0%),8-0 (100.0%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),9-6-1 (60.0%)
8,2013,13-3 (81.3%),10-6 (62.5%),13-3 (81.3%),10-6 (62.5%),7-1 (87.5%),5-3 (62.5%),7-1 (87.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),11-5 (68.8%)
9,2012,13-3 (81.3%),11-5 (68.8%),12-0 (100.0%),10-2 (83.3%),7-1 (87.5%),6-2 (75.0%),7-0 (100.0%),6-1 (85.7%),0-1 (0.0%),0-1 (0.0%),10-6 (62.5%)
10,2011,8-8 (50.0%),7-9 (43.8%),3-3 (50.0%),1-5 (16.7%),3-5 (37.5%),1-7 (12.5%),2-2 (50.0%),0-4 (0.0%),1-3 (25.0%),1-3 (25.0%),9-7 (56.3%)
11,2010,4-12 (25.0%),5-11 (31.3%),1-3 (25.0%),1-3 (25.0%),3-5 (37.5%),3-5 (37.5%),1-2 (33.3%),1-2 (33.3%),2-3 (40.0%),2-3 (40.0%),10-6 (62.5%)
12,2009,8-8 (50.0%),9-7 (56.3%),3-3 (50.0%),3-3 (50.0%),4-4 (50.0%),4-4 (50.0%),1-2 (33.3%),1-2 (33.3%),3-2 (60.0%),3-2 (60.0%),7-9 (43.8%)
13,2008,8-8 (50.0%),4-11-1 (26.7%),5-5 (50.0%),1-8-1 (11.1%),4-4 (50.0%),0-7-1 (0.0%),4-4 (50.0%),0-7-1 (0.0%),0-0 (0.0%),0-0 (0.0%),8-7-1 (53.3%)
14,2007,7-9 (43.8%),5-11 (31.3%),3-4 (42.9%),1-6 (14.3%),5-3 (62.5%),4-4 (50.0%),2-2 (50.0%),1-3 (25.0%),2-1 (66.7%),2-1 (66.7%),12-4 (75.0%)
15,2006,9-7 (56.3%),5-11 (31.3%),7-5 (58.3%),3-9 (25.0%),4-4 (50.0%),1-7 (12.5%),4-4 (50.0%),1-7 (12.5%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
16,2005,13-3 (81.3%),11-4-1 (73.3%),10-1 (90.9%),7-3-1 (70.0%),8-0 (100.0%),5-2-1 (71.4%),8-0 (100.0%),5-2-1 (71.4%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
17,2004,10-6 (62.5%),7-7-2 (50.0%),10-5 (66.7%),7-7-1 (50.0%),6-2 (75.0%),4-4 (50.0%),6-2 (75.0%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),6-9-1 (40.0%)
18,2003,10-6 (62.5%),8-8 (50.0%),9-2 (81.8%),6-5 (54.5%),6-2 (75.0%),3-5 (37.5%),6-2 (75.0%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),7-9 (43.8%)
19,2002,9-7 (56.3%),7-8-1 (46.7%),6-6 (50.0%),4-7-1 (36.4%),5-3 (62.5%),4-4 (50.0%),4-3 (57.1%),3-4 (42.9%),1-0 (100.0%),1-0 (100.0%),7-8-1 (46.7%)
20,2001,8-8 (50.0%),7-9 (43.8%),8-5 (61.5%),7-6 (53.8%),6-2 (75.0%),6-2 (75.0%),6-2 (75.0%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),7-9 (43.8%)
21,2000,11-5 (68.8%),9-6-1 (60.0%),8-4 (66.7%),5-6-1 (45.5%),6-2 (75.0%),3-4-1 (42.9%),6-2 (75.0%),3-4-1 (42.9%),0-0 (0.0%),0-0 (0.0%),13-3 (81.3%)
22,1999,6-10 (37.5%),9-7 (56.3%),2-5 (28.6%),2-5 (28.6%),3-5 (37.5%),3-5 (37.5%),2-4 (33.3%),2-4 (33.3%),1-1 (50.0%),1-1 (50.0%),7-9 (43.8%)
23,1998,14-2 (87.5%),9-7 (56.3%),14-2 (87.5%),9-7 (56.3%),8-0 (100.0%),5-3 (62.5%),8-0 (100.0%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),12-4 (75.0%)
24,1997,12-4 (75.0%),9-7 (56.3%),12-2 (85.7%),9-5 (64.3%),8-0 (100.0%),7-1 (87.5%),8-0 (100.0%),7-1 (87.5%),0-0 (0.0%),0-0 (0.0%),11-4-1 (73.3%)
25,1996,13-3 (81.3%),9-6-1 (60.0%),11-1 (91.7%),6-5-1 (54.5%),8-0 (100.0%),4-3-1 (57.1%),8-0 (100.0%),4-3-1 (57.1%),0-0 (0.0%),0-0 (0.0%),6-10 (37.5%)
26,1995,8-8 (50.0%),6-9-1 (40.0%),5-5 (50.0%),2-8 (20.0%),6-2 (75.0%),3-5 (37.5%),5-2 (71.4%),2-5 (28.6%),1-0 (100.0%),1-0 (100.0%),9-7 (56.3%)
27,1994,7-9 (43.8%),4-10-2 (28.6%),4-5 (44.4%),1-7-1 (12.5%),4-4 (50.0%),1-6-1 (14.3%),4-4 (50.0%),1-6-1 (14.3%),0-0 (0.0%),0-0 (0.0%),8-7-1 (53.3%)
28,1993,9-7 (56.3%),9-5-2 (64.3%),7-3 (70.0%),7-3 (70.0%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),11-5 (68.8%)
29,1992,8-8 (50.0%),8-7-1 (53.3%),7-1 (87.5%),5-2-1 (71.4%),7-1 (87.5%),6-1-1 (85.7%),6-0 (100.0%),4-1-1 (80.0%),1-1 (50.0%),2-0 (100.0%),8-7-1 (53.3%)
30,1991,12-4 (75.0%),9-4-3 (69.2%),8-1 (88.9%),3-3-3 (50.0%),7-1 (87.5%),4-2-2 (66.7%),6-1 (85.7%),3-2-2 (60.0%),1-0 (100.0%),1-0 (100.0%),5-11 (31.3%)
31,1990,5-11 (31.3%),4-11-1 (26.7%),4-4 (50.0%),2-6 (25.0%),4-4 (50.0%),2-6 (25.0%),4-2 (66.7%),2-4 (33.3%),0-2 (0.0%),0-2 (0.0%),9-6-1 (60.0%)
32,1989,11-5 (68.8%),11-5 (68.8%),7-3 (70.0%),6-4 (60.0%),6-2 (75.0%),5-3 (62.5%),6-2 (75.0%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),5-9-2 (35.7%)
33,1988,8-8 (50.0%),8-8 (50.0%),4-4 (50.0%),3-5 (37.5%),6-2 (75.0%),5-3 (62.5%),3-2 (60.0%),2-3 (40.0%),2-0 (100.0%),2-0 (100.0%),8-8 (50.0%)
34,1987,10-4-1 (71.4%),7-7-1 (50.0%),9-2-1 (81.8%),6-5-1 (54.5%),7-1 (87.5%),5-2-1 (71.4%),6-1 (85.7%),4-2-1 (66.7%),1-0 (100.0%),1-0 (100.0%),6-6 (50.0%)
35,1986,11-5 (68.8%),8-7-1 (53.3%),10-3 (76.9%),7-6 (53.8%),7-1 (87.5%),4-4 (50.0%),7-1 (87.5%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),8-6-2 (57.1%)
36,1985,11-5 (68.8%),9-7 (56.3%),8-2 (80.0%),5-5 (50.0%),6-2 (75.0%),4-4 (50.0%),5-1 (83.3%),3-3 (50.0%),1-1 (50.0%),1-1 (50.0%),8-8 (50.0%)
