,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,10-7 (58.8%),10-7 (58.8%),8-4 (66.7%),7-5 (58.3%),4-5 (44.4%),5-4 (55.6%),4-3 (57.1%),4-3 (57.1%),0-2 (0.0%),1-1 (50.0%),9-8 (52.9%)
1,2020,7-9 (43.8%),7-9 (43.8%),4-4 (50.0%),3-5 (37.5%),5-3 (62.5%),5-3 (62.5%),3-2 (60.0%),3-2 (60.0%),2-1 (66.7%),2-1 (66.7%),5-11 (31.3%)
2,2019,12-4 (75.0%),8-7-1 (53.3%),12-4 (75.0%),8-7-1 (53.3%),6-2 (75.0%),3-4-1 (42.9%),6-2 (75.0%),3-4-1 (42.9%),0-0 (0.0%),0-0 (0.0%),7-9 (43.8%)
3,2018,11-5 (68.8%),9-7 (56.3%),11-5 (68.8%),9-7 (56.3%),8-0 (100.0%),6-2 (75.0%),8-0 (100.0%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),5-11 (31.3%)
4,2017,13-3 (81.3%),11-5 (68.8%),13-3 (81.3%),11-5 (68.8%),6-2 (75.0%),5-3 (62.5%),6-2 (75.0%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),7-9 (43.8%)
5,2016,14-2 (87.5%),13-3 (81.3%),12-2 (85.7%),11-3 (78.6%),6-2 (75.0%),6-2 (75.0%),5-2 (71.4%),5-2 (71.4%),0-0 (0.0%),0-0 (0.0%),6-10 (37.5%)
6,2015,12-4 (75.0%),7-7-2 (50.0%),12-4 (75.0%),7-7-2 (50.0%),7-1 (87.5%),4-2-2 (66.7%),7-1 (87.5%),4-2-2 (66.7%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
7,2014,12-4 (75.0%),9-7 (56.3%),8-3 (72.7%),5-6 (45.5%),7-1 (87.5%),5-3 (62.5%),5-1 (83.3%),3-3 (50.0%),1-0 (100.0%),1-0 (100.0%),9-7 (56.3%)
8,2013,12-4 (75.0%),8-8 (50.0%),9-2 (81.8%),5-6 (45.5%),8-0 (100.0%),6-2 (75.0%),7-0 (100.0%),5-2 (71.4%),1-0 (100.0%),1-0 (100.0%),9-7 (56.3%)
9,2012,12-4 (75.0%),9-7 (56.3%),12-3 (80.0%),8-7 (53.3%),6-2 (75.0%),4-4 (50.0%),6-2 (75.0%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),11-5 (68.8%)
10,2011,13-3 (81.3%),9-7 (56.3%),12-3 (80.0%),8-7 (53.3%),7-1 (87.5%),4-4 (50.0%),7-1 (87.5%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),11-5 (68.8%)
11,2010,14-2 (87.5%),10-5-1 (66.7%),12-2 (85.7%),8-5-1 (61.5%),8-0 (100.0%),4-3-1 (57.1%),8-0 (100.0%),4-3-1 (57.1%),0-0 (0.0%),0-0 (0.0%),13-3 (81.3%)
12,2009,10-6 (62.5%),8-7-1 (53.3%),10-3 (76.9%),6-6-1 (50.0%),8-0 (100.0%),5-3 (62.5%),8-0 (100.0%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),5-10-1 (33.3%)
13,2008,11-5 (68.8%),9-7 (56.3%),10-3 (76.9%),7-6 (53.8%),5-3 (62.5%),3-5 (37.5%),5-3 (62.5%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),8-7-1 (53.3%)
14,2007,16-0 (100.0%),10-6 (62.5%),16-0 (100.0%),10-6 (62.5%),8-0 (100.0%),5-3 (62.5%),8-0 (100.0%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),11-5 (68.8%)
15,2006,12-4 (75.0%),10-6 (62.5%),9-4 (69.2%),7-6 (53.8%),5-3 (62.5%),3-5 (37.5%),5-3 (62.5%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),6-10 (37.5%)
16,2005,10-6 (62.5%),8-8 (50.0%),8-3 (72.7%),6-5 (54.5%),5-3 (62.5%),3-5 (37.5%),5-2 (71.4%),3-4 (42.9%),0-1 (0.0%),0-1 (0.0%),8-6-2 (57.1%)
17,2004,14-2 (87.5%),11-3-2 (78.6%),12-2 (85.7%),9-3-2 (75.0%),8-0 (100.0%),5-1-2 (83.3%),8-0 (100.0%),5-1-2 (83.3%),0-0 (0.0%),0-0 (0.0%),8-7-1 (53.3%)
18,2003,14-2 (87.5%),14-2 (87.5%),10-0 (100.0%),9-1 (90.0%),8-0 (100.0%),8-0 (100.0%),8-0 (100.0%),8-0 (100.0%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
19,2002,9-7 (56.3%),6-10 (37.5%),5-4 (55.6%),2-7 (22.2%),5-3 (62.5%),3-5 (37.5%),3-3 (50.0%),1-5 (16.7%),2-0 (100.0%),2-0 (100.0%),6-10 (37.5%)
20,2001,11-5 (68.8%),11-5 (68.8%),5-0 (100.0%),4-1 (80.0%),6-2 (75.0%),7-1 (87.5%),3-0 (100.0%),3-0 (100.0%),2-2 (50.0%),3-1 (75.0%),9-7 (56.3%)
21,2000,5-11 (31.3%),7-9 (43.8%),2-4 (33.3%),1-5 (16.7%),3-5 (37.5%),3-5 (37.5%),2-3 (40.0%),1-4 (20.0%),1-2 (33.3%),2-1 (66.7%),8-8 (50.0%)
22,1999,8-8 (50.0%),6-8-2 (42.9%),6-3 (66.7%),2-6-1 (25.0%),5-3 (62.5%),2-5-1 (28.6%),4-2 (66.7%),1-5 (16.7%),1-1 (50.0%),1-0-1 (100.0%),6-10 (37.5%)
23,1998,9-7 (56.3%),7-7-2 (50.0%),7-3 (70.0%),4-5-1 (44.4%),6-2 (75.0%),5-2-1 (71.4%),5-2 (71.4%),4-2-1 (66.7%),1-0 (100.0%),1-0 (100.0%),9-6-1 (60.0%)
24,1997,10-6 (62.5%),7-9 (43.8%),8-4 (66.7%),5-7 (41.7%),6-2 (75.0%),3-5 (37.5%),6-2 (75.0%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),6-10 (37.5%)
25,1996,11-5 (68.8%),7-9 (43.8%),9-2 (81.8%),5-6 (45.5%),6-2 (75.0%),4-4 (50.0%),6-2 (75.0%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
26,1995,6-10 (37.5%),6-9-1 (40.0%),3-4 (42.9%),1-5-1 (16.7%),3-5 (37.5%),1-6-1 (14.3%),2-4 (33.3%),0-5-1 (0.0%),0-1 (0.0%),0-1 (0.0%),8-8 (50.0%)
27,1994,10-6 (62.5%),9-7 (56.3%),5-3 (62.5%),3-5 (37.5%),5-3 (62.5%),4-4 (50.0%),3-3 (50.0%),2-4 (33.3%),2-0 (100.0%),2-0 (100.0%),7-7-2 (50.0%)
28,1993,5-11 (31.3%),10-6 (62.5%),2-1 (66.7%),1-2 (33.3%),3-5 (37.5%),4-4 (50.0%),2-1 (66.7%),1-2 (33.3%),0-4 (0.0%),2-2 (50.0%),7-9 (43.8%)
29,1992,2-14 (12.5%),8-8 (50.0%),0-2 (0.0%),0-2 (0.0%),1-7 (12.5%),4-4 (50.0%),0-2 (0.0%),0-2 (0.0%),1-5 (16.7%),4-2 (66.7%),7-9 (43.8%)
30,1991,6-10 (37.5%),7-9 (43.8%),1-1 (50.0%),0-2 (0.0%),4-4 (50.0%),4-4 (50.0%),1-0 (100.0%),0-1 (0.0%),3-4 (42.9%),4-3 (57.1%),5-11 (31.3%)
31,1990,1-15 (6.3%),4-12 (25.0%),0-1 (0.0%),0-1 (0.0%),0-8 (0.0%),1-7 (12.5%),0-1 (0.0%),0-1 (0.0%),0-6 (0.0%),1-5 (16.7%),8-8 (50.0%)
32,1989,5-11 (31.3%),8-8 (50.0%),1-3 (25.0%),1-3 (25.0%),3-5 (37.5%),4-4 (50.0%),1-3 (25.0%),1-3 (25.0%),2-2 (50.0%),3-1 (75.0%),10-5-1 (66.7%)
33,1988,9-7 (56.3%),10-6 (62.5%),5-3 (62.5%),4-4 (50.0%),7-1 (87.5%),6-2 (75.0%),5-1 (83.3%),4-2 (66.7%),2-0 (100.0%),2-0 (100.0%),5-10-1 (33.3%)
