,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,7-10 (41.2%),6-10-1 (37.5%),4-2 (66.7%),2-3-1 (40.0%),1-6 (14.3%),0-7 (0.0%),1-2 (33.3%),0-3 (0.0%),0-4 (0.0%),0-4 (0.0%),7-9-1 (43.8%)
1,2020,4-12 (25.0%),7-9 (43.8%),1-4 (20.0%),1-4 (20.0%),2-6 (25.0%),3-5 (37.5%),1-4 (20.0%),1-4 (20.0%),1-2 (33.3%),2-1 (66.7%),7-9 (43.8%)
2,2019,7-9 (43.8%),8-8 (50.0%),2-3 (40.0%),2-3 (40.0%),3-5 (37.5%),4-4 (50.0%),2-2 (50.0%),2-2 (50.0%),1-3 (25.0%),2-2 (50.0%),7-9 (43.8%)
3,2018,7-9 (43.8%),5-11 (31.3%),6-5 (54.5%),4-7 (36.4%),4-4 (50.0%),3-5 (37.5%),4-4 (50.0%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
4,2017,10-6 (62.5%),7-9 (43.8%),10-4 (71.4%),7-7 (50.0%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),5-11 (31.3%)
5,2016,11-5 (68.8%),10-6 (62.5%),7-3 (70.0%),5-5 (50.0%),5-3 (62.5%),3-5 (37.5%),4-3 (57.1%),2-5 (28.6%),1-0 (100.0%),1-0 (100.0%),13-2-1 (86.7%)
6,2015,8-8 (50.0%),6-10 (37.5%),4-6 (40.0%),2-8 (20.0%),4-4 (50.0%),3-5 (37.5%),2-4 (33.3%),1-5 (16.7%),2-0 (100.0%),2-0 (100.0%),3-13 (18.8%)
7,2014,6-10 (37.5%),8-8 (50.0%),3-4 (42.9%),3-4 (42.9%),3-4 (42.9%),3-4 (42.9%),1-3 (25.0%),1-3 (25.0%),2-1 (66.7%),2-1 (66.7%),6-9-1 (40.0%)
8,2013,4-12 (25.0%),7-9 (43.8%),3-2 (60.0%),2-3 (40.0%),3-5 (37.5%),4-4 (50.0%),3-2 (60.0%),2-3 (40.0%),0-3 (0.0%),2-1 (66.7%),9-7 (56.3%)
9,2012,13-3 (81.3%),9-7 (56.3%),10-3 (76.9%),6-7 (46.2%),7-1 (87.5%),4-4 (50.0%),6-1 (85.7%),3-4 (42.9%),0-0 (0.0%),0-0 (0.0%),5-11 (31.3%)
10,2011,10-6 (62.5%),7-8-1 (46.7%),8-3 (72.7%),5-5-1 (50.0%),6-2 (75.0%),4-3-1 (57.1%),5-1 (83.3%),3-2-1 (60.0%),1-1 (50.0%),1-1 (50.0%),7-9 (43.8%)
11,2010,13-3 (81.3%),11-5 (68.8%),12-2 (85.7%),10-4 (71.4%),7-1 (87.5%),5-3 (62.5%),7-1 (87.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),9-6-1 (60.0%)
12,2009,9-7 (56.3%),11-5 (68.8%),7-1 (87.5%),6-2 (75.0%),6-2 (75.0%),6-2 (75.0%),6-0 (100.0%),5-1 (83.3%),0-2 (0.0%),1-1 (50.0%),7-9 (43.8%)
13,2008,11-5 (68.8%),9-7 (56.3%),6-1 (85.7%),4-3 (57.1%),7-1 (87.5%),5-3 (62.5%),5-1 (83.3%),3-3 (50.0%),2-0 (100.0%),2-0 (100.0%),7-9 (43.8%)
14,2007,4-12 (25.0%),8-8 (50.0%),1-0 (100.0%),1-0 (100.0%),3-5 (37.5%),3-5 (37.5%),1-0 (100.0%),1-0 (100.0%),2-5 (28.6%),2-5 (28.6%),9-7 (56.3%)
15,2006,7-9 (43.8%),8-8 (50.0%),3-5 (37.5%),3-5 (37.5%),3-5 (37.5%),3-5 (37.5%),2-4 (33.3%),2-4 (33.3%),1-1 (50.0%),1-1 (50.0%),3-12-1 (20.0%)
16,2005,8-8 (50.0%),7-8-1 (46.7%),6-3 (66.7%),5-4 (55.6%),4-4 (50.0%),4-4 (50.0%),3-3 (50.0%),3-3 (50.0%),1-1 (50.0%),1-1 (50.0%),8-7-1 (53.3%)
17,2004,11-5 (68.8%),7-9 (43.8%),9-1 (90.0%),4-6 (40.0%),7-1 (87.5%),3-5 (37.5%),7-1 (87.5%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),5-11 (31.3%)
18,2003,5-11 (31.3%),6-10 (37.5%),1-1 (50.0%),1-1 (50.0%),2-6 (25.0%),2-6 (25.0%),1-1 (50.0%),1-1 (50.0%),1-5 (16.7%),1-5 (16.7%),7-9 (43.8%)
19,2002,9-6-1 (60.0%),10-6 (62.5%),7-4 (63.6%),6-5 (54.5%),5-3 (62.5%),4-4 (50.0%),5-3 (62.5%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
