,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,10-7 (58.8%),9-8 (52.9%),2-3 (40.0%),1-4 (20.0%),5-4 (55.6%),4-5 (44.4%),2-2 (50.0%),1-3 (25.0%),2-2 (50.0%),2-2 (50.0%),8-9 (47.1%)
1,2020,8-8 (50.0%),8-8 (50.0%),5-2 (71.4%),3-4 (42.9%),2-6 (25.0%),4-4 (50.0%),1-1 (50.0%),1-1 (50.0%),1-5 (16.7%),3-3 (50.0%),12-3-1 (80.0%)
2,2019,7-9 (43.8%),8-8 (50.0%),3-2 (60.0%),1-4 (20.0%),4-3 (57.1%),3-4 (42.9%),2-1 (66.7%),1-2 (33.3%),2-2 (50.0%),2-2 (50.0%),7-9 (43.8%)
3,2018,4-12 (25.0%),6-10 (37.5%),1-1 (50.0%),1-1 (50.0%),3-4 (42.9%),4-3 (57.1%),1-0 (100.0%),1-0 (100.0%),2-4 (33.3%),3-3 (50.0%),6-9-1 (40.0%)
4,2017,6-10 (37.5%),5-9-2 (35.7%),4-3 (57.1%),2-4-1 (33.3%),4-3 (57.1%),3-3-1 (50.0%),3-2 (60.0%),2-3 (40.0%),1-1 (50.0%),1-0-1 (100.0%),5-11 (31.3%)
5,2016,12-4 (75.0%),10-6 (62.5%),8-1 (88.9%),6-3 (66.7%),5-2 (71.4%),3-4 (42.9%),5-1 (83.3%),3-3 (50.0%),0-1 (0.0%),0-1 (0.0%),11-5 (68.8%)
6,2015,7-9 (43.8%),8-8 (50.0%),2-3 (40.0%),1-4 (20.0%),3-5 (37.5%),2-6 (25.0%),1-1 (50.0%),0-2 (0.0%),2-4 (33.3%),2-4 (33.3%),9-6-1 (60.0%)
7,2014,3-13 (18.8%),8-8 (50.0%),0-1 (0.0%),0-1 (0.0%),3-4 (42.9%),4-3 (57.1%),0-0 (0.0%),0-0 (0.0%),3-4 (42.9%),4-3 (57.1%),10-6 (62.5%)
8,2013,4-12 (25.0%),8-8 (50.0%),1-1 (50.0%),1-1 (50.0%),3-5 (37.5%),3-5 (37.5%),1-1 (50.0%),1-1 (50.0%),2-4 (33.3%),2-4 (33.3%),7-8-1 (46.7%)
9,2012,4-12 (25.0%),5-11 (31.3%),2-3 (40.0%),1-4 (20.0%),3-5 (37.5%),2-6 (25.0%),2-2 (50.0%),1-3 (25.0%),1-3 (25.0%),1-3 (25.0%),6-10 (37.5%)
10,2011,8-8 (50.0%),10-6 (62.5%),2-3 (40.0%),2-3 (40.0%),3-5 (37.5%),4-4 (50.0%),2-3 (40.0%),2-3 (40.0%),1-2 (33.3%),2-1 (66.7%),10-6 (62.5%)
11,2010,8-8 (50.0%),8-8 (50.0%),3-1 (75.0%),2-2 (50.0%),5-3 (62.5%),4-4 (50.0%),3-1 (75.0%),2-2 (50.0%),1-2 (33.3%),1-2 (33.3%),10-6 (62.5%)
12,2009,5-11 (31.3%),8-8 (50.0%),0-1 (0.0%),0-1 (0.0%),2-6 (25.0%),4-4 (50.0%),0-1 (0.0%),0-1 (0.0%),2-5 (28.6%),4-3 (57.1%),7-9 (43.8%)
13,2008,5-11 (31.3%),7-9 (43.8%),0-1 (0.0%),0-1 (0.0%),2-6 (25.0%),2-6 (25.0%),0-1 (0.0%),0-1 (0.0%),2-5 (28.6%),2-5 (28.6%),6-8-2 (42.9%)
14,2007,4-12 (25.0%),6-10 (37.5%),1-3 (25.0%),0-4 (0.0%),2-6 (25.0%),2-6 (25.0%),1-3 (25.0%),0-4 (0.0%),1-3 (25.0%),2-2 (50.0%),10-5-1 (66.7%)
15,2006,2-14 (12.5%),6-10 (37.5%),0-2 (0.0%),0-2 (0.0%),2-6 (25.0%),3-5 (37.5%),0-2 (0.0%),0-2 (0.0%),2-4 (33.3%),3-3 (50.0%),3-12-1 (20.0%)
16,2005,4-12 (25.0%),6-10 (37.5%),3-3 (50.0%),3-3 (50.0%),2-6 (25.0%),2-6 (25.0%),2-2 (50.0%),2-2 (50.0%),0-3 (0.0%),0-3 (0.0%),5-10-1 (33.3%)
17,2004,5-11 (31.3%),6-10 (37.5%),3-2 (60.0%),2-3 (40.0%),3-5 (37.5%),2-6 (25.0%),3-1 (75.0%),2-2 (50.0%),0-4 (0.0%),0-4 (0.0%),10-6 (62.5%)
18,2003,4-12 (25.0%),3-12-1 (20.0%),2-2 (50.0%),0-4 (0.0%),4-4 (50.0%),2-5-1 (28.6%),2-0 (100.0%),0-2 (0.0%),2-4 (33.3%),2-3-1 (40.0%),5-10-1 (33.3%)
19,2002,11-5 (68.8%),10-5-1 (66.7%),9-4 (69.2%),8-4-1 (66.7%),6-2 (75.0%),5-2-1 (71.4%),6-2 (75.0%),5-2-1 (71.4%),0-0 (0.0%),0-0 (0.0%),6-10 (37.5%)
20,2001,10-6 (62.5%),7-8-1 (46.7%),8-4 (66.7%),5-6-1 (45.5%),5-3 (62.5%),3-5 (37.5%),5-3 (62.5%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
21,2000,12-4 (75.0%),10-5-1 (66.7%),10-3 (76.9%),8-5 (61.5%),7-1 (87.5%),6-2 (75.0%),7-1 (87.5%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),10-6 (62.5%)
22,1999,8-8 (50.0%),8-7-1 (53.3%),4-4 (50.0%),2-5-1 (28.6%),5-3 (62.5%),3-4-1 (42.9%),4-3 (57.1%),2-4-1 (33.3%),1-0 (100.0%),1-0 (100.0%),11-5 (68.8%)
23,1998,8-8 (50.0%),7-9 (43.8%),3-3 (50.0%),2-4 (33.3%),4-4 (50.0%),3-5 (37.5%),3-2 (60.0%),2-3 (40.0%),1-2 (33.3%),1-2 (33.3%),8-8 (50.0%)
24,1997,4-12 (25.0%),4-12 (25.0%),2-5 (28.6%),2-5 (28.6%),2-6 (25.0%),2-6 (25.0%),1-4 (20.0%),1-4 (20.0%),1-2 (33.3%),1-2 (33.3%),9-6-1 (60.0%)
25,1996,7-9 (43.8%),8-7-1 (53.3%),5-5 (50.0%),5-5 (50.0%),4-4 (50.0%),4-4 (50.0%),4-4 (50.0%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),6-9-1 (40.0%)
26,1995,8-8 (50.0%),6-10 (37.5%),8-6 (57.1%),6-8 (42.9%),4-4 (50.0%),4-4 (50.0%),4-3 (57.1%),4-3 (57.1%),0-1 (0.0%),0-1 (0.0%),9-6-1 (60.0%)
27,1994,9-7 (56.3%),6-9-1 (40.0%),6-4 (60.0%),2-7-1 (22.2%),4-4 (50.0%),2-6 (25.0%),4-4 (50.0%),2-6 (25.0%),0-0 (0.0%),0-0 (0.0%),7-9 (43.8%)
28,1993,10-6 (62.5%),6-8-2 (42.9%),6-4 (60.0%),2-6-2 (25.0%),5-3 (62.5%),2-5-1 (28.6%),4-3 (57.1%),1-5-1 (16.7%),1-0 (100.0%),1-0 (100.0%),8-7-1 (53.3%)
29,1992,7-9 (43.8%),7-9 (43.8%),3-2 (60.0%),3-2 (60.0%),5-3 (62.5%),5-3 (62.5%),2-1 (66.7%),2-1 (66.7%),2-2 (50.0%),2-2 (50.0%),7-9 (43.8%)
