,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,12-5 (70.6%),10-7 (58.8%),6-3 (66.7%),4-5 (44.4%),7-2 (77.8%),6-3 (66.7%),4-2 (66.7%),3-3 (50.0%),3-0 (100.0%),3-0 (100.0%),7-9-1 (43.8%)
1,2020,11-5 (68.8%),7-9 (43.8%),8-3 (72.7%),4-7 (36.4%),5-3 (62.5%),4-4 (50.0%),4-2 (66.7%),3-3 (50.0%),1-1 (50.0%),1-1 (50.0%),12-3-1 (80.0%)
2,2019,9-7 (56.3%),8-7-1 (53.3%),6-4 (60.0%),5-4-1 (55.6%),4-4 (50.0%),3-4-1 (42.9%),3-3 (50.0%),2-3-1 (40.0%),1-1 (50.0%),1-1 (50.0%),10-6 (62.5%)
3,2018,9-7 (56.3%),8-8 (50.0%),4-2 (66.7%),2-4 (33.3%),6-2 (75.0%),4-4 (50.0%),3-0 (100.0%),1-2 (33.3%),3-2 (60.0%),3-2 (60.0%),8-8 (50.0%)
4,2017,9-7 (56.3%),8-7-1 (53.3%),9-3 (75.0%),6-5-1 (54.5%),6-2 (75.0%),5-2-1 (71.4%),6-1 (85.7%),4-2-1 (66.7%),0-1 (0.0%),1-0 (100.0%),9-7 (56.3%)
5,2016,9-7 (56.3%),7-9 (43.8%),5-2 (71.4%),3-4 (42.9%),5-3 (62.5%),4-4 (50.0%),4-1 (80.0%),3-2 (60.0%),1-2 (33.3%),1-2 (33.3%),10-6 (62.5%)
6,2015,3-13 (18.8%),5-10-1 (33.3%),1-2 (33.3%),1-2 (33.3%),1-7 (12.5%),3-4-1 (42.9%),1-1 (50.0%),1-1 (50.0%),0-6 (0.0%),2-3-1 (40.0%),9-6-1 (60.0%)
7,2014,2-14 (12.5%),3-13 (18.8%),1-2 (33.3%),0-3 (0.0%),1-7 (12.5%),1-7 (12.5%),1-2 (33.3%),0-3 (0.0%),0-5 (0.0%),1-4 (20.0%),6-10 (37.5%)
8,2013,7-9 (43.8%),6-6-4 (50.0%),6-1 (85.7%),3-2-2 (60.0%),3-5 (37.5%),1-4-3 (20.0%),3-1 (75.0%),1-2-1 (33.3%),0-4 (0.0%),0-2-2 (0.0%),9-6-1 (60.0%)
9,2012,6-10 (37.5%),6-9-1 (40.0%),2-2 (50.0%),2-2 (50.0%),4-4 (50.0%),4-4 (50.0%),2-1 (66.7%),2-1 (66.7%),2-3 (40.0%),2-3 (40.0%),9-7 (56.3%)
