,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,9-7-1 (56.3%),8-9 (47.1%),4-2-1 (66.7%),2-5 (28.6%),6-2-1 (75.0%),4-5 (44.4%),4-2-1 (66.7%),2-5 (28.6%),2-0 (100.0%),2-0 (100.0%),5-10-2 (33.3%)
1,2020,12-4 (75.0%),10-6 (62.5%),9-2 (81.8%),6-5 (54.5%),7-1 (87.5%),5-3 (62.5%),6-1 (85.7%),4-3 (57.1%),1-0 (100.0%),1-0 (100.0%),7-7-2 (50.0%)
2,2019,8-8 (50.0%),9-7 (56.3%),5-4 (55.6%),4-5 (44.4%),5-3 (62.5%),5-3 (62.5%),3-2 (60.0%),2-3 (40.0%),2-1 (66.7%),3-0 (100.0%),4-12 (25.0%)
3,2018,9-6-1 (60.0%),8-7-1 (53.3%),5-5-1 (50.0%),3-7-1 (30.0%),5-3 (62.5%),4-4 (50.0%),4-3 (57.1%),3-4 (42.9%),1-0 (100.0%),1-0 (100.0%),8-8 (50.0%)
4,2017,13-3 (81.3%),7-9 (43.8%),12-2 (85.7%),6-8 (42.9%),6-2 (75.0%),3-5 (37.5%),6-1 (85.7%),3-4 (42.9%),0-1 (0.0%),0-1 (0.0%),6-10 (37.5%)
5,2016,11-5 (68.8%),9-6-1 (60.0%),11-4 (73.3%),9-5-1 (64.3%),6-2 (75.0%),4-3-1 (57.1%),6-1 (85.7%),4-2-1 (66.7%),0-1 (0.0%),0-1 (0.0%),6-10 (37.5%)
6,2015,10-6 (62.5%),9-6-1 (60.0%),7-2 (77.8%),6-3 (66.7%),6-2 (75.0%),5-3 (62.5%),5-1 (83.3%),4-2 (66.7%),1-1 (50.0%),1-1 (50.0%),6-10 (37.5%)
7,2014,11-5 (68.8%),9-7 (56.3%),8-3 (72.7%),6-5 (54.5%),6-2 (75.0%),5-3 (62.5%),5-2 (71.4%),4-3 (57.1%),1-0 (100.0%),1-0 (100.0%),9-7 (56.3%)
8,2013,8-8 (50.0%),9-7 (56.3%),4-4 (50.0%),4-4 (50.0%),5-3 (62.5%),5-3 (62.5%),3-2 (60.0%),3-2 (60.0%),2-1 (66.7%),2-1 (66.7%),8-8 (50.0%)
9,2012,8-8 (50.0%),6-9-1 (40.0%),5-6 (45.5%),3-8 (27.3%),5-3 (62.5%),3-4-1 (42.9%),5-2 (71.4%),3-4 (42.9%),0-1 (0.0%),0-0-1 (0.0%),7-9 (43.8%)
10,2011,12-4 (75.0%),7-9 (43.8%),11-1 (91.7%),6-6 (50.0%),7-1 (87.5%),5-3 (62.5%),6-1 (85.7%),4-3 (57.1%),1-0 (100.0%),1-0 (100.0%),6-10 (37.5%)
11,2010,12-4 (75.0%),10-6 (62.5%),9-3 (75.0%),7-5 (58.3%),5-3 (62.5%),5-3 (62.5%),4-3 (57.1%),4-3 (57.1%),1-0 (100.0%),1-0 (100.0%),7-9 (43.8%)
12,2009,9-7 (56.3%),5-10-1 (33.3%),9-6 (60.0%),4-10-1 (28.6%),6-2 (75.0%),2-5-1 (28.6%),6-2 (75.0%),2-5-1 (28.6%),0-0 (0.0%),0-0 (0.0%),9-6-1 (60.0%)
13,2008,12-4 (75.0%),9-7 (56.3%),8-3 (72.7%),5-6 (45.5%),6-2 (75.0%),4-4 (50.0%),6-2 (75.0%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
14,2007,10-6 (62.5%),8-8 (50.0%),10-5 (66.7%),8-7 (53.3%),7-1 (87.5%),5-3 (62.5%),7-1 (87.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
15,2006,8-8 (50.0%),7-8-1 (46.7%),7-6 (53.8%),6-6-1 (50.0%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
16,2005,11-5 (68.8%),9-7 (56.3%),9-4 (69.2%),7-6 (53.8%),5-3 (62.5%),3-5 (37.5%),5-3 (62.5%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
17,2004,15-1 (93.8%),11-5 (68.8%),10-0 (100.0%),6-4 (60.0%),8-0 (100.0%),6-2 (75.0%),6-0 (100.0%),4-2 (66.7%),2-0 (100.0%),2-0 (100.0%),8-8 (50.0%)
18,2003,6-10 (37.5%),8-8 (50.0%),5-4 (55.6%),5-4 (55.6%),4-4 (50.0%),4-4 (50.0%),4-4 (50.0%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
19,2002,10-5-1 (66.7%),5-10-1 (33.3%),9-4-1 (69.2%),4-10 (28.6%),5-2-1 (71.4%),2-6 (25.0%),5-2-1 (71.4%),2-6 (25.0%),0-0 (0.0%),0-0 (0.0%),11-5 (68.8%)
