,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,5-12 (29.4%),5-12 (29.4%),2-5 (28.6%),2-5 (28.6%),2-6 (25.0%),2-6 (25.0%),1-3 (25.0%),1-3 (25.0%),1-3 (25.0%),1-3 (25.0%),8-9 (47.1%)
1,2020,5-11 (31.3%),8-7-1 (53.3%),1-3 (25.0%),1-3 (25.0%),2-6 (25.0%),2-6 (25.0%),0-3 (0.0%),0-3 (0.0%),2-3 (40.0%),2-3 (40.0%),7-9 (43.8%)
2,2019,5-11 (31.3%),6-9-1 (40.0%),3-3 (50.0%),3-3 (50.0%),2-6 (25.0%),2-5-1 (28.6%),2-3 (40.0%),2-3 (40.0%),0-3 (0.0%),0-2-1 (0.0%),11-5 (68.8%)
3,2018,7-9 (43.8%),7-9 (43.8%),4-5 (44.4%),3-6 (33.3%),5-3 (62.5%),5-3 (62.5%),4-1 (80.0%),3-2 (60.0%),1-2 (33.3%),2-1 (66.7%),8-8 (50.0%)
4,2017,11-5 (68.8%),9-7 (56.3%),6-3 (66.7%),4-5 (44.4%),6-2 (75.0%),4-4 (50.0%),4-2 (66.7%),2-4 (33.3%),2-0 (100.0%),2-0 (100.0%),9-7 (56.3%)
5,2016,6-10 (37.5%),6-9-1 (40.0%),5-6 (45.5%),3-7-1 (30.0%),4-4 (50.0%),3-5 (37.5%),4-3 (57.1%),3-4 (42.9%),0-1 (0.0%),0-1 (0.0%),7-8-1 (46.7%)
6,2015,15-1 (93.8%),11-5 (68.8%),12-1 (92.3%),8-5 (61.5%),8-0 (100.0%),6-2 (75.0%),7-0 (100.0%),5-2 (71.4%),1-0 (100.0%),1-0 (100.0%),11-5 (68.8%)
7,2014,7-8-1 (46.7%),7-9 (43.8%),4-1 (80.0%),2-3 (40.0%),4-4 (50.0%),3-5 (37.5%),4-1 (80.0%),2-3 (40.0%),0-3 (0.0%),1-2 (33.3%),8-8 (50.0%)
8,2013,12-4 (75.0%),9-5-2 (64.3%),9-2 (81.8%),6-3-2 (66.7%),7-1 (87.5%),6-1-1 (85.7%),6-0 (100.0%),5-0-1 (100.0%),1-1 (50.0%),1-1 (50.0%),5-11 (31.3%)
9,2012,7-9 (43.8%),9-7 (56.3%),2-4 (33.3%),2-4 (33.3%),3-5 (37.5%),3-5 (37.5%),1-2 (33.3%),1-2 (33.3%),2-3 (40.0%),2-3 (40.0%),9-7 (56.3%)
