,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,4-13 (23.5%),6-11 (35.3%),1-0 (100.0%),1-0 (100.0%),3-6 (33.3%),4-5 (44.4%),1-0 (100.0%),1-0 (100.0%),2-6 (25.0%),3-5 (37.5%),10-7 (58.8%)
1,2020,2-14 (12.5%),6-10 (37.5%),0-1 (0.0%),0-1 (0.0%),1-7 (12.5%),4-4 (50.0%),0-1 (0.0%),0-1 (0.0%),1-6 (14.3%),4-3 (57.1%),7-9 (43.8%)
2,2019,7-9 (43.8%),7-9 (43.8%),2-3 (40.0%),1-4 (20.0%),5-3 (62.5%),4-4 (50.0%),1-1 (50.0%),0-2 (0.0%),4-2 (66.7%),4-2 (66.7%),7-9 (43.8%)
3,2018,4-12 (25.0%),5-10-1 (33.3%),2-2 (50.0%),2-2 (50.0%),2-6 (25.0%),2-5-1 (28.6%),2-2 (50.0%),2-2 (50.0%),0-4 (0.0%),0-3-1 (0.0%),10-6 (62.5%)
4,2017,5-11 (31.3%),9-6-1 (60.0%),1-1 (50.0%),1-1 (50.0%),4-4 (50.0%),7-1 (87.5%),0-0 (0.0%),0-0 (0.0%),4-4 (50.0%),7-1 (87.5%),8-8 (50.0%)
5,2016,5-11 (31.3%),6-10 (37.5%),2-2 (50.0%),2-2 (50.0%),2-6 (25.0%),3-5 (37.5%),1-2 (33.3%),1-2 (33.3%),1-4 (20.0%),2-3 (40.0%),7-8-1 (46.7%)
6,2015,10-6 (62.5%),9-6-1 (60.0%),8-5 (61.5%),6-6-1 (50.0%),6-2 (75.0%),5-3 (62.5%),5-2 (71.4%),4-3 (57.1%),1-0 (100.0%),1-0 (100.0%),8-8 (50.0%)
7,2014,4-12 (25.0%),7-9 (43.8%),2-2 (50.0%),1-3 (25.0%),2-6 (25.0%),3-5 (37.5%),1-2 (33.3%),0-3 (0.0%),1-4 (20.0%),3-2 (60.0%),7-9 (43.8%)
8,2013,8-8 (50.0%),9-6-1 (60.0%),3-2 (60.0%),3-2 (60.0%),6-2 (75.0%),6-2 (75.0%),3-1 (75.0%),3-1 (75.0%),3-1 (75.0%),3-1 (75.0%),9-7 (56.3%)
9,2012,6-10 (37.5%),6-9-1 (40.0%),5-2 (71.4%),3-3-1 (50.0%),3-5 (37.5%),3-5 (37.5%),3-2 (60.0%),2-3 (40.0%),0-3 (0.0%),1-2 (33.3%),6-8-2 (42.9%)
10,2011,8-8 (50.0%),6-9-1 (40.0%),6-4 (60.0%),4-6 (40.0%),6-2 (75.0%),4-4 (50.0%),5-2 (71.4%),3-4 (42.9%),1-0 (100.0%),1-0 (100.0%),10-6 (62.5%)
11,2010,11-5 (68.8%),9-7 (56.3%),8-3 (72.7%),6-5 (54.5%),5-3 (62.5%),4-4 (50.0%),4-3 (57.1%),3-4 (42.9%),1-0 (100.0%),1-0 (100.0%),12-4 (75.0%)
12,2009,9-7 (56.3%),9-7 (56.3%),6-5 (54.5%),6-5 (54.5%),4-4 (50.0%),4-4 (50.0%),3-4 (42.9%),3-4 (42.9%),1-0 (100.0%),1-0 (100.0%),7-8-1 (46.7%)
13,2008,9-7 (56.3%),7-9 (43.8%),6-6 (50.0%),4-8 (33.3%),5-3 (62.5%),3-5 (37.5%),5-3 (62.5%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),8-7-1 (53.3%)
14,2007,4-12 (25.0%),6-9-1 (40.0%),2-2 (50.0%),0-3-1 (0.0%),3-5 (37.5%),2-5-1 (28.6%),2-1 (66.7%),0-2-1 (0.0%),1-4 (20.0%),2-3 (40.0%),6-9-1 (40.0%)
15,2006,10-6 (62.5%),11-5 (68.8%),4-1 (80.0%),4-1 (80.0%),4-4 (50.0%),5-3 (62.5%),4-1 (80.0%),4-1 (80.0%),0-3 (0.0%),1-2 (33.3%),9-7 (56.3%)
16,2005,4-12 (25.0%),6-10 (37.5%),2-1 (66.7%),2-1 (66.7%),4-4 (50.0%),5-3 (62.5%),2-1 (66.7%),2-1 (66.7%),2-3 (40.0%),3-2 (60.0%),7-8-1 (46.7%)
17,2004,10-6 (62.5%),8-7-1 (53.3%),10-2 (83.3%),8-4 (66.7%),6-2 (75.0%),4-4 (50.0%),6-0 (100.0%),4-2 (66.7%),0-1 (0.0%),0-1 (0.0%),7-9 (43.8%)
