,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,8-9 (47.1%),6-11 (35.3%),7-3 (70.0%),3-7 (30.0%),6-3 (66.7%),2-7 (22.2%),6-3 (66.7%),2-7 (22.2%),0-0 (0.0%),0-0 (0.0%),7-9-1 (43.8%)
1,2020,11-5 (68.8%),6-10 (37.5%),9-2 (81.8%),4-7 (36.4%),6-2 (75.0%),3-5 (37.5%),6-1 (85.7%),3-4 (42.9%),0-1 (0.0%),0-1 (0.0%),9-7 (56.3%)
2,2019,6-10 (37.5%),5-10-1 (33.3%),5-6 (45.5%),4-6-1 (40.0%),4-4 (50.0%),3-4-1 (42.9%),4-2 (66.7%),3-2-1 (60.0%),0-2 (0.0%),0-2 (0.0%),8-8 (50.0%)
3,2018,7-8-1 (46.7%),10-6 (62.5%),3-1 (75.0%),2-2 (50.0%),5-2-1 (71.4%),5-3 (62.5%),2-1 (66.7%),1-2 (33.3%),3-1-1 (75.0%),4-1 (80.0%),7-8-1 (46.7%)
4,2017,0-16 (0.0%),4-12 (25.0%),0-1 (0.0%),0-1 (0.0%),0-7 (0.0%),2-5 (28.6%),0-0 (0.0%),0-0 (0.0%),0-7 (0.0%),2-5 (28.6%),7-9 (43.8%)
5,2016,1-15 (6.3%),3-12-1 (20.0%),0-0 (0.0%),0-0 (0.0%),1-7 (12.5%),1-7 (12.5%),0-0 (0.0%),0-0 (0.0%),1-7 (12.5%),1-7 (12.5%),8-8 (50.0%)
6,2015,3-13 (18.8%),6-10 (37.5%),1-2 (33.3%),1-2 (33.3%),2-6 (25.0%),3-5 (37.5%),1-2 (33.3%),1-2 (33.3%),1-4 (20.0%),2-3 (40.0%),8-7-1 (53.3%)
7,2014,7-9 (43.8%),10-5-1 (66.7%),3-3 (50.0%),2-4 (33.3%),4-4 (50.0%),4-3-1 (57.1%),3-2 (60.0%),2-3 (40.0%),1-2 (33.3%),2-0-1 (100.0%),5-11 (31.3%)
8,2013,4-12 (25.0%),6-10 (37.5%),1-4 (20.0%),1-4 (20.0%),3-5 (37.5%),3-5 (37.5%),1-4 (20.0%),1-4 (20.0%),2-1 (66.7%),2-1 (66.7%),9-7 (56.3%)
9,2012,5-11 (31.3%),8-7-1 (53.3%),2-1 (66.7%),2-1 (66.7%),4-4 (50.0%),5-3 (62.5%),1-1 (50.0%),1-1 (50.0%),3-3 (50.0%),4-2 (66.7%),6-10 (37.5%)
10,2011,4-12 (25.0%),8-7-1 (53.3%),3-3 (50.0%),2-3-1 (40.0%),3-5 (37.5%),3-4-1 (42.9%),2-3 (40.0%),1-3-1 (25.0%),1-2 (33.3%),2-1 (66.7%),5-11 (31.3%)
11,2010,5-11 (31.3%),5-11 (31.3%),1-1 (50.0%),0-2 (0.0%),3-5 (37.5%),2-6 (25.0%),1-1 (50.0%),0-2 (0.0%),2-4 (33.3%),2-4 (33.3%),9-7 (56.3%)
12,2009,5-11 (31.3%),10-6 (62.5%),2-0 (100.0%),2-0 (100.0%),3-5 (37.5%),5-3 (62.5%),2-0 (100.0%),2-0 (100.0%),1-5 (16.7%),3-3 (50.0%),7-9 (43.8%)
13,2008,4-12 (25.0%),6-9-1 (40.0%),0-4 (0.0%),0-4 (0.0%),1-7 (12.5%),2-5-1 (28.6%),0-4 (0.0%),0-4 (0.0%),1-3 (25.0%),2-1-1 (66.7%),6-9-1 (40.0%)
14,2007,10-6 (62.5%),12-4 (75.0%),8-1 (88.9%),8-1 (88.9%),7-1 (87.5%),7-1 (87.5%),5-0 (100.0%),5-0 (100.0%),2-1 (66.7%),2-1 (66.7%),9-6-1 (60.0%)
15,2006,4-12 (25.0%),7-8-1 (46.7%),2-2 (50.0%),2-2 (50.0%),2-6 (25.0%),3-4-1 (42.9%),1-2 (33.3%),1-2 (33.3%),1-4 (20.0%),2-2-1 (50.0%),6-10 (37.5%)
16,2005,6-10 (37.5%),8-8 (50.0%),3-1 (75.0%),3-1 (75.0%),4-4 (50.0%),4-4 (50.0%),3-1 (75.0%),3-1 (75.0%),1-3 (25.0%),1-3 (25.0%),4-12 (25.0%)
17,2004,4-12 (25.0%),6-10 (37.5%),1-0 (100.0%),1-0 (100.0%),3-5 (37.5%),4-4 (50.0%),1-0 (100.0%),1-0 (100.0%),2-5 (28.6%),3-4 (42.9%),7-9 (43.8%)
18,2003,5-11 (31.3%),6-10 (37.5%),2-3 (40.0%),2-3 (40.0%),2-6 (25.0%),2-6 (25.0%),2-3 (40.0%),2-3 (40.0%),0-3 (0.0%),0-3 (0.0%),7-9 (43.8%)
