,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,12-5 (70.6%),8-8-1 (50.0%),10-5 (66.7%),6-8-1 (42.9%),5-3 (62.5%),4-4 (50.0%),4-3 (57.1%),3-4 (42.9%),1-0 (100.0%),1-0 (100.0%),10-7 (58.8%)
1,2020,10-6 (62.5%),9-7 (56.3%),8-4 (66.7%),7-5 (58.3%),6-2 (75.0%),5-3 (62.5%),6-2 (75.0%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),4-12 (25.0%)
2,2019,9-7 (56.3%),10-5-1 (66.7%),9-4 (69.2%),8-4-1 (66.7%),4-3 (57.1%),3-3-1 (50.0%),4-2 (66.7%),3-2-1 (60.0%),0-1 (0.0%),0-1 (0.0%),7-9 (43.8%)
3,2018,13-3 (81.3%),7-8-1 (46.7%),13-3 (81.3%),7-8-1 (46.7%),7-1 (87.5%),3-4-1 (42.9%),7-1 (87.5%),3-4-1 (42.9%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
4,2017,11-5 (68.8%),9-7 (56.3%),9-3 (75.0%),7-5 (58.3%),3-4 (42.9%),3-4 (42.9%),3-3 (50.0%),3-3 (50.0%),0-1 (0.0%),0-1 (0.0%),11-5 (68.8%)
5,2016,4-12 (25.0%),4-11-1 (26.7%),1-3 (25.0%),1-3 (25.0%),1-6 (14.3%),1-5-1 (16.7%),0-2 (0.0%),0-2 (0.0%),1-4 (20.0%),1-3-1 (25.0%),7-9 (43.8%)
6,2015,7-9 (43.8%),7-9 (43.8%),3-3 (50.0%),3-3 (50.0%),5-3 (62.5%),5-3 (62.5%),3-1 (75.0%),3-1 (75.0%),2-2 (50.0%),2-2 (50.0%),4-11-1 (26.7%)
7,2014,6-10 (37.5%),8-8 (50.0%),2-3 (40.0%),2-3 (40.0%),3-5 (37.5%),3-5 (37.5%),1-3 (25.0%),1-3 (25.0%),2-2 (50.0%),2-2 (50.0%),8-8 (50.0%)
8,2013,7-9 (43.8%),7-9 (43.8%),4-0 (100.0%),3-1 (75.0%),5-3 (62.5%),5-3 (62.5%),4-0 (100.0%),3-1 (75.0%),1-3 (25.0%),2-2 (50.0%),9-7 (56.3%)
9,2012,7-8-1 (46.7%),11-5 (68.8%),0-2 (0.0%),0-2 (0.0%),4-3 (57.1%),4-3 (57.1%),0-2 (0.0%),0-2 (0.0%),4-1 (80.0%),4-1 (80.0%),8-8 (50.0%)
10,2011,2-14 (12.5%),3-12-1 (20.0%),0-2 (0.0%),0-2 (0.0%),1-7 (12.5%),2-5-1 (28.6%),0-2 (0.0%),0-2 (0.0%),1-5 (16.7%),2-3-1 (40.0%),5-10-1 (33.3%)
11,2010,7-9 (43.8%),10-6 (62.5%),3-2 (60.0%),3-2 (60.0%),5-3 (62.5%),5-3 (62.5%),2-1 (66.7%),2-1 (66.7%),3-2 (60.0%),3-2 (60.0%),6-10 (37.5%)
12,2009,1-15 (6.3%),7-9 (43.8%),0-0 (0.0%),0-0 (0.0%),0-8 (0.0%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),0-8 (0.0%),3-5 (37.5%),6-9-1 (40.0%)
13,2008,2-14 (12.5%),6-10 (37.5%),0-0 (0.0%),0-0 (0.0%),1-7 (12.5%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),1-7 (12.5%),3-5 (37.5%),8-8 (50.0%)
14,2007,3-13 (18.8%),5-11 (31.3%),2-2 (50.0%),2-2 (50.0%),1-7 (12.5%),2-6 (25.0%),1-2 (33.3%),1-2 (33.3%),0-5 (0.0%),1-4 (20.0%),6-9-1 (40.0%)
15,2006,8-8 (50.0%),9-7 (56.3%),5-3 (62.5%),4-4 (50.0%),4-4 (50.0%),4-4 (50.0%),3-2 (60.0%),2-3 (40.0%),1-2 (33.3%),2-1 (66.7%),8-8 (50.0%)
16,2005,6-10 (37.5%),5-11 (31.3%),4-5 (44.4%),3-6 (33.3%),3-5 (37.5%),2-6 (25.0%),2-4 (33.3%),1-5 (16.7%),1-1 (50.0%),1-1 (50.0%),9-7 (56.3%)
17,2004,8-8 (50.0%),6-10 (37.5%),5-4 (55.6%),3-6 (33.3%),6-2 (75.0%),4-4 (50.0%),4-2 (66.7%),2-4 (33.3%),2-0 (100.0%),2-0 (100.0%),9-7 (56.3%)
18,2003,12-4 (75.0%),9-6-1 (60.0%),11-3 (78.6%),7-6-1 (53.8%),8-0 (100.0%),6-1-1 (85.7%),8-0 (100.0%),6-1-1 (85.7%),0-0 (0.0%),0-0 (0.0%),10-5-1 (66.7%)
19,2002,7-9 (43.8%),4-12 (25.0%),6-6 (50.0%),3-9 (25.0%),6-2 (75.0%),3-5 (37.5%),5-2 (71.4%),2-5 (28.6%),1-0 (100.0%),1-0 (100.0%),7-9 (43.8%)
20,2001,14-2 (87.5%),9-6-1 (60.0%),14-2 (87.5%),9-6-1 (60.0%),6-2 (75.0%),5-3 (62.5%),6-2 (75.0%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
21,2000,10-6 (62.5%),6-9-1 (40.0%),10-6 (62.5%),6-9-1 (40.0%),5-3 (62.5%),2-5-1 (28.6%),5-3 (62.5%),2-5-1 (28.6%),0-0 (0.0%),0-0 (0.0%),11-5 (68.8%)
22,1999,13-3 (81.3%),13-3 (81.3%),11-3 (78.6%),11-3 (78.6%),8-0 (100.0%),8-0 (100.0%),6-0 (100.0%),6-0 (100.0%),1-0 (100.0%),1-0 (100.0%),9-7 (56.3%)
23,1998,4-12 (25.0%),5-11 (31.3%),0-3 (0.0%),0-3 (0.0%),2-6 (25.0%),3-5 (37.5%),0-3 (0.0%),0-3 (0.0%),2-3 (40.0%),3-2 (60.0%),7-9 (43.8%)
24,1997,5-11 (31.3%),7-8-1 (46.7%),2-2 (50.0%),2-2 (50.0%),2-6 (25.0%),3-5 (37.5%),2-2 (50.0%),2-2 (50.0%),0-4 (0.0%),1-3 (25.0%),9-7 (56.3%)
25,1996,6-10 (37.5%),5-10-1 (33.3%),2-1 (66.7%),1-2 (33.3%),4-4 (50.0%),3-5 (37.5%),2-1 (66.7%),1-2 (33.3%),1-3 (25.0%),1-3 (25.0%),7-9 (43.8%)
26,1995,7-9 (43.8%),6-9-1 (40.0%),6-1 (85.7%),5-2 (71.4%),4-4 (50.0%),3-5 (37.5%),4-1 (80.0%),3-2 (60.0%),0-3 (0.0%),0-3 (0.0%),9-7 (56.3%)
