,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,13-4 (76.5%),9-8 (52.9%),13-4 (76.5%),9-8 (52.9%),7-1 (87.5%),6-2 (75.0%),7-1 (87.5%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),9-8 (52.9%)
1,2020,11-5 (68.8%),9-7 (56.3%),10-3 (76.9%),7-6 (53.8%),5-3 (62.5%),5-3 (62.5%),4-2 (66.7%),3-3 (50.0%),1-1 (50.0%),2-0 (100.0%),9-6-1 (60.0%)
2,2019,7-9 (43.8%),5-9-2 (35.7%),4-3 (57.1%),2-4-1 (33.3%),2-5 (28.6%),0-5-2 (0.0%),2-3 (40.0%),0-4-1 (0.0%),0-2 (0.0%),0-1-1 (0.0%),12-4 (75.0%)
3,2018,5-11 (31.3%),8-7-1 (53.3%),2-2 (50.0%),1-3 (25.0%),4-4 (50.0%),4-4 (50.0%),2-2 (50.0%),1-3 (25.0%),2-2 (50.0%),3-1 (75.0%),9-7 (56.3%)
4,2017,5-11 (31.3%),6-9-1 (40.0%),4-2 (66.7%),3-3 (50.0%),4-4 (50.0%),4-4 (50.0%),3-1 (75.0%),2-2 (50.0%),1-2 (33.3%),2-1 (66.7%),8-8 (50.0%)
5,2016,9-7 (56.3%),9-7 (56.3%),2-2 (50.0%),1-3 (25.0%),4-4 (50.0%),3-5 (37.5%),2-2 (50.0%),1-3 (25.0%),2-2 (50.0%),2-2 (50.0%),7-8-1 (46.7%)
6,2015,6-10 (37.5%),7-9 (43.8%),3-3 (50.0%),3-3 (50.0%),3-5 (37.5%),3-5 (37.5%),3-3 (50.0%),3-3 (50.0%),0-2 (0.0%),0-2 (0.0%),9-7 (56.3%)
7,2014,2-14 (12.5%),7-9 (43.8%),0-3 (0.0%),0-3 (0.0%),0-8 (0.0%),2-6 (25.0%),0-3 (0.0%),0-3 (0.0%),0-5 (0.0%),2-3 (40.0%),5-11 (31.3%)
8,2013,4-12 (25.0%),6-10 (37.5%),2-2 (50.0%),2-2 (50.0%),3-5 (37.5%),4-4 (50.0%),2-1 (66.7%),2-1 (66.7%),1-4 (20.0%),2-3 (40.0%),8-8 (50.0%)
9,2012,7-9 (43.8%),10-6 (62.5%),3-3 (50.0%),3-3 (50.0%),3-5 (37.5%),4-4 (50.0%),2-3 (40.0%),2-3 (40.0%),1-2 (33.3%),2-1 (66.7%),9-7 (56.3%)
10,2011,4-12 (25.0%),4-12 (25.0%),2-2 (50.0%),1-3 (25.0%),3-4 (42.9%),2-5 (28.6%),2-1 (66.7%),1-2 (33.3%),1-3 (25.0%),1-3 (25.0%),10-6 (62.5%)
11,2010,10-6 (62.5%),10-6 (62.5%),5-1 (83.3%),3-3 (50.0%),4-4 (50.0%),3-5 (37.5%),4-1 (80.0%),3-2 (60.0%),0-3 (0.0%),0-3 (0.0%),7-8-1 (46.7%)
12,2009,3-13 (18.8%),6-10 (37.5%),0-0 (0.0%),0-0 (0.0%),1-6 (14.3%),1-6 (14.3%),0-0 (0.0%),0-0 (0.0%),1-6 (14.3%),1-6 (14.3%),6-10 (37.5%)
13,2008,9-7 (56.3%),8-8 (50.0%),8-2 (80.0%),5-5 (50.0%),6-2 (75.0%),4-4 (50.0%),6-2 (75.0%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
14,2007,9-7 (56.3%),9-7 (56.3%),6-3 (66.7%),6-3 (66.7%),6-2 (75.0%),6-2 (75.0%),5-1 (83.3%),5-1 (83.3%),1-1 (50.0%),1-1 (50.0%),9-7 (56.3%)
15,2006,4-12 (25.0%),6-9-1 (40.0%),1-3 (25.0%),0-3-1 (0.0%),3-5 (37.5%),3-4-1 (42.9%),1-3 (25.0%),0-3-1 (0.0%),2-2 (50.0%),3-1 (75.0%),7-9 (43.8%)
16,2005,11-5 (68.8%),8-7-1 (53.3%),7-3 (70.0%),4-5-1 (44.4%),6-2 (75.0%),4-3-1 (57.1%),5-1 (83.3%),3-2-1 (60.0%),1-0 (100.0%),1-0 (100.0%),6-10 (37.5%)
17,2004,5-11 (31.3%),5-10-1 (33.3%),3-3 (50.0%),3-3 (50.0%),4-4 (50.0%),4-3-1 (57.1%),3-2 (60.0%),3-2 (60.0%),1-2 (33.3%),1-1-1 (50.0%),5-11 (31.3%)
18,2003,7-9 (43.8%),6-9-1 (40.0%),5-8 (38.5%),4-8-1 (33.3%),3-5 (37.5%),2-5-1 (28.6%),3-5 (37.5%),2-5-1 (28.6%),0-0 (0.0%),0-0 (0.0%),6-10 (37.5%)
19,2002,12-4 (75.0%),10-6 (62.5%),10-3 (76.9%),8-5 (61.5%),6-2 (75.0%),6-2 (75.0%),5-2 (71.4%),5-2 (71.4%),1-0 (100.0%),1-0 (100.0%),6-10 (37.5%)
20,2001,9-7 (56.3%),6-9-1 (40.0%),8-4 (66.7%),4-8 (33.3%),5-3 (62.5%),4-4 (50.0%),5-3 (62.5%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),5-11 (31.3%)
21,2000,10-6 (62.5%),9-7 (56.3%),8-3 (72.7%),7-4 (63.6%),6-2 (75.0%),5-3 (62.5%),5-2 (71.4%),4-3 (57.1%),1-0 (100.0%),1-0 (100.0%),11-5 (68.8%)
22,1999,11-5 (68.8%),11-4-1 (73.3%),9-3 (75.0%),8-4 (66.7%),7-1 (87.5%),6-2 (75.0%),6-1 (85.7%),5-2 (71.4%),1-0 (100.0%),1-0 (100.0%),6-10 (37.5%)
23,1998,8-8 (50.0%),8-8 (50.0%),6-5 (54.5%),5-6 (45.5%),6-2 (75.0%),5-3 (62.5%),4-2 (66.7%),3-3 (50.0%),2-0 (100.0%),2-0 (100.0%),7-9 (43.8%)
24,1997,10-6 (62.5%),9-7 (56.3%),5-4 (55.6%),3-6 (33.3%),5-3 (62.5%),4-4 (50.0%),3-2 (60.0%),2-3 (40.0%),2-1 (66.7%),2-1 (66.7%),6-10 (37.5%)
