,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,9-8 (52.9%),9-8 (52.9%),6-3 (66.7%),5-4 (55.6%),2-5 (28.6%),2-5 (28.6%),1-2 (33.3%),1-2 (33.3%),1-3 (25.0%),1-3 (25.0%),6-10-1 (37.5%)
1,2020,12-4 (75.0%),9-7 (56.3%),11-3 (78.6%),8-6 (57.1%),6-2 (75.0%),4-4 (50.0%),6-1 (85.7%),4-3 (57.1%),0-1 (0.0%),0-1 (0.0%),10-6 (62.5%)
2,2019,13-3 (81.3%),11-5 (68.8%),9-2 (81.8%),7-4 (63.6%),6-2 (75.0%),4-4 (50.0%),5-2 (71.4%),3-4 (42.9%),1-0 (100.0%),1-0 (100.0%),9-7 (56.3%)
3,2018,13-3 (81.3%),10-6 (62.5%),10-3 (76.9%),7-6 (53.8%),6-2 (75.0%),4-4 (50.0%),5-2 (71.4%),3-4 (42.9%),1-0 (100.0%),1-0 (100.0%),7-9 (43.8%)
4,2017,11-5 (68.8%),9-7 (56.3%),10-1 (90.9%),8-3 (72.7%),7-1 (87.5%),5-3 (62.5%),7-0 (100.0%),5-2 (71.4%),0-1 (0.0%),0-1 (0.0%),9-7 (56.3%)
5,2016,7-9 (43.8%),11-5 (68.8%),3-4 (42.9%),3-4 (42.9%),4-4 (50.0%),4-4 (50.0%),2-4 (33.3%),2-4 (33.3%),2-0 (100.0%),2-0 (100.0%),9-7 (56.3%)
6,2015,7-9 (43.8%),8-7-1 (53.3%),3-4 (42.9%),2-4-1 (33.3%),4-4 (50.0%),4-3-1 (57.1%),3-3 (50.0%),2-3-1 (40.0%),1-1 (50.0%),2-0 (100.0%),10-6 (62.5%)
7,2014,7-9 (43.8%),6-10 (37.5%),6-8 (42.9%),4-10 (28.6%),3-5 (37.5%),2-6 (25.0%),3-5 (37.5%),2-6 (25.0%),0-0 (0.0%),0-0 (0.0%),10-6 (62.5%)
8,2013,11-5 (68.8%),8-8 (50.0%),11-2 (84.6%),8-5 (61.5%),8-0 (100.0%),7-1 (87.5%),8-0 (100.0%),7-1 (87.5%),0-0 (0.0%),0-0 (0.0%),6-10 (37.5%)
9,2012,7-9 (43.8%),8-8 (50.0%),5-4 (55.6%),5-4 (55.6%),4-4 (50.0%),4-4 (50.0%),3-3 (50.0%),3-3 (50.0%),1-1 (50.0%),1-1 (50.0%),10-6 (62.5%)
10,2011,13-3 (81.3%),12-4 (75.0%),12-2 (85.7%),11-3 (78.6%),8-0 (100.0%),8-0 (100.0%),8-0 (100.0%),8-0 (100.0%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
11,2010,11-5 (68.8%),6-9-1 (40.0%),10-4 (71.4%),5-8-1 (38.5%),5-3 (62.5%),3-4-1 (42.9%),5-3 (62.5%),3-4-1 (42.9%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
12,2009,13-3 (81.3%),8-8 (50.0%),13-2 (86.7%),8-7 (53.3%),6-2 (75.0%),4-4 (50.0%),6-2 (75.0%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),6-9-1 (40.0%)
13,2008,8-8 (50.0%),10-5-1 (66.7%),8-1 (88.9%),8-1 (88.9%),5-2 (71.4%),5-2 (71.4%),5-1 (83.3%),5-1 (83.3%),0-1 (0.0%),0-1 (0.0%),10-6 (62.5%)
14,2007,7-9 (43.8%),6-10 (37.5%),6-6 (50.0%),5-7 (41.7%),3-5 (37.5%),2-6 (25.0%),3-5 (37.5%),2-6 (25.0%),0-0 (0.0%),0-0 (0.0%),10-6 (62.5%)
15,2006,10-6 (62.5%),10-6 (62.5%),3-3 (50.0%),2-4 (33.3%),4-4 (50.0%),3-5 (37.5%),2-3 (40.0%),1-4 (20.0%),2-1 (66.7%),2-1 (66.7%),8-8 (50.0%)
16,2005,3-13 (18.8%),5-11 (31.3%),1-2 (33.3%),1-2 (33.3%),1-7 (12.5%),2-6 (25.0%),0-2 (0.0%),0-2 (0.0%),1-5 (16.7%),2-4 (33.3%),7-9 (43.8%)
17,2004,8-8 (50.0%),8-8 (50.0%),2-2 (50.0%),1-3 (25.0%),3-5 (37.5%),2-6 (25.0%),2-1 (66.7%),1-2 (33.3%),1-4 (20.0%),1-4 (20.0%),7-9 (43.8%)
18,2003,8-8 (50.0%),9-7 (56.3%),6-2 (75.0%),5-3 (62.5%),5-3 (62.5%),4-4 (50.0%),4-2 (66.7%),3-3 (50.0%),1-1 (50.0%),1-1 (50.0%),7-9 (43.8%)
19,2002,9-7 (56.3%),8-7-1 (53.3%),6-6 (50.0%),5-6-1 (45.5%),4-4 (50.0%),3-4-1 (42.9%),2-4 (33.3%),1-4-1 (20.0%),2-0 (100.0%),2-0 (100.0%),12-4 (75.0%)
20,2001,7-9 (43.8%),6-10 (37.5%),6-3 (66.7%),4-5 (44.4%),3-5 (37.5%),2-6 (25.0%),3-3 (50.0%),2-4 (33.3%),0-2 (0.0%),0-2 (0.0%),9-7 (56.3%)
