,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,7-10 (41.2%),9-8 (52.9%),4-4 (50.0%),4-4 (50.0%),3-5 (37.5%),4-4 (50.0%),2-3 (40.0%),2-3 (40.0%),1-2 (33.3%),2-1 (66.7%),6-10-1 (37.5%)
1,2020,12-4 (75.0%),8-8 (50.0%),11-3 (78.6%),7-7 (50.0%),7-1 (87.5%),6-2 (75.0%),7-1 (87.5%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),7-9 (43.8%)
2,2019,11-5 (68.8%),7-8-1 (46.7%),8-3 (72.7%),4-6-1 (40.0%),4-4 (50.0%),2-6 (25.0%),4-3 (57.1%),2-5 (28.6%),0-1 (0.0%),0-1 (0.0%),8-7-1 (53.3%)
3,2018,10-6 (62.5%),9-5-2 (64.3%),7-2 (77.8%),4-4-1 (50.0%),6-2 (75.0%),5-2-1 (71.4%),5-1 (83.3%),3-2-1 (60.0%),1-1 (50.0%),2-0 (100.0%),9-7 (56.3%)
4,2017,9-7 (56.3%),6-9-1 (40.0%),6-2 (75.0%),3-4-1 (42.9%),4-4 (50.0%),2-6 (25.0%),3-2 (60.0%),1-4 (20.0%),1-2 (33.3%),1-2 (33.3%),7-9 (43.8%)
5,2016,10-5-1 (66.7%),8-8 (50.0%),9-5 (64.3%),6-8 (42.9%),7-1 (87.5%),5-3 (62.5%),7-1 (87.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
6,2015,10-6 (62.5%),8-7-1 (53.3%),9-4 (69.2%),7-6 (53.8%),5-3 (62.5%),4-4 (50.0%),5-3 (62.5%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),7-6-3 (53.8%)
7,2014,12-4 (75.0%),10-6 (62.5%),11-3 (78.6%),9-5 (64.3%),7-1 (87.5%),6-2 (75.0%),7-1 (87.5%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
8,2013,13-3 (81.3%),10-5-1 (66.7%),13-2 (86.7%),10-5 (66.7%),7-1 (87.5%),5-3 (62.5%),7-1 (87.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),6-10 (37.5%)
9,2012,11-5 (68.8%),11-5 (68.8%),6-3 (66.7%),5-4 (55.6%),8-0 (100.0%),7-1 (87.5%),5-0 (100.0%),4-1 (80.0%),3-0 (100.0%),3-0 (100.0%),8-8 (50.0%)
