,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,12-5 (70.6%),13-4 (76.5%),10-3 (76.9%),10-3 (76.9%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),8-9 (47.1%)
1,2020,6-10 (37.5%),5-11 (31.3%),3-5 (37.5%),1-7 (12.5%),4-4 (50.0%),3-5 (37.5%),2-3 (40.0%),0-5 (0.0%),2-1 (66.7%),3-0 (100.0%),9-7 (56.3%)
2,2019,8-8 (50.0%),9-7 (56.3%),7-7 (50.0%),7-7 (50.0%),5-3 (62.5%),5-3 (62.5%),4-3 (57.1%),4-3 (57.1%),1-0 (100.0%),1-0 (100.0%),10-6 (62.5%)
3,2018,10-6 (62.5%),9-7 (56.3%),5-2 (71.4%),3-4 (42.9%),7-1 (87.5%),5-3 (62.5%),5-1 (83.3%),3-3 (50.0%),2-0 (100.0%),2-0 (100.0%),7-9 (43.8%)
4,2017,9-7 (56.3%),8-7-1 (53.3%),8-4 (66.7%),7-4-1 (63.6%),3-5 (37.5%),3-5 (37.5%),2-3 (40.0%),2-3 (40.0%),1-2 (33.3%),1-2 (33.3%),6-10 (37.5%)
5,2016,13-3 (81.3%),10-6 (62.5%),9-2 (81.8%),6-5 (54.5%),7-1 (87.5%),5-3 (62.5%),6-1 (85.7%),4-3 (57.1%),1-0 (100.0%),1-0 (100.0%),6-10 (37.5%)
6,2015,4-12 (25.0%),4-11-1 (26.7%),2-2 (50.0%),1-3 (25.0%),1-7 (12.5%),1-6-1 (14.3%),1-2 (33.3%),0-3 (0.0%),0-5 (0.0%),1-3-1 (25.0%),6-10 (37.5%)
7,2014,12-4 (75.0%),10-6 (62.5%),8-3 (72.7%),6-5 (54.5%),4-4 (50.0%),3-5 (37.5%),3-3 (50.0%),2-4 (33.3%),1-1 (50.0%),1-1 (50.0%),9-6-1 (60.0%)
8,2013,8-8 (50.0%),9-7 (56.3%),6-2 (75.0%),3-5 (37.5%),5-3 (62.5%),5-3 (62.5%),5-1 (83.3%),3-3 (50.0%),0-2 (0.0%),2-0 (100.0%),9-7 (56.3%)
9,2012,8-8 (50.0%),6-10 (37.5%),5-4 (55.6%),2-7 (22.2%),4-4 (50.0%),1-7 (12.5%),3-3 (50.0%),0-6 (0.0%),1-1 (50.0%),1-1 (50.0%),8-8 (50.0%)
10,2011,8-8 (50.0%),5-10-1 (33.3%),8-3 (72.7%),3-7-1 (30.0%),5-3 (62.5%),2-6 (25.0%),5-2 (71.4%),2-5 (28.6%),0-1 (0.0%),0-1 (0.0%),6-10 (37.5%)
11,2010,6-10 (37.5%),7-9 (43.8%),2-6 (25.0%),1-7 (12.5%),2-6 (25.0%),3-5 (37.5%),2-4 (33.3%),1-5 (16.7%),0-2 (0.0%),2-0 (100.0%),13-3 (81.3%)
12,2009,11-5 (68.8%),9-7 (56.3%),9-5 (64.3%),7-7 (50.0%),6-2 (75.0%),5-3 (62.5%),6-2 (75.0%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),6-10 (37.5%)
13,2008,9-7 (56.3%),7-9 (43.8%),9-4 (69.2%),7-6 (53.8%),6-2 (75.0%),4-4 (50.0%),6-2 (75.0%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
14,2007,13-3 (81.3%),9-7 (56.3%),12-1 (92.3%),8-5 (61.5%),6-2 (75.0%),5-3 (62.5%),6-1 (85.7%),5-2 (71.4%),0-1 (0.0%),0-1 (0.0%),10-6 (62.5%)
