,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,6-11 (35.3%),7-10 (41.2%),4-0 (100.0%),3-1 (75.0%),3-5 (37.5%),4-4 (50.0%),3-0 (100.0%),3-0 (100.0%),0-5 (0.0%),1-4 (20.0%),7-10 (41.2%)
1,2020,8-8 (50.0%),8-8 (50.0%),2-1 (66.7%),1-2 (33.3%),3-5 (37.5%),3-5 (37.5%),1-1 (50.0%),0-2 (0.0%),2-4 (33.3%),3-3 (50.0%),8-8 (50.0%)
2,2019,8-8 (50.0%),4-12 (25.0%),6-4 (60.0%),2-8 (20.0%),4-4 (50.0%),3-5 (37.5%),2-3 (40.0%),1-4 (20.0%),2-1 (66.7%),2-1 (66.7%),6-10 (37.5%)
3,2018,12-4 (75.0%),12-4 (75.0%),10-2 (83.3%),9-3 (75.0%),7-1 (87.5%),7-1 (87.5%),6-0 (100.0%),6-0 (100.0%),1-1 (50.0%),1-1 (50.0%),8-8 (50.0%)
4,2017,5-11 (31.3%),8-7-1 (53.3%),1-2 (33.3%),1-2 (33.3%),3-5 (37.5%),5-2-1 (71.4%),1-2 (33.3%),1-2 (33.3%),2-3 (40.0%),4-0-1 (100.0%),4-12 (25.0%)
5,2016,3-13 (18.8%),7-9 (43.8%),0-3 (0.0%),0-3 (0.0%),3-5 (37.5%),5-3 (62.5%),0-2 (0.0%),0-2 (0.0%),2-3 (40.0%),4-1 (80.0%),8-8 (50.0%)
6,2015,6-10 (37.5%),6-9-1 (40.0%),0-2 (0.0%),0-2 (0.0%),1-7 (12.5%),1-7 (12.5%),0-2 (0.0%),0-2 (0.0%),1-5 (16.7%),1-5 (16.7%),8-7-1 (53.3%)
7,2014,5-11 (31.3%),7-9 (43.8%),2-2 (50.0%),2-2 (50.0%),2-6 (25.0%),3-5 (37.5%),2-2 (50.0%),2-2 (50.0%),0-4 (0.0%),1-3 (25.0%),8-8 (50.0%)
8,2013,8-8 (50.0%),4-11-1 (26.7%),6-1 (85.7%),2-4-1 (33.3%),5-3 (62.5%),1-6-1 (14.3%),5-0 (100.0%),1-3-1 (25.0%),0-3 (0.0%),0-3 (0.0%),12-4 (75.0%)
9,2012,10-6 (62.5%),7-9 (43.8%),9-3 (75.0%),6-6 (50.0%),5-3 (62.5%),3-5 (37.5%),5-2 (71.4%),3-4 (42.9%),0-1 (0.0%),0-1 (0.0%),9-7 (56.3%)
