"Season","Name","Team","Pos","Inn","DRS","OAA","E","playerid"
"2017","Jonathan Schoop","BAL","2B","1385.0","14","6","15","11265"
"2015","Aramis Ramirez","- - -","3B","965.1","-7","","10","1002"
"2015","Yolmer Sanchez","CHW","2B","996.1","0","","5","11602"
"2022","Andrew Velazquez","LAA","SS","906.0","11","3","8","14196"
"2019","Manuel Margot","SDP","CF","943.1","6","11","2","14712"
"2020","Fernando Tatis Jr.","SDP","SS","473.1","0","7","3","19709"
"2020","J.P. Crawford","SEA","SS","454.2","6","6","3","15491"
"2019","Brandon Crawford","SFG","SS","1233.0","-10","5","16","5343"
"2021","Marcus Semien","TOR","2B","1246.1","11","7","8","12533"
"2018","Starlin Castro","MIA","2B","1314.0","-10","6","12","4579"
"2020","Dansby Swanson","ATL","SS","513.1","9","6","2","18314"
"2021","David Fletcher","LAA","2B","1211.2","11","9","6","17992"
"2022","Michael Harris II","ATL","CF","1021.0","8","7","2","25931"
"2015","Jordy Mercer","PIT","SS","986.1","1","","7","6547"
"2016","Manny Machado","BAL","3B","998.0","15","7","7","11493"
"2017","Manuel Margot","SDP","CF","1049.2","8","7","3","14712"
"2019","Evan Longoria","SFG","3B","1041.0","7","7","15","9368"
"2018","James McCann","DET","C","987.1","-2","","5","12859"
"2017","Adam Duvall","CIN","LF","1277.1","11","7","6","10950"
"2022","Elvis Andrus","- - -","SS","1220.1","-4","3","10","8709"
"2021","Myles Straw","- - -","CF","1338.0","4","9","2","17620"
"2015","Nolan Arenado","COL","3B","1362.0","22","","17","9777"
"2015","Ian Kinsler","DET","2B","1324.0","7","","13","6195"
"2020","Jacob Stallings","PIT","C","345.1","7","","4","13723"
"2019","Miguel Rojas","MIA","SS","1060.2","-1","0","11","7802"
"2018","Ian Kinsler","- - -","2B","1091.1","10","3","9","6195"
"2016","Eugenio Suarez","CIN","3B","1308.2","1","5","23","12552"
"2015","Adam Jones","BAL","CF","1168.2","5","","3","6368"
"2020","Nolan Arenado","COL","3B","417.1","13","6","3","9777"
"2018","Manny Machado","- - -","SS","1261.1","-10","2","12","11493"
"2022","Geraldo Perdomo","ARI","SS","1160.0","-3","0","14","22799"
"2020","Trent Grisham","SDP","CF","496.1","7","5","2","18564"
"2016","Asdrubal Cabrera","NYM","SS","1154.0","-2","-2","7","4962"
"2015","Yoenis Cespedes","- - -","LF","1022.1","16","","5","13110"
"2017","Xander Bogaerts","BOS","SS","1310.1","-11","2","17","12161"
"2016","Rougned Odor","TEX","2B","1271.0","-7","0","22","12282"
"2016","Troy Tulowitzki","TOR","SS","1128.2","9","-3","9","3531"
"2017","Jed Lowrie","OAK","2B","1161.0","-6","6","5","4418"
"2017","Anthony Rendon","WSN","3B","1268.1","9","5","7","12861"
"2016","Justin Turner","LAD","3B","1224.2","9","6","9","5235"
"2018","Marcus Semien","OAK","SS","1423.2","11","1","20","12533"
"2019","Jackie Bradley Jr.","BOS","CF","1247.0","0","6","4","12984"
"2022","Adam Frazier","SEA","2B","991.2","-1","6","6","15223"
"2022","Will Smith","LAD","C","956.1","7","","3","19197"
"2015","Austin Jackson","- - -","CF","939.0","0","","3","9848"
"2017","Eugenio Suarez","CIN","3B","1302.0","4","4","9","12552"
"2017","Alex Bregman","HOU","3B","1092.2","-2","5","10","17678"
"2018","Corey Dickerson","PIT","LF","1057.1","15","9","1","10762"
"2017","David Freese","PIT","3B","977.2","9","4","12","9549"
"2020","Carlos Correa","HOU","SS","475.0","7","5","1","14162"
"2020","Cesar Hernandez","CLE","2B","503.2","6","4","4","10556"
"2022","Javier Baez","DET","SS","1122.2","-4","2","26","12979"
"2019","Kolten Wong","STL","2B","1195.1","17","3","9","12532"
"2018","Manuel Margot","SDP","CF","1111.0","7","11","3","14712"
"2015","Trevor Plouffe","MIN","3B","1217.0","0","","11","7462"
"2019","Dansby Swanson","ATL","SS","1090.2","-2","1","12","18314"
"2016","Welington Castillo","ARI","C","925.0","2","","7","3256"
"2017","Rougned Odor","TEX","2B","1366.1","2","4","19","12282"
"2018","Johan Camargo","ATL","3B","937.0","3","4","10","14950"
"2016","Todd Frazier","CHW","3B","1320.1","0","4","11","785"
"2019","Joe Panik","- - -","2B","955.1","-7","5","5","11936"
"2019","Jonathan Schoop","MIN","2B","983.1","-2","4","14","11265"
"2022","Jose Iglesias","COL","SS","975.2","-4","0","8","10231"
"2018","Anthony Rendon","WSN","3B","1186.0","2","3","6","12861"
"2016","Odubel Herrera","PHI","CF","1301.1","10","6","9","11476"
"2017","Tucker Barnhart","CIN","C","926.1","15","","1","10200"
"2021","Manny Machado","SDP","3B","1238.1","6","3","13","11493"
