,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,4-13 (23.5%),6-11 (35.3%),0-1 (0.0%),0-1 (0.0%),3-5 (37.5%),3-5 (37.5%),0-1 (0.0%),0-1 (0.0%),3-4 (42.9%),3-4 (42.9%),6-11 (35.3%)
1,2020,6-10 (37.5%),9-7 (56.3%),2-0 (100.0%),0-2 (0.0%),3-5 (37.5%),3-5 (37.5%),1-0 (100.0%),0-1 (0.0%),2-5 (28.6%),3-4 (42.9%),3-13 (18.8%)
2,2019,4-12 (25.0%),7-9 (43.8%),3-2 (60.0%),3-2 (60.0%),2-6 (25.0%),2-6 (25.0%),2-1 (66.7%),2-1 (66.7%),0-5 (0.0%),0-5 (0.0%),10-6 (62.5%)
3,2018,5-11 (31.3%),8-7-1 (53.3%),2-1 (66.7%),1-1-1 (50.0%),2-6 (25.0%),1-6-1 (14.3%),1-1 (50.0%),0-1-1 (0.0%),1-5 (16.7%),1-5 (16.7%),9-7 (56.3%)
4,2017,3-13 (18.8%),7-9 (43.8%),0-3 (0.0%),0-3 (0.0%),2-6 (25.0%),3-5 (37.5%),0-2 (0.0%),0-2 (0.0%),2-4 (33.3%),3-3 (50.0%),6-10 (37.5%)
5,2016,11-5 (68.8%),9-6-1 (60.0%),7-1 (87.5%),5-3 (62.5%),7-1 (87.5%),5-3 (62.5%),5-1 (83.3%),3-3 (50.0%),2-0 (100.0%),2-0 (100.0%),4-12 (25.0%)
6,2015,6-10 (37.5%),8-7-1 (53.3%),5-3 (62.5%),4-4 (50.0%),3-5 (37.5%),4-4 (50.0%),3-2 (60.0%),2-3 (40.0%),0-3 (0.0%),2-1 (66.7%),10-6 (62.5%)
7,2014,6-10 (37.5%),7-9 (43.8%),4-1 (80.0%),4-1 (80.0%),3-5 (37.5%),4-4 (50.0%),3-0 (100.0%),3-0 (100.0%),0-4 (0.0%),1-3 (25.0%),10-5-1 (66.7%)
8,2013,7-9 (43.8%),7-9 (43.8%),4-3 (57.1%),3-4 (42.9%),4-4 (50.0%),3-5 (37.5%),4-2 (66.7%),3-3 (50.0%),0-2 (0.0%),0-2 (0.0%),7-9 (43.8%)
9,2012,9-7 (56.3%),7-9 (43.8%),7-5 (58.3%),5-7 (41.7%),6-2 (75.0%),4-4 (50.0%),6-2 (75.0%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),5-10-1 (33.3%)
10,2011,9-7 (56.3%),8-7-1 (53.3%),5-4 (55.6%),3-5-1 (37.5%),4-4 (50.0%),3-4-1 (42.9%),4-3 (57.1%),2-4-1 (33.3%),0-1 (0.0%),1-0 (100.0%),8-7-1 (53.3%)
11,2010,10-6 (62.5%),7-9 (43.8%),8-3 (72.7%),5-6 (45.5%),5-3 (62.5%),3-5 (37.5%),5-3 (62.5%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),8-7-1 (53.3%)
12,2009,8-8 (50.0%),6-9-1 (40.0%),6-5 (54.5%),4-6-1 (40.0%),4-4 (50.0%),2-5-1 (28.6%),3-3 (50.0%),1-4-1 (20.0%),1-1 (50.0%),1-1 (50.0%),11-4-1 (73.3%)
13,2008,12-4 (75.0%),12-4 (75.0%),10-2 (83.3%),9-3 (75.0%),7-1 (87.5%),6-2 (75.0%),7-1 (87.5%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),8-7-1 (53.3%)
14,2007,10-6 (62.5%),10-6 (62.5%),7-3 (70.0%),6-4 (60.0%),3-5 (37.5%),4-4 (50.0%),2-3 (40.0%),2-3 (40.0%),1-2 (33.3%),2-1 (66.7%),8-8 (50.0%)
15,2006,8-8 (50.0%),8-8 (50.0%),5-4 (55.6%),4-5 (44.4%),3-5 (37.5%),3-5 (37.5%),3-3 (50.0%),2-4 (33.3%),0-2 (0.0%),1-1 (50.0%),7-8-1 (46.7%)
16,2005,11-5 (68.8%),11-4-1 (73.3%),11-1 (91.7%),9-2-1 (81.8%),7-1 (87.5%),6-2 (75.0%),7-1 (87.5%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),8-7-1 (53.3%)
