,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,3-13-1 (18.8%),11-6 (64.7%),0-0 (0.0%),0-0 (0.0%),3-5 (37.5%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),3-5 (37.5%),6-2 (75.0%),7-10 (41.2%)
1,2020,5-11 (31.3%),7-9 (43.8%),2-2 (50.0%),2-2 (50.0%),1-7 (12.5%),3-5 (37.5%),1-1 (50.0%),1-1 (50.0%),0-6 (0.0%),2-4 (33.3%),10-5-1 (66.7%)
2,2019,3-12-1 (20.0%),6-10 (37.5%),1-1-1 (50.0%),0-3 (0.0%),2-6 (25.0%),4-4 (50.0%),1-0 (100.0%),0-1 (0.0%),1-6 (14.3%),4-3 (57.1%),10-6 (62.5%)
3,2018,6-10 (37.5%),9-7 (56.3%),3-2 (60.0%),3-2 (60.0%),3-5 (37.5%),3-5 (37.5%),1-2 (33.3%),1-2 (33.3%),2-3 (40.0%),2-3 (40.0%),6-10 (37.5%)
4,2017,9-7 (56.3%),8-7-1 (53.3%),5-2 (71.4%),4-2-1 (66.7%),4-4 (50.0%),4-4 (50.0%),3-1 (75.0%),3-1 (75.0%),1-3 (25.0%),1-3 (25.0%),10-6 (62.5%)
5,2016,9-7 (56.3%),8-8 (50.0%),4-2 (66.7%),3-3 (50.0%),6-2 (75.0%),5-3 (62.5%),4-1 (80.0%),3-2 (60.0%),2-1 (66.7%),2-1 (66.7%),6-10 (37.5%)
6,2015,7-9 (43.8%),7-8-1 (46.7%),4-1 (80.0%),3-1-1 (75.0%),4-4 (50.0%),3-4-1 (42.9%),3-0 (100.0%),2-0-1 (100.0%),1-4 (20.0%),1-4 (20.0%),9-7 (56.3%)
7,2014,11-5 (68.8%),7-9 (43.8%),10-1 (90.9%),6-5 (54.5%),7-1 (87.5%),5-3 (62.5%),7-1 (87.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),5-11 (31.3%)
8,2013,7-9 (43.8%),6-10 (37.5%),7-7 (50.0%),6-8 (42.9%),4-4 (50.0%),3-5 (37.5%),4-4 (50.0%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
9,2012,4-12 (25.0%),6-10 (37.5%),3-5 (37.5%),2-6 (25.0%),2-6 (25.0%),3-5 (37.5%),2-2 (50.0%),1-3 (25.0%),0-4 (0.0%),2-2 (50.0%),10-5-1 (66.7%)
10,2011,10-6 (62.5%),7-8-1 (46.7%),7-3 (70.0%),4-5-1 (44.4%),5-3 (62.5%),4-4 (50.0%),4-2 (66.7%),3-3 (50.0%),1-1 (50.0%),1-1 (50.0%),10-6 (62.5%)
11,2010,6-10 (37.5%),12-4 (75.0%),3-0 (100.0%),3-0 (100.0%),4-4 (50.0%),7-1 (87.5%),3-0 (100.0%),3-0 (100.0%),1-4 (20.0%),4-1 (80.0%),10-5-1 (66.7%)
12,2009,2-14 (12.5%),4-10-2 (28.6%),1-1 (50.0%),0-2 (0.0%),2-6 (25.0%),3-5 (37.5%),1-1 (50.0%),0-2 (0.0%),1-5 (16.7%),3-3 (50.0%),8-8 (50.0%)
13,2008,0-16 (0.0%),7-9 (43.8%),0-1 (0.0%),0-1 (0.0%),0-8 (0.0%),1-7 (12.5%),0-0 (0.0%),0-0 (0.0%),0-8 (0.0%),1-7 (12.5%),10-5-1 (66.7%)
14,2007,7-9 (43.8%),6-8-2 (42.9%),4-0 (100.0%),2-0-2 (100.0%),5-3 (62.5%),4-2-2 (66.7%),4-0 (100.0%),2-0-2 (100.0%),1-3 (25.0%),2-2 (50.0%),11-5 (68.8%)
15,2006,3-13 (18.8%),6-10 (37.5%),1-3 (25.0%),1-3 (25.0%),2-6 (25.0%),4-4 (50.0%),1-3 (25.0%),1-3 (25.0%),1-3 (25.0%),3-1 (75.0%),9-7 (56.3%)
16,2005,5-11 (31.3%),8-8 (50.0%),3-3 (50.0%),3-3 (50.0%),3-5 (37.5%),3-5 (37.5%),3-1 (75.0%),3-1 (75.0%),0-3 (0.0%),0-3 (0.0%),6-10 (37.5%)
17,2004,6-10 (37.5%),8-7-1 (53.3%),3-3 (50.0%),2-3-1 (40.0%),3-5 (37.5%),3-4-1 (42.9%),3-2 (60.0%),2-2-1 (50.0%),0-3 (0.0%),1-2 (33.3%),7-9 (43.8%)
18,2003,5-11 (31.3%),9-7 (56.3%),1-1 (50.0%),1-1 (50.0%),5-3 (62.5%),5-3 (62.5%),1-1 (50.0%),1-1 (50.0%),3-2 (60.0%),3-2 (60.0%),6-10 (37.5%)
19,2002,3-13 (18.8%),7-9 (43.8%),1-1 (50.0%),0-2 (0.0%),3-5 (37.5%),5-3 (62.5%),1-0 (100.0%),0-1 (0.0%),2-5 (28.6%),5-2 (71.4%),11-5 (68.8%)
20,2001,2-14 (12.5%),9-7 (56.3%),0-2 (0.0%),0-2 (0.0%),2-6 (25.0%),5-3 (62.5%),0-1 (0.0%),0-1 (0.0%),2-5 (28.6%),5-2 (71.4%),8-8 (50.0%)
21,2000,9-7 (56.3%),9-7 (56.3%),3-3 (50.0%),2-4 (33.3%),4-4 (50.0%),3-5 (37.5%),3-3 (50.0%),2-4 (33.3%),1-1 (50.0%),1-1 (50.0%),8-8 (50.0%)
22,1999,8-8 (50.0%),7-8-1 (46.7%),2-4 (33.3%),1-5 (16.7%),6-2 (75.0%),5-3 (62.5%),2-2 (50.0%),1-3 (25.0%),4-0 (100.0%),4-0 (100.0%),9-7 (56.3%)
23,1998,5-11 (31.3%),5-11 (31.3%),1-3 (25.0%),1-3 (25.0%),4-4 (50.0%),4-4 (50.0%),1-2 (33.3%),1-2 (33.3%),3-2 (60.0%),3-2 (60.0%),6-8-2 (42.9%)
24,1997,9-7 (56.3%),9-6-1 (60.0%),4-3 (57.1%),3-4 (42.9%),6-2 (75.0%),5-3 (62.5%),4-2 (66.7%),3-3 (50.0%),2-0 (100.0%),2-0 (100.0%),7-9 (43.8%)
25,1996,5-11 (31.3%),5-11 (31.3%),5-2 (71.4%),3-4 (42.9%),4-4 (50.0%),2-6 (25.0%),4-2 (66.7%),2-4 (33.3%),0-2 (0.0%),0-2 (0.0%),9-7 (56.3%)
26,1995,10-6 (62.5%),10-6 (62.5%),7-2 (77.8%),6-3 (66.7%),7-1 (87.5%),6-2 (75.0%),5-1 (83.3%),4-2 (66.7%),2-0 (100.0%),2-0 (100.0%),9-6-1 (60.0%)
27,1994,9-7 (56.3%),7-9 (43.8%),5-2 (71.4%),3-4 (42.9%),6-2 (75.0%),4-4 (50.0%),5-1 (83.3%),3-3 (50.0%),1-1 (50.0%),1-1 (50.0%),8-7-1 (53.3%)
28,1993,10-6 (62.5%),9-7 (56.3%),6-3 (66.7%),5-4 (55.6%),5-3 (62.5%),5-3 (62.5%),4-2 (66.7%),4-2 (66.7%),1-1 (50.0%),1-1 (50.0%),7-8-1 (46.7%)
29,1992,5-11 (31.3%),8-8 (50.0%),2-2 (50.0%),2-2 (50.0%),3-5 (37.5%),3-5 (37.5%),2-2 (50.0%),2-2 (50.0%),1-2 (33.3%),1-2 (33.3%),9-7 (56.3%)
30,1991,12-4 (75.0%),12-4 (75.0%),9-1 (90.0%),9-1 (90.0%),8-0 (100.0%),8-0 (100.0%),7-0 (100.0%),7-0 (100.0%),1-0 (100.0%),1-0 (100.0%),7-8-1 (46.7%)
31,1990,6-10 (37.5%),7-7-2 (50.0%),3-3 (50.0%),3-3 (50.0%),3-5 (37.5%),3-4-1 (42.9%),2-3 (40.0%),2-3 (40.0%),1-2 (33.3%),1-1-1 (50.0%),9-7 (56.3%)
32,1989,7-9 (43.8%),11-5 (68.8%),2-1 (66.7%),2-1 (66.7%),4-4 (50.0%),4-4 (50.0%),1-1 (50.0%),1-1 (50.0%),3-3 (50.0%),3-3 (50.0%),7-9 (43.8%)
33,1988,4-12 (25.0%),8-8 (50.0%),2-1 (66.7%),2-1 (66.7%),2-6 (25.0%),3-5 (37.5%),2-1 (66.7%),2-1 (66.7%),0-5 (0.0%),1-4 (20.0%),5-11 (31.3%)
34,1987,4-11 (26.7%),6-9 (40.0%),1-2 (33.3%),1-2 (33.3%),1-6 (14.3%),2-5 (28.6%),0-2 (0.0%),0-2 (0.0%),1-4 (20.0%),2-3 (40.0%),6-6 (50.0%)
35,1986,5-11 (31.3%),9-7 (56.3%),3-4 (42.9%),3-4 (42.9%),1-7 (12.5%),2-6 (25.0%),1-4 (20.0%),1-4 (20.0%),0-3 (0.0%),1-2 (33.3%),5-11 (31.3%)
36,1985,7-9 (43.8%),8-8 (50.0%),2-3 (40.0%),2-3 (40.0%),6-2 (75.0%),6-2 (75.0%),2-1 (66.7%),2-1 (66.7%),4-1 (80.0%),4-1 (80.0%),8-8 (50.0%)
37,1984,4-11-1 (26.7%),6-10 (37.5%),1-4-1 (20.0%),1-5 (16.7%),2-5-1 (28.6%),2-6 (25.0%),1-3-1 (25.0%),1-4 (20.0%),1-2 (33.3%),1-2 (33.3%),9-7 (56.3%)
38,1983,9-7 (56.3%),8-8 (50.0%),4-3 (57.1%),3-4 (42.9%),6-2 (75.0%),5-3 (62.5%),4-2 (66.7%),3-3 (50.0%),2-0 (100.0%),2-0 (100.0%),9-7 (56.3%)
39,1982,4-5 (44.4%),5-4 (55.6%),1-4 (20.0%),1-4 (20.0%),2-3 (40.0%),2-3 (40.0%),1-3 (25.0%),1-3 (25.0%),0-0 (0.0%),0-0 (0.0%),5-4 (55.6%)
40,1981,8-8 (50.0%),9-6-1 (60.0%),6-3 (66.7%),5-4 (55.6%),7-1 (87.5%),6-2 (75.0%),5-1 (83.3%),4-2 (66.7%),2-0 (100.0%),2-0 (100.0%),11-5 (68.8%)
41,1980,9-7 (56.3%),9-5-2 (64.3%),7-3 (70.0%),5-4-1 (55.6%),6-2 (75.0%),5-2-1 (71.4%),6-1 (85.7%),4-2-1 (66.7%),0-1 (0.0%),1-0 (100.0%),5-11 (31.3%)
42,1979,2-14 (12.5%),4-11-1 (26.7%),0-2 (0.0%),0-2 (0.0%),2-6 (25.0%),3-4-1 (42.9%),0-2 (0.0%),0-2 (0.0%),2-3 (40.0%),3-1-1 (75.0%),8-8 (50.0%)
43,1978,7-9 (43.8%),8-8 (50.0%),3-1 (75.0%),3-1 (75.0%),5-3 (62.5%),6-2 (75.0%),2-1 (66.7%),2-1 (66.7%),3-2 (60.0%),4-1 (80.0%),0-0 (0.0%)
44,1977,6-8 (42.9%),4-10 (28.6%),4-1 (80.0%),0-5 (0.0%),5-2 (71.4%),1-6 (14.3%),4-0 (100.0%),0-4 (0.0%),1-2 (33.3%),1-2 (33.3%),0-0 (0.0%)
45,1976,6-8 (42.9%),8-5-1 (61.5%),4-4 (50.0%),4-4 (50.0%),5-2 (71.4%),7-0 (100.0%),3-0 (100.0%),3-0 (100.0%),2-2 (50.0%),4-0 (100.0%),0-0 (0.0%)
46,1975,7-7 (50.0%),7-7 (50.0%),3-1 (75.0%),2-2 (50.0%),4-3 (57.1%),3-4 (42.9%),3-0 (100.0%),2-1 (66.7%),1-3 (25.0%),1-3 (25.0%),0-0 (0.0%)
47,1974,7-7 (50.0%),6-8 (42.9%),5-2 (71.4%),1-6 (14.3%),5-2 (71.4%),2-5 (28.6%),5-1 (83.3%),1-5 (16.7%),0-1 (0.0%),1-0 (100.0%),0-0 (0.0%)
