,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,9-8 (52.9%),9-8 (52.9%),6-1 (85.7%),5-2 (71.4%),3-5 (37.5%),4-4 (50.0%),3-0 (100.0%),3-0 (100.0%),0-5 (0.0%),1-4 (20.0%),10-7 (58.8%)
1,2020,4-11-1 (26.7%),6-10 (37.5%),2-4-1 (33.3%),1-6 (14.3%),3-4-1 (42.9%),5-3 (62.5%),2-1-1 (66.7%),1-3 (25.0%),1-3 (25.0%),4-0 (100.0%),7-9 (43.8%)
2,2019,9-7 (56.3%),7-9 (43.8%),6-3 (66.7%),4-5 (44.4%),5-3 (62.5%),3-5 (37.5%),4-1 (80.0%),2-3 (40.0%),1-2 (33.3%),1-2 (33.3%),8-8 (50.0%)
3,2018,9-7 (56.3%),7-9 (43.8%),8-5 (61.5%),6-7 (46.2%),5-3 (62.5%),3-5 (37.5%),5-3 (62.5%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),7-9 (43.8%)
4,2017,13-3 (81.3%),10-6 (62.5%),10-1 (90.9%),7-4 (63.6%),7-1 (87.5%),5-3 (62.5%),7-0 (100.0%),5-2 (71.4%),0-1 (0.0%),0-1 (0.0%),8-8 (50.0%)
5,2016,7-9 (43.8%),8-8 (50.0%),4-3 (57.1%),4-3 (57.1%),6-2 (75.0%),6-2 (75.0%),4-1 (80.0%),4-1 (80.0%),2-1 (66.7%),2-1 (66.7%),9-7 (56.3%)
6,2015,7-9 (43.8%),7-9 (43.8%),4-6 (40.0%),4-6 (40.0%),3-5 (37.5%),3-5 (37.5%),3-4 (42.9%),3-4 (42.9%),0-1 (0.0%),0-1 (0.0%),8-8 (50.0%)
7,2014,10-6 (62.5%),8-7-1 (53.3%),7-3 (70.0%),5-5 (50.0%),6-2 (75.0%),4-4 (50.0%),6-1 (85.7%),4-3 (57.1%),0-1 (0.0%),0-1 (0.0%),9-6-1 (60.0%)
8,2013,10-6 (62.5%),8-8 (50.0%),7-5 (58.3%),5-7 (41.7%),4-4 (50.0%),3-5 (37.5%),4-4 (50.0%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
9,2012,4-12 (25.0%),4-12 (25.0%),3-3 (50.0%),1-5 (16.7%),2-6 (25.0%),1-7 (12.5%),2-2 (50.0%),1-3 (25.0%),0-4 (0.0%),0-4 (0.0%),8-7-1 (53.3%)
10,2011,8-8 (50.0%),8-8 (50.0%),6-7 (46.2%),6-7 (46.2%),3-5 (37.5%),3-5 (37.5%),3-4 (42.9%),3-4 (42.9%),0-1 (0.0%),0-1 (0.0%),7-9 (43.8%)
11,2010,10-6 (62.5%),7-9 (43.8%),8-3 (72.7%),5-6 (45.5%),4-4 (50.0%),3-5 (37.5%),4-2 (66.7%),3-3 (50.0%),0-1 (0.0%),0-1 (0.0%),10-6 (62.5%)
12,2009,11-5 (68.8%),9-7 (56.3%),10-2 (83.3%),8-4 (66.7%),6-2 (75.0%),4-4 (50.0%),5-1 (83.3%),3-3 (50.0%),1-1 (50.0%),1-1 (50.0%),10-6 (62.5%)
13,2008,9-6-1 (60.0%),10-6 (62.5%),8-4-1 (66.7%),8-5 (61.5%),6-2 (75.0%),6-2 (75.0%),6-2 (75.0%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),7-8-1 (46.7%)
14,2007,8-8 (50.0%),8-8 (50.0%),5-6 (45.5%),4-7 (36.4%),3-5 (37.5%),2-6 (25.0%),3-4 (42.9%),2-5 (28.6%),0-1 (0.0%),0-1 (0.0%),7-9 (43.8%)
15,2006,10-6 (62.5%),8-7-1 (53.3%),7-5 (58.3%),5-6-1 (45.5%),5-3 (62.5%),4-4 (50.0%),4-3 (57.1%),3-4 (42.9%),1-0 (100.0%),1-0 (100.0%),9-7 (56.3%)
16,2005,6-10 (37.5%),4-11-1 (26.7%),4-3 (57.1%),2-5 (28.6%),4-4 (50.0%),2-5-1 (28.6%),4-1 (80.0%),2-3 (40.0%),0-3 (0.0%),0-2-1 (0.0%),8-8 (50.0%)
17,2004,13-3 (81.3%),9-7 (56.3%),13-1 (92.9%),9-5 (64.3%),7-1 (87.5%),5-3 (62.5%),7-0 (100.0%),5-2 (71.4%),0-1 (0.0%),0-1 (0.0%),5-11 (31.3%)
18,2003,12-4 (75.0%),11-5 (68.8%),7-3 (70.0%),6-4 (60.0%),5-3 (62.5%),4-4 (50.0%),5-3 (62.5%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),9-6-1 (60.0%)
19,2002,12-4 (75.0%),10-6 (62.5%),10-2 (83.3%),8-4 (66.7%),7-1 (87.5%),6-2 (75.0%),6-1 (85.7%),5-2 (71.4%),1-0 (100.0%),1-0 (100.0%),9-6-1 (60.0%)
20,2001,11-5 (68.8%),10-5-1 (66.7%),9-3 (75.0%),8-4 (66.7%),4-4 (50.0%),3-4-1 (42.9%),4-3 (57.1%),3-4 (42.9%),0-1 (0.0%),0-0-1 (0.0%),5-10-1 (33.3%)
21,2000,11-5 (68.8%),10-5-1 (66.7%),7-1 (87.5%),3-4-1 (42.9%),5-3 (62.5%),4-3-1 (57.1%),5-1 (83.3%),2-3-1 (40.0%),0-2 (0.0%),2-0 (100.0%),8-8 (50.0%)
22,1999,5-11 (31.3%),10-6 (62.5%),0-0 (0.0%),0-0 (0.0%),4-4 (50.0%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),4-4 (50.0%),5-3 (62.5%),8-8 (50.0%)
23,1998,3-13 (18.8%),7-7-2 (50.0%),1-0 (100.0%),1-0 (100.0%),3-5 (37.5%),4-3-1 (57.1%),1-0 (100.0%),1-0 (100.0%),2-5 (28.6%),3-3-1 (50.0%),3-13 (18.8%)
24,1997,6-9-1 (40.0%),7-9 (43.8%),3-3 (50.0%),1-5 (16.7%),6-2 (75.0%),4-4 (50.0%),3-1 (75.0%),1-3 (25.0%),3-1 (75.0%),3-1 (75.0%),8-8 (50.0%)
25,1996,10-6 (62.5%),9-7 (56.3%),7-5 (58.3%),6-6 (50.0%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),11-5 (68.8%)
26,1995,10-6 (62.5%),8-7-1 (53.3%),5-3 (62.5%),3-4-1 (42.9%),6-2 (75.0%),4-3-1 (57.1%),4-2 (66.7%),2-3-1 (40.0%),2-0 (100.0%),2-0 (100.0%),8-8 (50.0%)
