,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,9-8 (52.9%),9-7-1 (56.3%),5-2 (71.4%),4-3 (57.1%),6-3 (66.7%),5-3-1 (62.5%),3-1 (75.0%),2-2 (50.0%),3-2 (60.0%),3-1-1 (75.0%),7-10 (41.2%)
1,2020,10-6 (62.5%),11-5 (68.8%),5-2 (71.4%),4-3 (57.1%),5-3 (62.5%),7-1 (87.5%),3-0 (100.0%),3-0 (100.0%),2-3 (40.0%),4-1 (80.0%),7-9 (43.8%)
2,2019,5-11 (31.3%),9-7 (56.3%),0-0 (0.0%),0-0 (0.0%),3-5 (37.5%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),3-5 (37.5%),4-4 (50.0%),9-7 (56.3%)
3,2018,7-9 (43.8%),8-8 (50.0%),3-1 (75.0%),3-1 (75.0%),6-2 (75.0%),6-2 (75.0%),3-1 (75.0%),3-1 (75.0%),3-1 (75.0%),3-1 (75.0%),8-8 (50.0%)
4,2017,6-10 (37.5%),5-9-2 (35.7%),1-1 (50.0%),0-1-1 (0.0%),4-3 (57.1%),3-2-2 (60.0%),1-0 (100.0%),0-0-1 (0.0%),2-3 (40.0%),2-2-1 (50.0%),8-8 (50.0%)
5,2016,10-6 (62.5%),9-7 (56.3%),4-1 (80.0%),2-3 (40.0%),6-2 (75.0%),4-4 (50.0%),3-1 (75.0%),1-3 (25.0%),3-1 (75.0%),3-1 (75.0%),12-4 (75.0%)
6,2015,6-10 (37.5%),5-11 (31.3%),3-4 (42.9%),2-5 (28.6%),3-4 (42.9%),2-5 (28.6%),2-2 (50.0%),1-3 (25.0%),1-2 (33.3%),1-2 (33.3%),7-9 (43.8%)
7,2014,8-8 (50.0%),7-9 (43.8%),6-3 (66.7%),4-5 (44.4%),4-4 (50.0%),3-5 (37.5%),3-3 (50.0%),2-4 (33.3%),1-1 (50.0%),1-1 (50.0%),8-8 (50.0%)
8,2013,8-8 (50.0%),8-7-1 (53.3%),2-5 (28.6%),2-5 (28.6%),4-4 (50.0%),4-3-1 (57.1%),2-3 (40.0%),2-3 (40.0%),2-1 (66.7%),2-0-1 (100.0%),7-8-1 (46.7%)
9,2012,7-9 (43.8%),8-7-1 (53.3%),3-2 (60.0%),2-3 (40.0%),5-3 (62.5%),5-2-1 (71.4%),3-1 (75.0%),2-2 (50.0%),2-2 (50.0%),3-0-1 (100.0%),5-10-1 (33.3%)
10,2011,6-10 (37.5%),8-7-1 (53.3%),4-2 (66.7%),3-2-1 (60.0%),4-4 (50.0%),3-4-1 (42.9%),4-1 (80.0%),3-1-1 (75.0%),0-3 (0.0%),0-3 (0.0%),4-12 (25.0%)
11,2010,7-9 (43.8%),8-8 (50.0%),2-5 (28.6%),2-5 (28.6%),1-7 (12.5%),2-6 (25.0%),1-5 (16.7%),1-5 (16.7%),0-2 (0.0%),1-1 (50.0%),7-9 (43.8%)
12,2009,7-9 (43.8%),8-8 (50.0%),2-2 (50.0%),1-3 (25.0%),4-4 (50.0%),3-5 (37.5%),2-1 (66.7%),1-2 (33.3%),2-3 (40.0%),2-3 (40.0%),9-6-1 (60.0%)
13,2008,11-5 (68.8%),8-8 (50.0%),6-1 (85.7%),2-5 (28.6%),5-3 (62.5%),2-6 (25.0%),4-1 (80.0%),1-4 (20.0%),1-2 (33.3%),1-2 (33.3%),6-10 (37.5%)
14,2007,1-15 (6.3%),5-9-2 (35.7%),0-2 (0.0%),0-2 (0.0%),1-6 (14.3%),1-6 (14.3%),0-2 (0.0%),0-2 (0.0%),1-4 (20.0%),1-4 (20.0%),9-7 (56.3%)
15,2006,6-10 (37.5%),6-10 (37.5%),4-4 (50.0%),3-5 (37.5%),4-4 (50.0%),3-5 (37.5%),3-3 (50.0%),2-4 (33.3%),1-0 (100.0%),1-0 (100.0%),6-10 (37.5%)
