,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,12-5 (70.6%),8-9 (47.1%),12-5 (70.6%),8-9 (47.1%),7-2 (77.8%),4-5 (44.4%),7-2 (77.8%),4-5 (44.4%),0-0 (0.0%),0-0 (0.0%),9-7-1 (56.3%)
1,2020,14-2 (87.5%),7-9 (43.8%),13-1 (92.9%),6-8 (42.9%),6-2 (75.0%),3-5 (37.5%),6-1 (85.7%),3-4 (42.9%),0-1 (0.0%),0-1 (0.0%),8-8 (50.0%)
2,2019,12-4 (75.0%),10-5-1 (66.7%),10-3 (76.9%),8-4-1 (66.7%),5-3 (62.5%),4-3-1 (57.1%),4-2 (66.7%),3-2-1 (60.0%),1-1 (50.0%),1-1 (50.0%),8-8 (50.0%)
3,2018,12-4 (75.0%),9-6-1 (60.0%),10-2 (83.3%),6-6 (50.0%),7-1 (87.5%),4-4 (50.0%),7-1 (87.5%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),10-5-1 (66.7%)
4,2017,10-6 (62.5%),10-6 (62.5%),8-5 (61.5%),8-5 (61.5%),6-2 (75.0%),6-2 (75.0%),6-2 (75.0%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
5,2016,12-4 (75.0%),9-7 (56.3%),9-3 (75.0%),6-6 (50.0%),6-2 (75.0%),3-5 (37.5%),6-2 (75.0%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),6-10 (37.5%)
6,2015,11-5 (68.8%),8-8 (50.0%),9-2 (81.8%),6-5 (54.5%),5-2 (71.4%),2-5 (28.6%),5-2 (71.4%),2-5 (28.6%),0-0 (0.0%),0-0 (0.0%),8-7-1 (53.3%)
7,2014,9-7 (56.3%),10-5-1 (66.7%),4-3 (57.1%),4-3 (57.1%),6-2 (75.0%),6-2 (75.0%),4-1 (80.0%),4-1 (80.0%),1-0 (100.0%),1-0 (100.0%),5-11 (31.3%)
8,2013,11-5 (68.8%),9-7 (56.3%),10-2 (83.3%),7-5 (58.3%),5-3 (62.5%),2-6 (25.0%),5-2 (71.4%),2-5 (28.6%),0-1 (0.0%),0-1 (0.0%),7-9 (43.8%)
9,2012,2-14 (12.5%),5-11 (31.3%),0-1 (0.0%),0-1 (0.0%),1-7 (12.5%),3-5 (37.5%),0-1 (0.0%),0-1 (0.0%),1-6 (14.3%),3-4 (42.9%),6-10 (37.5%)
10,2011,7-9 (43.8%),9-7 (56.3%),0-4 (0.0%),0-4 (0.0%),3-5 (37.5%),4-4 (50.0%),0-4 (0.0%),0-4 (0.0%),3-1 (75.0%),4-0 (100.0%),4-12 (25.0%)
11,2010,10-6 (62.5%),9-7 (56.3%),6-2 (75.0%),4-4 (50.0%),7-1 (87.5%),5-3 (62.5%),5-1 (83.3%),3-3 (50.0%),2-0 (100.0%),2-0 (100.0%),7-9 (43.8%)
12,2009,4-12 (25.0%),7-9 (43.8%),0-2 (0.0%),0-2 (0.0%),1-7 (12.5%),2-6 (25.0%),0-2 (0.0%),0-2 (0.0%),1-5 (16.7%),2-4 (33.3%),9-5-2 (64.3%)
13,2008,2-14 (12.5%),8-8 (50.0%),0-1 (0.0%),0-1 (0.0%),1-7 (12.5%),3-5 (37.5%),0-1 (0.0%),0-1 (0.0%),1-6 (14.3%),3-4 (42.9%),8-8 (50.0%)
14,2007,4-12 (25.0%),6-8-2 (42.9%),1-3 (25.0%),0-3-1 (0.0%),2-6 (25.0%),1-6-1 (14.3%),1-3 (25.0%),0-3-1 (0.0%),1-3 (25.0%),1-3 (25.0%),8-8 (50.0%)
15,2006,9-7 (56.3%),8-8 (50.0%),7-2 (77.8%),5-4 (55.6%),6-2 (75.0%),5-3 (62.5%),5-1 (83.3%),4-2 (66.7%),1-1 (50.0%),1-1 (50.0%),7-9 (43.8%)
16,2005,10-6 (62.5%),9-6-1 (60.0%),9-1 (90.0%),8-2 (80.0%),7-1 (87.5%),6-2 (75.0%),6-1 (85.7%),5-2 (71.4%),0-0 (0.0%),0-0 (0.0%),6-10 (37.5%)
17,2004,7-9 (43.8%),6-10 (37.5%),4-7 (36.4%),3-8 (27.3%),4-4 (50.0%),3-5 (37.5%),2-3 (40.0%),1-4 (20.0%),2-1 (66.7%),2-1 (66.7%),10-6 (62.5%)
18,2003,13-3 (81.3%),10-6 (62.5%),12-2 (85.7%),9-5 (64.3%),8-0 (100.0%),6-2 (75.0%),8-0 (100.0%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),10-6 (62.5%)
19,2002,8-8 (50.0%),10-5-1 (66.7%),5-2 (71.4%),4-3 (57.1%),6-2 (75.0%),5-2-1 (71.4%),4-1 (80.0%),3-2 (60.0%),2-1 (66.7%),2-0-1 (100.0%),11-5 (68.8%)
20,2001,6-10 (37.5%),7-8-1 (46.7%),3-3 (50.0%),2-4 (33.3%),3-5 (37.5%),2-5-1 (28.6%),2-2 (50.0%),1-3 (25.0%),1-3 (25.0%),1-2-1 (33.3%),8-8 (50.0%)
21,2000,7-9 (43.8%),7-9 (43.8%),4-5 (44.4%),3-6 (33.3%),5-3 (62.5%),4-4 (50.0%),3-2 (60.0%),2-3 (40.0%),2-1 (66.7%),2-1 (66.7%),7-8-1 (46.7%)
22,1999,9-7 (56.3%),8-8 (50.0%),6-3 (66.7%),5-4 (55.6%),6-2 (75.0%),5-3 (62.5%),5-2 (71.4%),4-3 (57.1%),1-0 (100.0%),1-0 (100.0%),7-9 (43.8%)
23,1998,7-9 (43.8%),7-9 (43.8%),6-3 (66.7%),5-4 (55.6%),5-3 (62.5%),5-3 (62.5%),5-2 (71.4%),5-2 (71.4%),0-1 (0.0%),0-1 (0.0%),6-9-1 (40.0%)
24,1997,13-3 (81.3%),11-3-2 (78.6%),8-0 (100.0%),6-1-1 (85.7%),8-0 (100.0%),6-1-1 (85.7%),6-0 (100.0%),4-1-1 (80.0%),2-0 (100.0%),2-0 (100.0%),6-10 (37.5%)
25,1996,9-7 (56.3%),6-10 (37.5%),8-3 (72.7%),5-6 (45.5%),5-3 (62.5%),3-5 (37.5%),4-3 (57.1%),2-5 (28.6%),1-0 (100.0%),1-0 (100.0%),8-8 (50.0%)
26,1995,13-3 (81.3%),9-7 (56.3%),9-0 (100.0%),5-4 (55.6%),8-0 (100.0%),4-4 (50.0%),8-0 (100.0%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),6-9-1 (40.0%)
27,1994,9-7 (56.3%),9-7 (56.3%),6-4 (60.0%),6-4 (60.0%),5-3 (62.5%),5-3 (62.5%),4-3 (57.1%),4-3 (57.1%),1-0 (100.0%),1-0 (100.0%),6-10 (37.5%)
28,1993,11-5 (68.8%),8-8 (50.0%),10-3 (76.9%),7-6 (53.8%),7-1 (87.5%),5-3 (62.5%),7-1 (87.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
29,1992,10-6 (62.5%),8-7-1 (53.3%),9-3 (75.0%),6-6 (50.0%),7-1 (87.5%),5-3 (62.5%),6-1 (85.7%),4-3 (57.1%),1-0 (100.0%),1-0 (100.0%),9-6-1 (60.0%)
30,1991,10-6 (62.5%),6-10 (37.5%),7-4 (63.6%),3-8 (27.3%),6-2 (75.0%),3-5 (37.5%),5-2 (71.4%),2-5 (28.6%),1-0 (100.0%),1-0 (100.0%),7-9 (43.8%)
31,1990,11-5 (68.8%),10-4-2 (71.4%),8-3 (72.7%),6-3-2 (66.7%),6-2 (75.0%),5-2-1 (71.4%),5-2 (71.4%),4-2-1 (66.7%),1-0 (100.0%),1-0 (100.0%),9-7 (56.3%)
32,1989,8-7-1 (53.3%),8-7-1 (53.3%),4-1 (80.0%),3-2 (60.0%),5-3 (62.5%),4-3-1 (57.1%),4-1 (80.0%),3-2 (60.0%),1-1 (50.0%),1-0-1 (100.0%),6-10 (37.5%)
33,1988,4-11-1 (26.7%),8-8 (50.0%),1-3 (25.0%),1-3 (25.0%),4-4 (50.0%),5-3 (62.5%),1-3 (25.0%),1-3 (25.0%),3-1 (75.0%),4-0 (100.0%),6-10 (37.5%)
34,1987,4-11 (26.7%),8-7 (53.3%),1-3 (25.0%),1-3 (25.0%),3-4 (42.9%),4-3 (57.1%),1-3 (25.0%),1-3 (25.0%),2-1 (66.7%),3-0 (100.0%),6-6 (50.0%)
35,1986,10-6 (62.5%),8-8 (50.0%),4-2 (66.7%),2-4 (33.3%),6-2 (75.0%),4-4 (50.0%),4-1 (80.0%),2-3 (40.0%),2-1 (66.7%),2-1 (66.7%),7-9 (43.8%)
36,1985,6-10 (37.5%),7-9 (43.8%),3-2 (60.0%),3-2 (60.0%),5-3 (62.5%),5-3 (62.5%),3-1 (75.0%),3-1 (75.0%),2-1 (66.7%),2-1 (66.7%),7-9 (43.8%)
37,1984,8-8 (50.0%),8-8 (50.0%),2-2 (50.0%),0-4 (0.0%),5-3 (62.5%),4-4 (50.0%),2-2 (50.0%),0-4 (0.0%),3-1 (75.0%),4-0 (100.0%),6-9-1 (40.0%)
38,1983,6-10 (37.5%),9-7 (56.3%),4-1 (80.0%),3-2 (60.0%),5-3 (62.5%),6-2 (75.0%),3-1 (75.0%),3-1 (75.0%),2-2 (50.0%),3-1 (75.0%),10-6 (62.5%)
39,1982,3-6 (33.3%),3-6 (33.3%),0-1 (0.0%),0-1 (0.0%),2-2 (50.0%),2-2 (50.0%),0-0 (0.0%),0-0 (0.0%),2-2 (50.0%),2-2 (50.0%),4-5 (44.4%)
40,1981,9-7 (56.3%),11-5 (68.8%),3-2 (60.0%),3-2 (60.0%),5-3 (62.5%),5-3 (62.5%),3-2 (60.0%),3-2 (60.0%),1-1 (50.0%),1-1 (50.0%),6-10 (37.5%)
41,1980,8-8 (50.0%),8-7-1 (53.3%),1-4 (20.0%),0-4-1 (0.0%),3-5 (37.5%),2-5-1 (28.6%),1-4 (20.0%),0-4-1 (0.0%),2-1 (66.7%),2-1 (66.7%),6-9-1 (40.0%)
42,1979,7-9 (43.8%),7-7-2 (50.0%),1-1 (50.0%),1-1 (50.0%),3-5 (37.5%),3-4-1 (42.9%),1-1 (50.0%),1-1 (50.0%),2-3 (40.0%),2-2-1 (50.0%),5-10-1 (33.3%)
43,1978,4-12 (25.0%),8-8 (50.0%),1-2 (33.3%),0-3 (0.0%),3-5 (37.5%),4-4 (50.0%),1-2 (33.3%),0-3 (0.0%),2-3 (40.0%),4-1 (80.0%),0-0 (0.0%)
44,1977,2-12 (14.3%),8-6 (57.1%),1-2 (33.3%),1-2 (33.3%),1-6 (14.3%),4-3 (57.1%),1-2 (33.3%),1-2 (33.3%),0-4 (0.0%),3-1 (75.0%),1-0 (100.0%)
45,1976,5-9 (35.7%),9-5 (64.3%),1-2 (33.3%),1-2 (33.3%),1-6 (14.3%),3-4 (42.9%),0-2 (0.0%),0-2 (0.0%),1-4 (20.0%),3-2 (60.0%),0-0 (0.0%)
46,1975,5-9 (35.7%),6-8 (42.9%),3-1 (75.0%),2-2 (50.0%),3-4 (42.9%),3-4 (42.9%),2-1 (66.7%),2-1 (66.7%),1-1 (50.0%),1-1 (50.0%),0-0 (0.0%)
