,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,11-6 (64.7%),10-7 (58.8%),5-6 (45.5%),4-7 (36.4%),3-5 (37.5%),2-6 (25.0%),3-5 (37.5%),2-6 (25.0%),0-0 (0.0%),0-0 (0.0%),8-9 (47.1%)
1,2020,8-8 (50.0%),7-9 (43.8%),5-5 (50.0%),4-6 (40.0%),4-4 (50.0%),3-5 (37.5%),3-3 (50.0%),2-4 (33.3%),1-1 (50.0%),1-1 (50.0%),5-11 (31.3%)
2,2019,5-10-1 (33.3%),9-5-2 (64.3%),0-1 (0.0%),0-1 (0.0%),2-5-1 (28.6%),4-4 (50.0%),0-1 (0.0%),0-1 (0.0%),2-4-1 (33.3%),4-3 (57.1%),9-7 (56.3%)
3,2018,3-13 (18.8%),7-8-1 (46.7%),0-2 (0.0%),0-2 (0.0%),1-7 (12.5%),3-5 (37.5%),0-2 (0.0%),0-2 (0.0%),1-5 (16.7%),3-3 (50.0%),7-9 (43.8%)
4,2017,8-8 (50.0%),6-9-1 (40.0%),4-1 (80.0%),2-3 (40.0%),5-3 (62.5%),4-3-1 (57.1%),2-0 (100.0%),1-1 (50.0%),3-3 (50.0%),3-2-1 (60.0%),6-10 (37.5%)
5,2016,7-8-1 (46.7%),6-10 (37.5%),6-5-1 (54.5%),5-7 (41.7%),4-3-1 (57.1%),3-5 (37.5%),4-3-1 (57.1%),3-5 (37.5%),0-0 (0.0%),0-0 (0.0%),10-6 (62.5%)
6,2015,13-3 (81.3%),9-6-1 (60.0%),12-3 (80.0%),8-6-1 (57.1%),6-2 (75.0%),3-4-1 (42.9%),6-2 (75.0%),3-4-1 (42.9%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
7,2014,11-5 (68.8%),11-5 (68.8%),6-1 (85.7%),5-2 (71.4%),7-1 (87.5%),6-2 (75.0%),4-0 (100.0%),3-1 (75.0%),3-1 (75.0%),3-1 (75.0%),5-10-1 (33.3%)
8,2013,10-6 (62.5%),10-5-1 (66.7%),6-1 (85.7%),4-2-1 (66.7%),6-2 (75.0%),5-3 (62.5%),4-1 (80.0%),3-2 (60.0%),2-1 (66.7%),2-1 (66.7%),8-8 (50.0%)
9,2012,5-11 (31.3%),7-9 (43.8%),1-3 (25.0%),0-4 (0.0%),4-4 (50.0%),3-5 (37.5%),1-2 (33.3%),0-3 (0.0%),3-2 (60.0%),3-2 (60.0%),7-9 (43.8%)
10,2011,8-8 (50.0%),8-7-1 (53.3%),4-1 (80.0%),2-2-1 (50.0%),6-2 (75.0%),4-3-1 (57.1%),4-0 (100.0%),2-1-1 (66.7%),2-2 (50.0%),2-2 (50.0%),6-9-1 (40.0%)
11,2010,5-11 (31.3%),5-11 (31.3%),2-2 (50.0%),1-3 (25.0%),4-4 (50.0%),3-5 (37.5%),1-2 (33.3%),0-3 (0.0%),3-2 (60.0%),3-2 (60.0%),10-6 (62.5%)
12,2009,10-6 (62.5%),8-8 (50.0%),5-5 (50.0%),3-7 (30.0%),4-4 (50.0%),4-4 (50.0%),3-4 (42.9%),3-4 (42.9%),1-0 (100.0%),1-0 (100.0%),5-11 (31.3%)
13,2008,9-7 (56.3%),9-7 (56.3%),8-1 (88.9%),7-2 (77.8%),6-2 (75.0%),5-3 (62.5%),5-1 (83.3%),4-2 (66.7%),1-1 (50.0%),1-1 (50.0%),11-5 (68.8%)
14,2007,8-8 (50.0%),8-7-1 (53.3%),4-2 (66.7%),2-4 (33.3%),6-2 (75.0%),5-3 (62.5%),3-2 (60.0%),2-3 (40.0%),2-0 (100.0%),2-0 (100.0%),11-5 (68.8%)
15,2006,5-11 (31.3%),8-8 (50.0%),2-2 (50.0%),1-3 (25.0%),3-5 (37.5%),4-4 (50.0%),2-1 (66.7%),1-2 (33.3%),1-4 (20.0%),3-2 (60.0%),9-6-1 (60.0%)
16,2005,5-11 (31.3%),6-10 (37.5%),4-1 (80.0%),4-1 (80.0%),2-5 (28.6%),2-5 (28.6%),2-0 (100.0%),2-0 (100.0%),0-5 (0.0%),0-5 (0.0%),10-6 (62.5%)
17,2004,6-10 (37.5%),9-7 (56.3%),2-1 (66.7%),2-1 (66.7%),5-3 (62.5%),5-3 (62.5%),2-1 (66.7%),2-1 (66.7%),3-2 (60.0%),3-2 (60.0%),9-7 (56.3%)
18,2003,4-12 (25.0%),6-10 (37.5%),0-0 (0.0%),0-0 (0.0%),4-4 (50.0%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),4-4 (50.0%),6-2 (75.0%),7-9 (43.8%)
19,2002,5-11 (31.3%),6-10 (37.5%),1-1 (50.0%),0-2 (0.0%),3-5 (37.5%),3-5 (37.5%),1-1 (50.0%),0-2 (0.0%),2-4 (33.3%),3-3 (50.0%),8-8 (50.0%)
20,2001,7-9 (43.8%),9-6-1 (60.0%),2-2 (50.0%),2-2 (50.0%),3-5 (37.5%),3-5 (37.5%),2-1 (66.7%),2-1 (66.7%),1-4 (20.0%),1-4 (20.0%),5-10-1 (33.3%)
21,2000,3-13 (18.8%),4-12 (25.0%),2-1 (66.7%),1-2 (33.3%),3-5 (37.5%),3-5 (37.5%),2-1 (66.7%),1-2 (33.3%),1-4 (20.0%),2-3 (40.0%),6-10 (37.5%)
22,1999,6-10 (37.5%),6-10 (37.5%),3-0 (100.0%),1-2 (33.3%),4-4 (50.0%),3-5 (37.5%),2-0 (100.0%),1-1 (50.0%),2-4 (33.3%),2-4 (33.3%),7-9 (43.8%)
23,1998,9-7 (56.3%),5-10-1 (33.3%),6-2 (75.0%),2-5-1 (28.6%),5-3 (62.5%),2-6 (25.0%),5-2 (71.4%),2-5 (28.6%),0-1 (0.0%),0-1 (0.0%),9-7 (56.3%)
24,1997,4-12 (25.0%),8-7-1 (53.3%),0-2 (0.0%),0-2 (0.0%),3-5 (37.5%),3-4-1 (42.9%),0-2 (0.0%),0-2 (0.0%),3-3 (50.0%),3-2-1 (60.0%),8-8 (50.0%)
25,1996,7-9 (43.8%),10-6 (62.5%),3-1 (75.0%),3-1 (75.0%),5-3 (62.5%),6-2 (75.0%),3-1 (75.0%),3-1 (75.0%),2-2 (50.0%),3-1 (75.0%),10-6 (62.5%)
26,1995,4-12 (25.0%),7-9 (43.8%),2-3 (40.0%),2-3 (40.0%),3-5 (37.5%),3-5 (37.5%),2-2 (50.0%),2-2 (50.0%),1-3 (25.0%),1-3 (25.0%),10-5-1 (66.7%)
27,1994,8-8 (50.0%),8-8 (50.0%),5-4 (55.6%),4-5 (44.4%),5-3 (62.5%),5-3 (62.5%),3-2 (60.0%),2-3 (40.0%),2-1 (66.7%),3-0 (100.0%),7-8-1 (46.7%)
28,1993,7-9 (43.8%),10-5-1 (66.7%),2-2 (50.0%),2-2 (50.0%),4-4 (50.0%),4-3-1 (57.1%),2-2 (50.0%),2-2 (50.0%),2-2 (50.0%),2-1-1 (66.7%),7-8-1 (46.7%)
29,1992,4-12 (25.0%),8-8 (50.0%),1-1 (50.0%),1-1 (50.0%),3-5 (37.5%),4-4 (50.0%),1-1 (50.0%),1-1 (50.0%),2-4 (33.3%),3-3 (50.0%),7-9 (43.8%)
30,1991,4-12 (25.0%),7-9 (43.8%),1-1 (50.0%),1-1 (50.0%),2-6 (25.0%),3-5 (37.5%),1-1 (50.0%),1-1 (50.0%),1-5 (16.7%),2-4 (33.3%),4-12 (25.0%)
31,1990,5-11 (31.3%),9-7 (56.3%),3-0 (100.0%),3-0 (100.0%),3-5 (37.5%),6-2 (75.0%),3-0 (100.0%),3-0 (100.0%),0-5 (0.0%),3-2 (60.0%),10-6 (62.5%)
32,1989,5-11 (31.3%),6-10 (37.5%),4-2 (66.7%),3-3 (50.0%),2-6 (25.0%),1-7 (12.5%),2-2 (50.0%),1-3 (25.0%),0-4 (0.0%),0-4 (0.0%),6-9-1 (40.0%)
33,1988,7-9 (43.8%),6-10 (37.5%),4-3 (57.1%),3-4 (42.9%),4-4 (50.0%),3-5 (37.5%),3-3 (50.0%),2-4 (33.3%),1-1 (50.0%),1-1 (50.0%),10-5-1 (66.7%)
34,1987,7-8 (46.7%),9-6 (60.0%),4-4 (50.0%),4-4 (50.0%),4-3 (57.1%),4-3 (57.1%),2-2 (50.0%),2-2 (50.0%),1-1 (50.0%),1-1 (50.0%),8-3-1 (72.7%)
35,1986,4-11-1 (26.7%),7-9 (43.8%),1-0 (100.0%),0-1 (0.0%),3-5 (37.5%),4-4 (50.0%),1-0 (100.0%),0-1 (0.0%),2-5 (28.6%),4-3 (57.1%),5-11 (31.3%)
36,1985,5-11 (31.3%),5-11 (31.3%),4-5 (44.4%),4-5 (44.4%),4-4 (50.0%),4-4 (50.0%),3-2 (60.0%),3-2 (60.0%),1-2 (33.3%),1-2 (33.3%),8-7-1 (53.3%)
37,1984,9-7 (56.3%),9-7 (56.3%),6-2 (75.0%),4-4 (50.0%),5-3 (62.5%),4-4 (50.0%),4-2 (66.7%),3-3 (50.0%),1-1 (50.0%),1-1 (50.0%),10-6 (62.5%)
38,1983,8-7-1 (53.3%),8-8 (50.0%),2-0-1 (100.0%),2-1 (66.7%),4-3-1 (57.1%),4-4 (50.0%),1-0-1 (100.0%),1-1 (50.0%),3-3 (50.0%),3-3 (50.0%),10-5-1 (66.7%)
39,1982,5-4 (55.6%),5-4 (55.6%),3-0 (100.0%),3-0 (100.0%),1-3 (25.0%),1-3 (25.0%),1-0 (100.0%),1-0 (100.0%),0-3 (0.0%),0-3 (0.0%),4-5 (44.4%)
40,1981,7-9 (43.8%),7-9 (43.8%),3-1 (75.0%),3-1 (75.0%),5-3 (62.5%),5-3 (62.5%),2-1 (66.7%),2-1 (66.7%),3-1 (75.0%),3-1 (75.0%),7-9 (43.8%)
41,1980,5-11 (31.3%),5-10-1 (33.3%),3-3 (50.0%),2-4 (33.3%),2-6 (25.0%),2-6 (25.0%),1-3 (25.0%),0-4 (0.0%),1-3 (25.0%),2-2 (50.0%),7-8-1 (46.7%)
42,1979,5-11 (31.3%),8-7-1 (53.3%),4-3 (57.1%),3-4 (42.9%),3-5 (37.5%),4-4 (50.0%),3-3 (50.0%),2-4 (33.3%),0-2 (0.0%),2-0 (100.0%),11-5 (68.8%)
43,1978,6-10 (37.5%),8-8 (50.0%),4-3 (57.1%),4-3 (57.1%),3-5 (37.5%),4-4 (50.0%),3-2 (60.0%),3-2 (60.0%),0-3 (0.0%),1-2 (33.3%),0-0 (0.0%)
44,1977,7-7 (50.0%),5-9 (35.7%),5-5 (50.0%),3-7 (30.0%),4-3 (57.1%),2-5 (28.6%),4-2 (66.7%),2-4 (33.3%),0-1 (0.0%),0-1 (0.0%),0-2 (0.0%)
45,1976,10-4 (71.4%),5-8-1 (38.5%),7-3 (70.0%),2-8 (20.0%),6-1 (85.7%),4-3 (57.1%),4-1 (80.0%),2-3 (40.0%),2-0 (100.0%),2-0 (100.0%),0-0 (0.0%)
46,1975,11-3 (78.6%),7-7 (50.0%),11-1 (91.7%),7-5 (58.3%),6-1 (85.7%),3-4 (42.9%),6-1 (85.7%),3-4 (42.9%),0-0 (0.0%),0-0 (0.0%),0-0 (0.0%)
47,1974,10-4 (71.4%),9-5 (64.3%),6-2 (75.0%),4-4 (50.0%),5-2 (71.4%),5-2 (71.4%),2-1 (66.7%),2-1 (66.7%),2-1 (66.7%),2-1 (66.7%),0-0 (0.0%)
48,1973,4-9-1 (30.8%),6-7-1 (46.2%),1-1 (50.0%),1-1 (50.0%),2-4-1 (33.3%),4-2-1 (66.7%),0-1 (0.0%),0-1 (0.0%),2-3-1 (40.0%),4-1-1 (80.0%),0-0 (0.0%)
49,1972,4-9-1 (30.8%),5-9 (35.7%),1-0-1 (100.0%),0-2 (0.0%),2-5 (28.6%),1-6 (14.3%),1-0 (100.0%),0-1 (0.0%),1-5 (16.7%),1-5 (16.7%),0-0 (0.0%)
50,1971,4-9-1 (30.8%),4-10 (28.6%),2-3-1 (40.0%),1-5 (16.7%),1-5-1 (16.7%),2-5 (28.6%),1-3-1 (25.0%),1-4 (20.0%),0-2 (0.0%),1-1 (50.0%),0-0 (0.0%)
51,1970,8-5-1 (61.5%),7-7 (50.0%),6-3 (66.7%),4-5 (44.4%),6-1 (85.7%),4-3 (57.1%),5-1 (83.3%),3-3 (50.0%),1-0 (100.0%),1-0 (100.0%),0-0 (0.0%)
