,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,10-7 (58.8%),10-6-1 (62.5%),5-3 (62.5%),4-4 (50.0%),5-4 (55.6%),4-4-1 (50.0%),3-2 (60.0%),2-3 (40.0%),2-2 (50.0%),2-1-1 (66.7%),8-7-2 (53.3%)
1,2020,4-11-1 (26.7%),9-7 (56.3%),1-0 (100.0%),1-0 (100.0%),3-5 (37.5%),5-3 (62.5%),1-0 (100.0%),1-0 (100.0%),2-5 (28.6%),4-3 (57.1%),7-8-1 (46.7%)
2,2019,2-14 (12.5%),6-10 (37.5%),0-3 (0.0%),0-3 (0.0%),2-6 (25.0%),2-6 (25.0%),0-2 (0.0%),0-2 (0.0%),2-4 (33.3%),2-4 (33.3%),7-9 (43.8%)
3,2018,6-10 (37.5%),9-7 (56.3%),5-1 (83.3%),4-2 (66.7%),4-4 (50.0%),3-5 (37.5%),4-1 (80.0%),3-2 (60.0%),0-3 (0.0%),0-3 (0.0%),8-6-2 (57.1%)
4,2017,7-9 (43.8%),9-7 (56.3%),4-3 (57.1%),3-4 (42.9%),4-4 (50.0%),4-4 (50.0%),3-3 (50.0%),2-4 (33.3%),1-1 (50.0%),2-0 (100.0%),7-9 (43.8%)
5,2016,6-9-1 (40.0%),7-9 (43.8%),4-4-1 (50.0%),4-5 (44.4%),4-3 (57.1%),4-3 (57.1%),3-2 (60.0%),3-2 (60.0%),1-1 (50.0%),1-1 (50.0%),6-10 (37.5%)
6,2015,12-4 (75.0%),11-3-2 (78.6%),10-2 (83.3%),8-3-1 (72.7%),6-2 (75.0%),4-3-1 (57.1%),6-2 (75.0%),4-3-1 (57.1%),0-0 (0.0%),0-0 (0.0%),7-9 (43.8%)
7,2014,10-5-1 (66.7%),8-7-1 (53.3%),4-2-1 (66.7%),2-4-1 (33.3%),5-2-1 (71.4%),4-3-1 (57.1%),3-2-1 (60.0%),2-3-1 (40.0%),2-0 (100.0%),2-0 (100.0%),6-10 (37.5%)
8,2013,11-5 (68.8%),10-5-1 (66.7%),8-3 (72.7%),7-4 (63.6%),8-0 (100.0%),8-0 (100.0%),6-0 (100.0%),6-0 (100.0%),2-0 (100.0%),2-0 (100.0%),10-5-1 (66.7%)
9,2012,10-6 (62.5%),9-6-1 (60.0%),6-4 (60.0%),5-4-1 (55.6%),4-4 (50.0%),3-4-1 (42.9%),3-3 (50.0%),2-3-1 (40.0%),1-1 (50.0%),1-1 (50.0%),6-10 (37.5%)
10,2011,9-7 (56.3%),8-6-2 (57.1%),6-2 (75.0%),4-3-1 (57.1%),4-4 (50.0%),3-5 (37.5%),3-2 (60.0%),2-3 (40.0%),1-2 (33.3%),1-2 (33.3%),10-5-1 (66.7%)
11,2010,4-12 (25.0%),7-9 (43.8%),1-4 (20.0%),1-4 (20.0%),3-5 (37.5%),4-4 (50.0%),0-3 (0.0%),0-3 (0.0%),2-2 (50.0%),3-1 (75.0%),8-8 (50.0%)
12,2009,10-6 (62.5%),7-9 (43.8%),4-3 (57.1%),0-7 (0.0%),6-2 (75.0%),3-5 (37.5%),3-2 (60.0%),0-5 (0.0%),3-0 (100.0%),3-0 (100.0%),7-9 (43.8%)
13,2008,4-11-1 (26.7%),7-9 (43.8%),1-3 (25.0%),1-3 (25.0%),3-4-1 (42.9%),4-4 (50.0%),1-2 (33.3%),1-2 (33.3%),2-2-1 (50.0%),3-2 (60.0%),5-10-1 (33.3%)
14,2007,7-9 (43.8%),6-9-1 (40.0%),4-5 (44.4%),3-6 (33.3%),5-3 (62.5%),4-4 (50.0%),3-1 (75.0%),2-2 (50.0%),2-2 (50.0%),2-2 (50.0%),7-9 (43.8%)
15,2006,8-8 (50.0%),8-7-1 (53.3%),6-4 (60.0%),5-4-1 (55.6%),4-4 (50.0%),3-4-1 (42.9%),4-3 (57.1%),3-3-1 (50.0%),0-1 (0.0%),0-1 (0.0%),7-9 (43.8%)
16,2005,11-5 (68.8%),8-6-2 (57.1%),10-2 (83.3%),7-4-1 (63.6%),5-3 (62.5%),2-5-1 (28.6%),5-2 (71.4%),2-4-1 (33.3%),0-1 (0.0%),0-1 (0.0%),8-8 (50.0%)
17,2004,8-8 (50.0%),7-9 (43.8%),4-0 (100.0%),2-2 (50.0%),5-3 (62.5%),3-5 (37.5%),3-0 (100.0%),1-2 (33.3%),1-3 (25.0%),1-3 (25.0%),9-7 (56.3%)
18,2003,8-8 (50.0%),9-6-1 (60.0%),3-2 (60.0%),2-2-1 (50.0%),5-3 (62.5%),4-3-1 (57.1%),2-1 (66.7%),1-1-1 (50.0%),3-2 (60.0%),3-2 (60.0%),7-9 (43.8%)
19,2002,2-14 (12.5%),4-12 (25.0%),0-1 (0.0%),0-1 (0.0%),1-7 (12.5%),1-7 (12.5%),0-1 (0.0%),0-1 (0.0%),1-6 (14.3%),1-6 (14.3%),11-5 (68.8%)
20,2001,6-10 (37.5%),8-8 (50.0%),1-3 (25.0%),1-3 (25.0%),4-4 (50.0%),5-3 (62.5%),1-3 (25.0%),1-3 (25.0%),2-1 (66.7%),3-0 (100.0%),7-9 (43.8%)
21,2000,4-12 (25.0%),7-8-1 (46.7%),2-1 (66.7%),2-1 (66.7%),3-5 (37.5%),4-4 (50.0%),1-1 (50.0%),1-1 (50.0%),2-4 (33.3%),3-3 (50.0%),5-11 (31.3%)
22,1999,4-12 (25.0%),5-10-1 (33.3%),3-1 (75.0%),2-2 (50.0%),2-6 (25.0%),3-4-1 (42.9%),2-1 (66.7%),2-1 (66.7%),0-5 (0.0%),1-3-1 (25.0%),9-7 (56.3%)
23,1998,3-13 (18.8%),4-11-1 (26.7%),0-1 (0.0%),0-1 (0.0%),1-7 (12.5%),2-5-1 (28.6%),0-1 (0.0%),0-1 (0.0%),1-5 (16.7%),2-3-1 (40.0%),9-7 (56.3%)
24,1997,7-9 (43.8%),7-9 (43.8%),4-2 (66.7%),2-4 (33.3%),6-2 (75.0%),4-4 (50.0%),3-1 (75.0%),1-3 (25.0%),3-1 (75.0%),3-1 (75.0%),9-7 (56.3%)
25,1996,8-8 (50.0%),9-5-2 (64.3%),4-1 (80.0%),4-1 (80.0%),6-2 (75.0%),6-2 (75.0%),4-1 (80.0%),4-1 (80.0%),2-1 (66.7%),2-1 (66.7%),9-5-2 (64.3%)
26,1995,7-9 (43.8%),10-6 (62.5%),2-2 (50.0%),1-3 (25.0%),3-5 (37.5%),4-4 (50.0%),1-1 (50.0%),0-2 (0.0%),2-4 (33.3%),4-2 (66.7%),9-7 (56.3%)
27,1994,3-13 (18.8%),8-8 (50.0%),1-0 (100.0%),1-0 (100.0%),2-6 (25.0%),4-4 (50.0%),1-0 (100.0%),1-0 (100.0%),0-6 (0.0%),2-4 (33.3%),10-6 (62.5%)
28,1993,3-13 (18.8%),8-8 (50.0%),0-0 (0.0%),0-0 (0.0%),3-5 (37.5%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),3-5 (37.5%),4-4 (50.0%),7-9 (43.8%)
29,1992,5-11 (31.3%),7-9 (43.8%),1-2 (33.3%),1-2 (33.3%),3-5 (37.5%),3-5 (37.5%),1-2 (33.3%),1-2 (33.3%),2-3 (40.0%),2-3 (40.0%),8-8 (50.0%)
30,1991,3-13 (18.8%),4-12 (25.0%),0-4 (0.0%),0-4 (0.0%),3-5 (37.5%),3-5 (37.5%),0-3 (0.0%),0-3 (0.0%),3-2 (60.0%),3-2 (60.0%),9-7 (56.3%)
31,1990,9-7 (56.3%),8-8 (50.0%),5-3 (62.5%),3-5 (37.5%),5-3 (62.5%),4-4 (50.0%),4-2 (66.7%),2-4 (33.3%),1-1 (50.0%),2-0 (100.0%),9-7 (56.3%)
32,1989,8-8 (50.0%),9-6-1 (60.0%),7-4 (63.6%),6-4-1 (60.0%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),7-9 (43.8%)
33,1988,12-4 (75.0%),11-5 (68.8%),9-2 (81.8%),8-3 (72.7%),8-0 (100.0%),7-1 (87.5%),8-0 (100.0%),7-1 (87.5%),0-0 (0.0%),0-0 (0.0%),9-6-1 (60.0%)
34,1987,4-11 (26.7%),3-12 (20.0%),3-4 (42.9%),1-6 (14.3%),1-7 (12.5%),0-8 (0.0%),1-4 (20.0%),0-5 (0.0%),0-2 (0.0%),0-2 (0.0%),7-4-1 (63.6%)
35,1986,10-6 (62.5%),7-9 (43.8%),7-4 (63.6%),3-8 (27.3%),6-2 (75.0%),3-5 (37.5%),6-1 (85.7%),3-4 (42.9%),0-1 (0.0%),0-1 (0.0%),7-9 (43.8%)
36,1985,7-9 (43.8%),7-9 (43.8%),3-3 (50.0%),3-3 (50.0%),5-3 (62.5%),5-3 (62.5%),2-2 (50.0%),2-2 (50.0%),3-1 (75.0%),3-1 (75.0%),10-6 (62.5%)
37,1984,8-8 (50.0%),9-6-1 (60.0%),6-3 (66.7%),5-3-1 (62.5%),5-3 (62.5%),5-3 (62.5%),4-2 (66.7%),4-2 (66.7%),1-1 (50.0%),1-1 (50.0%),9-7 (56.3%)
38,1983,7-9 (43.8%),7-9 (43.8%),4-5 (44.4%),4-5 (44.4%),4-4 (50.0%),4-4 (50.0%),3-3 (50.0%),3-3 (50.0%),0-1 (0.0%),0-1 (0.0%),7-9 (43.8%)
39,1982,7-2 (77.8%),5-4 (55.6%),6-1 (85.7%),4-3 (57.1%),4-0 (100.0%),4-0 (100.0%),4-0 (100.0%),4-0 (100.0%),0-0 (0.0%),0-0 (0.0%),4-5 (44.4%)
40,1981,12-4 (75.0%),11-5 (68.8%),6-3 (66.7%),5-4 (55.6%),6-2 (75.0%),6-2 (75.0%),4-2 (66.7%),4-2 (66.7%),2-0 (100.0%),2-0 (100.0%),9-7 (56.3%)
41,1980,6-10 (37.5%),7-7-2 (50.0%),1-1 (50.0%),1-1 (50.0%),3-5 (37.5%),3-3-2 (50.0%),1-0 (100.0%),1-0 (100.0%),2-5 (28.6%),2-3-2 (40.0%),6-10 (37.5%)
42,1979,4-12 (25.0%),6-8-2 (42.9%),3-1 (75.0%),3-1 (75.0%),4-4 (50.0%),5-1-2 (83.3%),3-0 (100.0%),3-0 (100.0%),1-3 (25.0%),2-0-2 (100.0%),11-4-1 (73.3%)
43,1978,4-12 (25.0%),8-8 (50.0%),2-3 (40.0%),2-3 (40.0%),3-5 (37.5%),4-4 (50.0%),2-2 (50.0%),2-2 (50.0%),1-3 (25.0%),2-2 (50.0%),2-1 (66.7%)
