,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,9-8 (52.9%),8-9 (47.1%),6-6 (50.0%),5-7 (41.7%),5-4 (55.6%),4-5 (44.4%),5-3 (62.5%),4-4 (50.0%),0-1 (0.0%),0-1 (0.0%),10-7 (58.8%)
1,2020,7-9 (43.8%),9-7 (56.3%),6-3 (66.7%),5-4 (55.6%),4-4 (50.0%),4-4 (50.0%),4-2 (66.7%),3-3 (50.0%),0-2 (0.0%),1-1 (50.0%),9-7 (56.3%)
2,2019,5-11 (31.3%),4-9-3 (30.8%),3-7 (30.0%),2-7-1 (22.2%),2-5 (28.6%),1-5-1 (16.7%),1-4 (20.0%),0-4-1 (0.0%),1-1 (50.0%),1-1 (50.0%),7-9 (43.8%)
3,2018,12-4 (75.0%),9-7 (56.3%),8-3 (72.7%),5-6 (45.5%),4-3 (57.1%),2-5 (28.6%),4-3 (57.1%),2-5 (28.6%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
4,2017,9-7 (56.3%),8-7-1 (53.3%),6-2 (75.0%),4-4 (50.0%),5-3 (62.5%),4-4 (50.0%),4-2 (66.7%),3-3 (50.0%),1-1 (50.0%),1-1 (50.0%),4-12 (25.0%)
5,2016,5-11 (31.3%),7-9 (43.8%),3-4 (42.9%),3-4 (42.9%),3-5 (37.5%),3-5 (37.5%),2-3 (40.0%),2-3 (40.0%),1-2 (33.3%),1-2 (33.3%),9-6-1 (60.0%)
6,2015,4-12 (25.0%),8-8 (50.0%),3-3 (50.0%),2-4 (33.3%),3-5 (37.5%),2-6 (25.0%),3-3 (50.0%),2-4 (33.3%),0-2 (0.0%),0-2 (0.0%),7-9 (43.8%)
7,2014,9-7 (56.3%),7-9 (43.8%),5-1 (83.3%),2-4 (33.3%),5-3 (62.5%),3-5 (37.5%),4-1 (80.0%),2-3 (40.0%),1-2 (33.3%),1-2 (33.3%),7-9 (43.8%)
8,2013,9-7 (56.3%),9-6-1 (60.0%),4-2 (66.7%),3-3 (50.0%),5-3 (62.5%),5-3 (62.5%),3-0 (100.0%),2-1 (66.7%),1-3 (25.0%),2-2 (50.0%),7-9 (43.8%)
9,2012,7-9 (43.8%),7-9 (43.8%),4-3 (57.1%),3-4 (42.9%),3-5 (37.5%),2-6 (25.0%),3-2 (60.0%),2-3 (40.0%),0-2 (0.0%),0-2 (0.0%),10-6 (62.5%)
