,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,8-9 (47.1%),9-8 (52.9%),5-3 (62.5%),4-4 (50.0%),5-3 (62.5%),4-4 (50.0%),3-1 (75.0%),2-2 (50.0%),2-2 (50.0%),2-2 (50.0%),11-6 (64.7%)
1,2020,7-9 (43.8%),6-10 (37.5%),5-4 (55.6%),2-7 (22.2%),3-5 (37.5%),2-6 (25.0%),3-4 (42.9%),1-6 (14.3%),0-1 (0.0%),1-0 (100.0%),11-5 (68.8%)
2,2019,10-6 (62.5%),9-7 (56.3%),9-3 (75.0%),7-5 (58.3%),6-2 (75.0%),5-3 (62.5%),6-1 (85.7%),4-3 (57.1%),0-1 (0.0%),1-0 (100.0%),9-7 (56.3%)
3,2018,8-7-1 (53.3%),8-7-1 (53.3%),7-2-1 (77.8%),6-3-1 (66.7%),5-3 (62.5%),4-3-1 (57.1%),5-2 (71.4%),4-2-1 (66.7%),0-1 (0.0%),0-1 (0.0%),6-10 (37.5%)
4,2017,13-3 (81.3%),11-5 (68.8%),10-2 (83.3%),8-4 (66.7%),7-1 (87.5%),6-2 (75.0%),5-1 (83.3%),4-2 (66.7%),1-0 (100.0%),1-0 (100.0%),7-9 (43.8%)
5,2016,8-8 (50.0%),9-7 (56.3%),6-4 (60.0%),6-4 (60.0%),5-3 (62.5%),6-2 (75.0%),4-2 (66.7%),4-2 (66.7%),1-1 (50.0%),2-0 (100.0%),7-9 (43.8%)
6,2015,11-5 (68.8%),13-3 (81.3%),8-2 (80.0%),8-2 (80.0%),6-2 (75.0%),6-2 (75.0%),6-1 (85.7%),6-1 (85.7%),0-1 (0.0%),0-1 (0.0%),6-8-2 (42.9%)
7,2014,7-9 (43.8%),10-6 (62.5%),3-1 (75.0%),2-2 (50.0%),5-3 (62.5%),5-3 (62.5%),3-1 (75.0%),2-2 (50.0%),1-2 (33.3%),2-1 (66.7%),6-10 (37.5%)
8,2013,5-10-1 (33.3%),9-7 (56.3%),2-2 (50.0%),2-2 (50.0%),4-3 (57.1%),4-3 (57.1%),1-2 (33.3%),1-2 (33.3%),3-1 (75.0%),3-1 (75.0%),12-4 (75.0%)
9,2012,10-6 (62.5%),9-7 (56.3%),3-3 (50.0%),2-4 (33.3%),7-1 (87.5%),6-2 (75.0%),3-1 (75.0%),2-2 (50.0%),4-0 (100.0%),4-0 (100.0%),7-9 (43.8%)
