,player_name,position,age,exp,contract_amount,contract_length,guaranteed_amount,contract_expires,acquired,tm
50,DeAndre Houston-Carson,S,29,7,1770000,1,"$1,770,000",2023,Free Agent,chicago-bears
51,Rysen John,WR,24,1,1490000,1,"$5,000",2023,Claimed,chicago-bears
52,Tavon Young,CB,28,7,1365000,1,"$650,000",2023,Free Agent,chicago-bears
53,Patrick Scales,LS,34,7,1272500,1,"$1,047,500",2023,Free Agent,chicago-bears
54,Dane Cruikshank,CB,27,5,1187500,1,"$1,047,500",2023,Free Agent,chicago-bears
55,Matthew Adams,OLB,26,5,1187500,1,"$152,500",2023,Free Agent,chicago-bears
56,Michael Schofield,G,31,9,1120000,1,-,2023,Free Agent,chicago-bears
57,Dakota Dozier,LT,31,9,1120000,1,-,2023,Free Agent,chicago-bears
58,Mike Pennel,DT,31,9,1120000,1,-,2023,Free Agent,chicago-bears
59,James O'Shaughnessy,TE,30,8,1120000,1,-,2023,Free Agent,chicago-bears
60,Bruce Irvin,DE,34,10,1075000,1,-,-,,chicago-bears
61,Cassius Marsh,DE,30,9,1075000,1,-,-,,chicago-bears
62,Joe Thomas,OLB,31,8,1035000,1,-,2023,Reserve/Future,chicago-bears
63,Tajae Sharpe,WR,27,7,1035000,1,-,2023,Free Agent,chicago-bears
64,Trevon Coley,DT,28,6,1035000,1,-,2023,Free Agent,chicago-bears
65,Julie'n Davenport,LT,27,6,1035000,1,-,2023,Free Agent,chicago-bears
66,Nathan Peterman,QB,28,4,1035000,1,-,2023,Free Agent,chicago-bears
67,David Moore,WR,27,6,1035000,1,-,2023,Free Agent,chicago-bears
68,Dante Pettis,WR,26,4,1035000,1,-,2023,Free Agent,chicago-bears
69,Davontae Harris,CB,27,5,1035000,1,-,2023,,chicago-bears
70,Equanimeous St. Brown,WR,25,5,965000,1,-,2023,Free Agent,chicago-bears
71,Nsimba Webster,WR,26,4,965000,1,-,-,Reserve/Future,chicago-bears
72,Khari Blasingame,FB,26,4,965000,1,-,2023,Free Agent,chicago-bears
73,Greg Stroman,CB,26,5,895000,1,-,2023,Free Agent,chicago-bears
74,Noah Dawkins,LB,25,3,895000,1,-,-,,chicago-bears
75,Sam Mustipher,C,26,3,895000,1,-,2023,From Prac. Squad (CHI),chicago-bears
76,Lachavious Simmons,T,25,3,895000,1,-,2023,From Prac. Squad (CHI),chicago-bears
77,Bopete Keyes,CB,24,3,895000,1,-,-,Reserve/Future,chicago-bears
78,Javin White,LB,25,1,895000,1,-,2023,Free Agent,chicago-bears
79,Jayson Stanley,CB,25,1,825000,1,-,2023,Free Agent,chicago-bears
80,Isaiah Coulter,WR,23,3,825000,1,-,-,Reserve/Future,chicago-bears
81,Lamar Jackson,CB,24,3,825000,1,-,-,Reserve/Future,chicago-bears
82,Michael Joseph,CB,27,3,705000,1,-,-,Reserve/Future,chicago-bears
83,DeMarquis Gates,OLB,26,1,705000,1,-,2023,,chicago-bears
84,Chris Finke,WR,26,2,705000,1,-,-,Claimed,chicago-bears
85,Dieter Eiselen,G,25,2,705000,1,-,-,Reserve/Future,chicago-bears
86,LaCale London,DE,25,2,705000,1,-,-,Reserve/Future,chicago-bears
87,Charles Snowden,DE,24,1,705000,1,-,-,Reserve/Future,chicago-bears
88,Dazz Newsome,WR,23,1,660000,1,-,2023,To Prac. Squad,chicago-bears
89,Thomas Graham Jr.,CB,23,1,660000,1,-,2023,To Prac. Squad,chicago-bears
90,Sam Kamara,DT,24,2,660000,1,-,2023,To Prac. Squad,chicago-bears
