,Rank,Player,Team,Pos,Value,asof,url
65,66,Mark Ingram II,New Orleans Saints,RB,206,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
66,67,Javonte Williams,Denver Broncos,RB,204,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
67,68,Deebo Samuel,San Francisco 49ers,WR,202,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
68,69,Kenny Pickett,Pittsburgh Steelers,QB,195,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
69,70,Jaylen Warren,Pittsburgh Steelers,RB,190,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
70,71,Gus Edwards,Baltimore Ravens,RB,183,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
71,72,Trevor Lawrence,Jacksonville Jaguars,QB,179,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
72,73,Joe Burrow,Cincinnati Bengals,QB,178,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
73,74,Chuba Hubbard,Carolina Panthers,RB,176,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
74,75,Kenneth Gainwell,Philadelphia Eagles,RB,168,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
75,76,Curtis Samuel,Washington Commanders,WR,165,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
76,77,Alexander Mattison,Minnesota Vikings,RB,160,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
77,78,Jerick McKinnon,Kansas City Chiefs,RB,149,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
78,79,Dontrell Hilliard,Tennessee Titans,RB,143,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
79,80,Russell Wilson,Denver Broncos,QB,137,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
80,81,Chase Edmonds,Denver Broncos,RB,135,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
81,82,Justin Jackson,Detroit Lions,RB,130,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
82,82,Deon Jackson,Indianapolis Colts,RB,130,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
83,84,Justin Herbert,Los Angeles Chargers,QB,128,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
84,85,J.K. Dobbins,Baltimore Ravens,RB,123,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
85,86,JaMycal Hasty,Jacksonville Jaguars,RB,120,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
86,87,Matt Breida,New York Giants,RB,112,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
87,88,Boston Scott,Philadelphia Eagles,RB,108,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
88,88,Joshua Kelley,Los Angeles Chargers,RB,108,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
89,90,Sony Michel,Los Angeles Chargers,RB,106,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
90,91,Zack Moss,Indianapolis Colts,RB,104,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
91,92,Darrel Williams,Arizona Cardinals,RB,102,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
92,92,Craig Reynolds,Detroit Lions,RB,102,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
93,94,J.D. McKissic,Washington Commanders,RB,95,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
94,95,Zach Wilson,New York Jets,QB,94,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
95,96,Ty Johnson,New York Jets,RB,92,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
96,97,Braxton Berrios,New York Jets,WR,91,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
97,98,Bryce Perkins,Los Angeles Rams,QB,87,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
98,99,Rex Burkhead,Houston Texans,RB,83,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
99,99,Avery Williams,Atlanta Falcons,RB,83,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
