,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,Atlanta,W 27-26,Away,1-0,1-0,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
1,09/18,Tampa Bay,L 10-20,Home,1-1,1-1,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
2,09/25,Carolina,1:00 pm,Away,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
3,10/02,Minnesota,9:30 am,Neutral,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
4,10/09,Seattle,1:00 pm,Home,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
5,10/16,Cincinnati,1:00 pm,Home,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
6,10/20,Arizona,8:15 pm,Away,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
7,10/30,Las Vegas,1:00 pm,Home,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
8,11/07,Baltimore,8:15 pm,Home,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
9,11/13,Pittsburgh,1:00 pm,Away,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
10,11/20,LA Rams,1:00 pm,Home,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
11,11/27,San Francisco,4:25 pm,Away,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
12,12/05,Tampa Bay,8:15 pm,Away,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
13,12/18,Atlanta,12:00 pm,Home,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
14,12/24,Cleveland,1:00 pm,Away,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
15,01/01,Philadelphia,1:00 pm,Away,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
16,01/08,Carolina,12:00 pm,Home,,,2022-09-22 17:54:46.655676,/nfl/team/new-orleans-saints/
