,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Miami,L 7-20,Away,0-1,0-1,3.0,Un 46.5,140,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
1,09/18,Pittsburgh,W 17-14,Away,1-1,0-1,-3.0,Un 40.0,-161,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
2,09/25,Baltimore,L 26-37,Home,1-2,0-1,2.5,Ov 45.0,120,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
3,10/02,Green Bay,L 24-27,Away,1-3,0-1,9.5,Ov 40.5,350,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
4,10/09,Detroit,W 29-0,Home,2-3,0-1,-3.0,Un 47.0,-160,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
5,10/16,Cleveland,W 38-15,Away,3-3,0-1,2.5,Ov 43.5,125,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
6,10/24,Chicago,L 14-33,Home,3-4,0-1,-8.5,Ov 40.0,-400,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
7,10/30,NY Jets,W 22-17,Away,4-4,1-1,-3.0,Un 40.0,-165,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
8,11/06,Indianapolis,W 26-3,Home,5-4,1-1,-5.0,Un 40.0,-215,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
9,11/20,NY Jets,W 10-3,Home,6-4,2-1,-3.5,Un 38.0,-172,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
10,11/24,Minnesota,L 26-33,Away,6-5,2-1,2.5,Ov 42.0,123,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
11,12/01,Buffalo,8:15 pm,Home,,,4.0,43.5,175,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
12,12/12,Arizona,8:15 pm,Away,,,-2.5,43.5,-130,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
13,12/18,Las Vegas,8:20 pm,Away,,,2.0,0,130,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
14,12/24,Cincinnati,1:00 pm,Home,,,-2.0,0,100,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
15,01/01,Miami,1:00 pm,Home,,,-1.5,0,-130,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
16,01/08,Buffalo,12:00 pm,Away,,,7.0,0,255,2022-11-30 02:28:41.335233,/nfl/team/new-england-patriots/
