,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,Houston,T 20-20,Away,0-0-1,0-0-1,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
1,09/18,Jacksonville,L 0-24,Away,0-1-1,0-1-1,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
2,09/25,Kansas City,1:00 pm,Home,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
3,10/02,Tennessee,1:00 pm,Home,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
4,10/06,Denver,8:15 pm,Away,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
5,10/16,Jacksonville,1:00 pm,Home,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
6,10/23,Tennessee,1:00 pm,Away,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
7,10/30,Washington,4:25 pm,Home,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
8,11/06,New England,1:00 pm,Away,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
9,11/13,Las Vegas,4:05 pm,Away,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
10,11/20,Philadelphia,1:00 pm,Home,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
11,11/28,Pittsburgh,8:15 pm,Home,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
12,12/04,Dallas,8:20 pm,Away,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
13,12/18,Minnesota,12:00 pm,Away,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
14,12/26,LA Chargers,8:15 pm,Home,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
15,01/01,NY Giants,1:00 pm,Away,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
16,01/08,Houston,12:00 pm,Home,,,2022-09-22 17:54:34.259199,/nfl/team/indianapolis-colts/
