,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,Chicago,L 10-19,Away,0-1,0-0,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
1,09/18,Seattle,W 27-7,Home,1-1,1-0,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
2,09/25,Denver,8:20 pm,Away,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
3,10/03,LA Rams,8:15 pm,Home,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
4,10/09,Carolina,4:05 pm,Away,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
5,10/16,Atlanta,1:00 pm,Away,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
6,10/23,Kansas City,4:25 pm,Home,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
7,10/30,LA Rams,4:25 pm,Away,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
8,11/13,LA Chargers,8:20 pm,Home,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
9,11/21,Arizona,8:15 pm,Neutral,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
10,11/27,New Orleans,4:25 pm,Home,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
11,12/04,Miami,4:05 pm,Home,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
12,12/11,Tampa Bay,4:25 pm,Home,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
13,12/15,Seattle,8:15 pm,Away,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
14,12/24,Washington,4:05 pm,Home,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
15,01/01,Las Vegas,4:05 pm,Away,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
16,01/08,Arizona,12:00 pm,Home,,,2022-09-22 17:54:53.552955,/nfl/team/san-francisco-49ers/
