,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,Dallas,W 19-3,Away,1-0,0-0,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
1,09/18,New Orleans,W 20-10,Away,2-0,1-0,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
2,09/25,Green Bay,4:25 pm,Home,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
3,10/02,Kansas City,8:20 pm,Home,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
4,10/09,Atlanta,1:00 pm,Home,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
5,10/16,Pittsburgh,1:00 pm,Away,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
6,10/23,Carolina,1:00 pm,Away,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
7,10/27,Baltimore,8:15 pm,Home,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
8,11/06,LA Rams,4:25 pm,Home,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
9,11/13,Seattle,9:30 am,Neutral,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
10,11/27,Cleveland,1:00 pm,Away,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
11,12/05,New Orleans,8:15 pm,Home,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
12,12/11,San Francisco,4:25 pm,Away,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
13,12/18,Cincinnati,4:25 pm,Home,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
14,12/25,Arizona,8:20 pm,Away,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
15,01/01,Carolina,1:00 pm,Home,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
16,01/08,Atlanta,12:00 pm,Away,,,2022-09-22 17:54:56.284444,/nfl/team/tampa-bay-buccaneers/
