,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,Washington,L 22-28,Away,0-1,0-0,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
1,09/18,Indianapolis,W 24-0,Home,1-1,1-0,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
2,09/25,LA Chargers,4:05 pm,Away,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
3,10/02,Philadelphia,1:00 pm,Away,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
4,10/09,Houston,1:00 pm,Home,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
5,10/16,Indianapolis,1:00 pm,Away,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
6,10/23,NY Giants,1:00 pm,Home,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
7,10/30,Denver,9:30 am,Neutral,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
8,11/06,Las Vegas,1:00 pm,Home,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
9,11/13,Kansas City,1:00 pm,Away,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
10,11/27,Baltimore,1:00 pm,Home,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
11,12/04,Detroit,1:00 pm,Away,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
12,12/11,Tennessee,1:00 pm,Away,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
13,12/18,Dallas,1:00 pm,Home,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
14,12/22,NY Jets,8:15 pm,Away,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
15,01/01,Houston,1:00 pm,Away,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
16,01/08,Tennessee,12:00 pm,Home,,,2022-09-22 17:54:35.610701,/nfl/team/jacksonville-jaguars/
