,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,Green Bay,W 23-7,Home,1-0,1-0,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
1,09/19,Philadelphia,L 7-24,Away,1-1,1-0,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
2,09/25,Detroit,1:00 pm,Home,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
3,10/02,New Orleans,9:30 am,Neutral,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
4,10/09,Chicago,1:00 pm,Home,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
5,10/16,Miami,1:00 pm,Away,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
6,10/30,Arizona,1:00 pm,Home,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
7,11/06,Washington,1:00 pm,Away,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
8,11/13,Buffalo,1:00 pm,Away,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
9,11/20,Dallas,4:25 pm,Home,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
10,11/24,New England,8:20 pm,Home,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
11,12/04,NY Jets,1:00 pm,Home,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
12,12/11,Detroit,1:00 pm,Away,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
13,12/18,Indianapolis,12:00 pm,Home,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
14,12/24,NY Giants,1:00 pm,Home,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
15,01/01,Green Bay,4:25 pm,Away,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
16,01/08,Chicago,12:00 pm,Away,,,2022-09-22 17:54:43.913460,/nfl/team/minnesota-vikings/
