,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,New England,W 20-7,Home,1-0,1-0,-3.0,Un 46.5,-160,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
1,09/18,Baltimore,W 42-38,Away,2-0,1-0,3.0,Ov 44.0,151,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
2,09/25,Buffalo,W 21-19,Home,3-0,2-0,4.0,Un 54.5,170,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
3,09/29,Cincinnati,L 15-27,Away,3-1,2-0,4.0,Un 49.0,170,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
4,10/09,NY Jets,L 17-40,Away,3-2,2-1,-3.0,Ov 46.0,-165,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
5,10/16,Minnesota,L 16-24,Home,3-3,2-1,3.0,Un 45.0,150,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
6,10/23,Pittsburgh,W 16-10,Home,4-3,2-1,-7.0,Un 44.5,-305,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
7,10/30,Detroit,W 31-27,Away,5-3,2-1,-3.5,Ov 52.0,-190,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
8,11/06,Chicago,W 35-32,Away,6-3,2-1,-4.0,Ov 46.0,-191,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
9,11/13,Cleveland,W 39-17,Home,7-3,2-1,-3.5,Ov 49.5,-173,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
10,11/27,Houston,W 30-15,Home,8-3,2-1,-14.0,Un 47.5,-855,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
11,12/04,San Francisco,L 17-33,Away,8-4,2-1,5.0,Ov 46.0,195,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
12,12/11,LA Chargers,8:20 pm,Away,,,-3.0,51.5,-170,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
13,12/17,Buffalo,8:15 pm,Away,,,6.5,49.0,250,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
14,12/25,Green Bay,1:00 pm,Home,,,2.0,0,100,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
15,01/01,New England,1:00 pm,Away,,,1.5,0,110,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
16,01/08,NY Jets,12:00 pm,Home,,,-5.5,0,-245,2022-12-08 02:38:41.336450,/nfl/team/miami-dolphins/
