,Rank,Player,Team,Pos,Value,asof,url
78,78,Isaiah Oliver,Atlanta Falcons,CB,27,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
79,80,Adrian Amos,Green Bay Packers,S,26,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
80,80,Cameron Sutton,Pittsburgh Steelers,CB,26,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
81,80,Marlon Humphrey,Baltimore Ravens,CB,26,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
82,80,Rasul Douglas,Green Bay Packers,CB,26,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
83,84,Caden Sterns,Denver Broncos,S,25,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
84,84,George Odum,San Francisco 49ers,S,25,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
85,84,Aidan Hutchinson,Detroit Lions,DL,25,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
86,87,Jamel Dean,Tampa Bay Buccaneers,CB,24,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
87,87,Dennis Gardeck,Arizona Cardinals,LB,24,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
88,89,Andrew Van Ginkel,Miami Dolphins,LB,23,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
89,90,Richie Grant,Atlanta Falcons,S,22,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
90,90,Mike Jackson,Seattle Seahawks,CB,22,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
91,92,Boogie Basham,Buffalo Bills,DE,21,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
92,92,Josey Jewell,Denver Broncos,LB,21,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
93,94,Fred Warner,San Francisco 49ers,LB,20,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
94,94,Christian Harris,Houston Texans,LB,20,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
95,94,Drue Tranquill,Los Angeles Chargers,LB,20,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
96,94,Jeff Okudah,Detroit Lions,CB,20,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
97,98,DaRon Bland,Dallas Cowboys,CB,19,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
98,98,Jordan Hicks,Minnesota Vikings,LB,19,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
99,98,Sauce Gardner,New York Jets,CB,19,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
