,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,Detroit,W 38-35,Away,1-0,0-0,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
1,09/19,Minnesota,W 24-7,Home,2-0,0-0,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
2,09/25,Washington,1:00 pm,Away,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
3,10/02,Jacksonville,1:00 pm,Home,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
4,10/09,Arizona,4:25 pm,Away,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
5,10/16,Dallas,8:20 pm,Home,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
6,10/30,Pittsburgh,1:00 pm,Home,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
7,11/03,Houston,8:15 pm,Away,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
8,11/14,Washington,8:15 pm,Home,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
9,11/20,Indianapolis,1:00 pm,Away,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
10,11/27,Green Bay,8:20 pm,Home,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
11,12/04,Tennessee,1:00 pm,Home,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
12,12/11,NY Giants,1:00 pm,Away,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
13,12/18,Chicago,1:00 pm,Away,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
14,12/24,Dallas,4:25 pm,Away,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
15,01/01,New Orleans,1:00 pm,Home,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
16,01/08,NY Giants,12:00 pm,Home,,,2022-09-22 17:54:50.773554,/nfl/team/philadelphia-eagles/
