,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Tampa Bay,L 3-19,Home,0-1,0-0,2.5,Un 49.5,121,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
1,09/18,Cincinnati,W 20-17,Home,1-1,0-0,7.0,Un 42.0,254,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
2,09/26,NY Giants,W 23-16,Away,2-1,1-0,1.0,Ov 38.5,106,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
3,10/02,Washington,W 25-10,Home,3-1,2-0,-3.0,Un 41.0,-160,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
4,10/09,LA Rams,W 22-10,Away,4-1,2-0,5.0,Un 41.5,190,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
5,10/16,Philadelphia,L 17-26,Away,4-2,2-1,6.5,Ov 42.5,247,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
6,10/23,Detroit,W 24-6,Home,5-2,2-1,-7.0,Un 49.5,-300,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
7,10/30,Chicago,W 49-29,Home,6-2,2-1,-9.5,Ov 43.0,-433,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
8,11/13,Green Bay,L 28-31,Away,6-3,2-1,-3.5,Ov 44.5,-191,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
9,11/20,Minnesota,W 40-3,Away,7-3,2-1,-2.0,Un 48.5,-130,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
10,11/24,NY Giants,W 28-20,Home,8-3,3-1,-10.0,Ov 45.5,-441,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
11,12/04,Indianapolis,W 54-19,Home,9-3,3-1,-11.0,Ov 44.5,-550,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
12,12/11,Houston,W 27-23,Home,10-3,3-1,-17.0,Ov 44.5,-1320,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
13,12/18,Jacksonville,L 34-40,Away,10-4,3-1,-4.0,Ov 48.0,-200,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
14,12/24,Philadelphia,W 40-34,Home,11-4,4-1,-4.0,Ov 47.5,-191,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
15,12/29,Tennessee,W 27-13,Away,12-4,4-1,-13.5,Un 40.5,-734,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
16,01/08,Washington,12:00 pm,Away,,,4.5,39.5,175,2023-01-01 15:49:18.415992,/nfl/team/dallas-cowboys/
