,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Atlanta,W 27-26,Away,1-0,1-0,-5.5,Ov 43.5,-225,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
1,09/18,Tampa Bay,L 10-20,Home,1-1,1-1,2.5,Un 43.5,128,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
2,09/25,Carolina,L 14-22,Away,1-2,1-2,-2.0,Un 40.5,-124,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
3,10/02,Minnesota,L 25-28,Neutral,1-3,1-2,4.0,Ov 42.0,175,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
4,10/09,Seattle,W 39-32,Home,2-3,1-2,-5.5,Ov 45.0,-240,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
5,10/16,Cincinnati,L 26-30,Home,2-4,1-2,3.0,Ov 42.5,148,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
6,10/20,Arizona,L 34-42,Away,2-5,1-2,2.5,Ov 44.0,125,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
7,10/30,Las Vegas,W 24-0,Home,3-5,1-2,1.0,Un 48.5,105,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
8,11/07,Baltimore,L 13-27,Home,3-6,1-2,1.5,Un 46.0,105,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
9,11/13,Pittsburgh,L 10-20,Away,3-7,1-2,1.0,Un 39.5,100,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
10,11/20,LA Rams,W 27-20,Home,4-7,1-2,-2.5,Ov 39.5,-130,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
11,11/27,San Francisco,L 0-13,Away,4-8,1-2,8.5,Un 43.5,320,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
12,12/05,Tampa Bay,L 16-17,Away,4-9,1-3,3.5,Un 40.5,169,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
13,12/18,Atlanta,W 21-18,Home,5-9,2-3,-5.5,Un 43.0,-230,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
14,12/24,Cleveland,W 17-10,Away,6-9,2-3,3.0,Un 32.0,160,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
15,01/01,Philadelphia,1:00 pm,Away,,,5.5,41.5,207,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
16,01/08,Carolina,12:00 pm,Home,,,-3.0,39.5,-165,2023-01-01 15:49:27.466997,/nfl/team/new-orleans-saints/
