,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,New Orleans,L 26-27,Home,0-1,0-1,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
1,09/18,LA Rams,L 27-31,Away,0-2,0-1,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
2,09/25,Seattle,4:25 pm,Away,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
3,10/02,Cleveland,1:00 pm,Home,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
4,10/09,Tampa Bay,1:00 pm,Away,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
5,10/16,San Francisco,1:00 pm,Home,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
6,10/23,Cincinnati,1:00 pm,Away,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
7,10/30,Carolina,1:00 pm,Home,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
8,11/06,LA Chargers,1:00 pm,Home,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
9,11/10,Carolina,8:15 pm,Away,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
10,11/20,Chicago,1:00 pm,Home,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
11,11/27,Washington,1:00 pm,Away,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
12,12/04,Pittsburgh,1:00 pm,Home,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
13,12/18,New Orleans,12:00 pm,Away,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
14,12/24,Baltimore,1:00 pm,Away,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
15,01/01,Arizona,1:00 pm,Home,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
16,01/08,Tampa Bay,12:00 pm,Home,,,2022-09-22 17:54:16.500803,/nfl/team/atlanta-falcons/
