,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,NY Jets,W 24-9,Away,1-0,0-0,-6.5,Un 44.0,-285,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
1,09/18,Miami,L 38-42,Home,1-1,0-0,-3.0,Ov 44.0,-171,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
2,09/25,New England,W 37-26,Away,2-1,0-0,-2.5,Ov 45.0,-140,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
3,10/02,Buffalo,L 20-23,Home,2-2,0-0,3.0,Un 50.5,155,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
4,10/09,Cincinnati,W 19-17,Home,3-2,1-0,-3.0,Un 47.5,-170,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
5,10/16,NY Giants,L 20-24,Away,3-3,1-0,-5.5,Un 45.5,-250,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
6,10/23,Cleveland,W 23-20,Home,4-3,2-0,-6.5,Un 46.5,-285,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
7,10/27,Tampa Bay,W 27-22,Away,5-3,2-0,2.0,Ov 46.5,110,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
8,11/07,New Orleans,W 27-13,Away,6-3,2-0,-1.5,Un 46.0,-125,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
9,11/20,Carolina,W 13-3,Home,7-3,2-0,-12.5,Un 41.5,-699,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
10,11/27,Jacksonville,L 27-28,Away,7-4,2-0,-3.0,Ov 43.0,-169,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
11,12/04,Denver,W 10-9,Home,8-4,2-0,-8.5,Un 40.5,-380,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
12,12/11,Pittsburgh,W 16-14,Away,9-4,3-0,2.0,Un 36.5,112,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
13,12/17,Cleveland,L 3-13,Away,9-5,3-1,3.0,Un 39.0,135,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
14,12/24,Atlanta,W 17-9,Home,10-5,3-1,-6.5,Un 35.5,-275,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
15,01/01,Pittsburgh,L 13-16,Home,10-6,3-2,-1.0,Un 35.5,-123,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
16,01/08,Cincinnati,1:00 pm,Away,,,9.5,39.5,349,2023-01-08 14:30:17.094435,/nfl/team/baltimore-ravens/
