,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/12,Seattle,L 16-17,Away,0-1,0-0,-6.0,Un 43.5,-275,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
1,09/18,Houston,W 16-9,Home,1-1,0-0,-10.5,Un 45.5,-515,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
2,09/25,San Francisco,W 11-10,Home,2-1,0-0,+1.0,Un 44.5,100,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
3,10/02,Las Vegas,L 23-32,Away,2-2,0-1,+2.5,Ov 45.5,120,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
4,10/06,Indianapolis,L 9-12,Home,2-3,0-1,-3.0,Un 42.0,-185,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
5,10/17,LA Chargers,L 16-19,Away,2-4,0-2,+4.0,Un 45.5,165,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
6,10/23,NY Jets,L 9-16,Home,2-5,0-2,+2.0,Un 37.0,110,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
7,10/30,Jacksonville,W 21-17,Neutral,3-5,0-2,+1.0,Un 41.0,-104,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
8,11/13,Tennessee,L 10-17,Away,3-6,0-2,+2.5,Un 39.5,120,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
9,11/20,Las Vegas,L 16-22,Home,3-7,0-3,-2.5,Un 41.5,-145,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
10,11/27,Carolina,L 10-23,Away,3-8,0-3,-0.5,Un 36.5,-118,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
11,12/04,Baltimore,1:00 pm,Away,,,+8.5,38.5,315,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
12,12/11,Kansas City,8:20 pm,Home,,,+7.5,42.5,250,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
13,12/18,Arizona,4:05 pm,Home,,,-3.5,0,-205,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
14,12/25,LA Rams,4:30 pm,Away,,,+2.5,49.5,122,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
15,01/01,Kansas City,1:00 pm,Away,,,+4.5,0,160,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
16,01/08,LA Chargers,12:00 pm,Home,,,(Pick),0,-110,2022-11-30 02:28:33.909198,/nfl/team/denver-broncos/
