,Rank,Player,Team,Pos,Value,asof,url
53,54,Alec Pierce,Indianapolis Colts,WR,510,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
54,54,Mike Williams,Los Angeles Chargers,WR,510,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
55,56,Parris Campbell,Indianapolis Colts,WR,497,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
56,57,Darnell Mooney,Chicago Bears,WR,493,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
57,58,Nico Collins,Houston Texans,WR,481,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
58,59,Olamide Zaccheaus,Atlanta Falcons,WR,478,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
59,60,George Kittle,San Francisco 49ers,TE,472,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
60,61,DeAndre Carter,Los Angeles Chargers,WR,466,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
61,62,David Njoku,Cleveland Browns,TE,464,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
62,63,Gerald Everett,Los Angeles Chargers,TE,462,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
63,64,Corey Davis,New York Jets,WR,445,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
64,65,Tyler Higbee,Los Angeles Rams,TE,444,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
65,66,DeVante Parker,New England Patriots,WR,436,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
66,67,Alvin Kamara,New Orleans Saints,RB,433,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
67,68,Chase Claypool,Chicago Bears,WR,422,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
68,69,Rondale Moore,Arizona Cardinals,WR,414,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
69,70,Cole Kmet,Chicago Bears,TE,408,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
70,71,Zach Ertz,Arizona Cardinals,TE,406,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
71,72,Christian Watson,Green Bay Packers,WR,401,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
72,73,Hayden Hurst,Cincinnati Bengals,TE,400,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
73,74,Noah Brown,Dallas Cowboys,WR,399,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
74,75,Tyler Conklin,New York Jets,TE,390,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
75,76,Evan Engram,Jacksonville Jaguars,TE,386,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
76,77,Marvin Jones Jr.,Jacksonville Jaguars,WR,385,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
77,78,Rhamondre Stevenson,New England Patriots,RB,383,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
78,79,Noah Fant,Seattle Seahawks,TE,382,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
79,79,Kalif Raymond,Detroit Lions,WR,382,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
80,81,Devin Duvernay,Baltimore Ravens,WR,378,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
81,82,Josh Reynolds,Detroit Lions,WR,376,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
82,83,Robert Tonyan,Green Bay Packers,TE,372,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
83,84,Isaiah McKenzie,Buffalo Bills,WR,359,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
84,84,Treylon Burks,Tennessee Titans,WR,359,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
85,86,Robert Woods,Tennessee Titans,WR,357,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
86,87,Kyle Pitts,Atlanta Falcons,TE,356,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
87,88,Trent Sherfield,Miami Dolphins,WR,355,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
88,89,Juwan Johnson,New Orleans Saints,TE,349,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
89,89,Randall Cobb,Green Bay Packers,WR,349,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
90,91,Nick Westbrook-Ikhine,Tennessee Titans,WR,347,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
91,91,Leonard Fournette,Tampa Bay Buccaneers,RB,347,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
92,93,Dalton Schultz,Dallas Cowboys,TE,343,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
93,94,Allen Robinson II,Los Angeles Rams,WR,339,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
94,95,Demarcus Robinson,Baltimore Ravens,WR,338,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
95,96,Hunter Henry,New England Patriots,TE,336,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
96,97,Josh Jacobs,Las Vegas Raiders,RB,331,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
97,98,Aaron Jones,Green Bay Packers,RB,328,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
98,98,Terrace Marshall Jr.,Carolina Panthers,WR,328,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
99,100,Dawson Knox,Buffalo Bills,TE,327,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
