,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,Cincinnati,W 23-20,Away,1-0,1-0,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
1,09/18,New England,L 14-17,Home,1-1,1-0,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
2,09/22,Cleveland,8:15 pm,Away,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
3,10/02,NY Jets,1:00 pm,Home,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
4,10/09,Buffalo,1:00 pm,Away,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
5,10/16,Tampa Bay,1:00 pm,Home,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
6,10/23,Miami,8:20 pm,Away,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
7,10/30,Philadelphia,1:00 pm,Away,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
8,11/13,New Orleans,1:00 pm,Home,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
9,11/20,Cincinnati,8:20 pm,Home,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
10,11/28,Indianapolis,8:15 pm,Away,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
11,12/04,Atlanta,1:00 pm,Away,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
12,12/11,Baltimore,1:00 pm,Home,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
13,12/18,Carolina,1:00 pm,Away,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
14,12/24,Las Vegas,8:15 pm,Home,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
15,01/01,Baltimore,1:00 pm,Away,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
16,01/08,Cleveland,12:00 pm,Home,,,2022-09-22 17:54:52.201568,/nfl/team/pittsburgh-steelers/
