,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Arizona,W 44-21,Away,1-0,0-0,-6.0,Ov 54.0,-260,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
1,09/15,LA Chargers,W 27-24,Home,2-0,1-0,-4.0,Un 52.5,-195,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
2,09/25,Indianapolis,L 17-20,Away,2-1,1-0,-4.5,Un 51.0,-225,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
3,10/02,Tampa Bay,W 41-31,Away,3-1,1-0,2.0,Ov 47.0,110,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
4,10/10,Las Vegas,W 30-29,Home,4-1,2-0,-7.0,Ov 51.5,-350,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
5,10/16,Buffalo,L 20-24,Home,4-2,2-0,2.5,Un 54.0,130,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
6,10/23,San Francisco,W 44-23,Away,5-2,2-0,-0.5,Ov 48.5,-107,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
7,11/06,Tennessee,W 20-17,Home,6-2,2-0,-14.0,Un 45.0,-775,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
8,11/13,Jacksonville,W 27-17,Home,7-2,2-0,-9.5,Un 51.5,-425,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
9,11/20,LA Chargers,W 30-27,Away,8-2,3-0,-5.5,Ov 53.0,-226,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
10,11/27,LA Rams,W 26-10,Home,9-2,3-0,-16.0,Un 42.0,-1240,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
11,12/04,Cincinnati,L 24-27,Away,9-3,3-0,-2.5,Un 53.0,-143,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
12,12/11,Denver,W 34-28,Away,10-3,4-0,-8.5,Ov 44.0,-415,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
13,12/18,Houston,W 30-24,Away,11-3,4-0,-14.0,Ov 48.5,-762,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
14,12/24,Seattle,W 24-10,Home,12-3,4-0,-10.0,Un 50.5,-445,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
15,01/01,Denver,W 27-24,Home,13-3,5-0,-12.5,Ov 46.5,-693,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
16,01/07,Las Vegas,W 31-13,Away,14-3,6-0,-8.5,Un 52.0,-410,2023-01-08 14:30:25.460811,/nfl/team/kansas-city-chiefs/
