,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Chicago,L 10-19,Away,0-1,0-0,-6.5,Un 38.5,-230,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
1,09/18,Seattle,W 27-7,Home,1-1,1-0,-8.5,Un 39.5,-389,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
2,09/25,Denver,L 10-11,Away,1-2,1-0,-1.0,Un 44.5,-120,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
3,10/03,LA Rams,W 24-9,Home,2-2,2-0,-2.0,Un 42.0,-130,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
4,10/09,Carolina,W 37-15,Away,3-2,2-0,-6.0,Ov 39.5,-255,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
5,10/16,Atlanta,L 14-28,Away,3-3,2-0,-3.5,Un 45.5,-190,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
6,10/23,Kansas City,L 23-44,Home,3-4,2-0,0.5,Ov 48.5,-103,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
7,10/30,LA Rams,W 31-14,Away,4-4,3-0,1.0,Ov 42.5,100,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
8,11/13,LA Chargers,W 22-16,Home,5-4,3-0,-8.0,Un 45.5,-370,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
9,11/21,Arizona,W 38-10,Neutral,6-4,4-0,-9.5,Ov 43.0,-426,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
10,11/27,New Orleans,W 13-0,Home,7-4,4-0,-8.5,Un 43.5,-400,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
11,12/04,Miami,W 33-17,Home,8-4,4-0,-5.0,Ov 46.0,-225,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
12,12/11,Tampa Bay,W 35-7,Home,9-4,4-0,-3.5,Ov 38.5,-195,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
13,12/15,Seattle,W 21-13,Away,10-4,5-0,-3.0,Un 42.5,-172,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
14,12/24,Washington,W 37-20,Home,11-4,5-0,-6.0,Ov 37.0,-275,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
15,01/01,Las Vegas,W 37-34,Away,12-4,5-0,-10.0,Ov 41.5,-450,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
16,01/08,Arizona,W 38-13,Home,13-4,6-0,-14.5,Ov 40.0,-948,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
17,01/14,Seattle,W 41-23,Home,14-4,7-0,-9.5,Ov 42.0,-447,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
18,01/22,Dallas,W 19-12,Home,15-4,7-0,-3.5,Un 46.5,-184,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
19,01/29,Philadelphia,L 7-31,Away,15-5,7-0,2.5,Un 44.5,128,2023-02-09 11:53:51.463200,/nfl/team/san-francisco-49ers/
