,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Washington,L 22-28,Away,0-1,0-0,3.0,Ov 43.0,137,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
1,09/18,Indianapolis,W 24-0,Home,1-1,1-0,3.0,Un 43.5,138,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
2,09/25,LA Chargers,W 38-10,Away,2-1,1-0,6.5,Ov 45.5,220,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
3,10/02,Philadelphia,L 21-29,Away,2-2,1-0,6.5,Ov 44.0,230,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
4,10/09,Houston,L 6-13,Home,2-3,1-1,-7.0,Un 43.5,-312,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
5,10/16,Indianapolis,L 27-34,Away,2-4,1-2,1.5,Ov 41.0,105,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
6,10/23,NY Giants,L 17-23,Home,2-5,1-2,-3.0,Un 44.0,-166,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
7,10/30,Denver,L 17-21,Neutral,2-6,1-2,-1.0,Un 41.0,-116,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
8,11/06,Las Vegas,W 27-20,Home,3-6,1-2,2.5,Un 48.0,120,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
9,11/13,Kansas City,L 17-27,Away,3-7,1-2,9.5,Un 51.5,345,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
10,11/27,Baltimore,W 28-27,Home,4-7,1-2,3.0,Ov 43.0,152,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
11,12/04,Detroit,L 14-40,Away,4-8,1-2,1.0,Ov 51.0,106,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
12,12/11,Tennessee,W 36-22,Away,5-8,2-2,3.0,Ov 41.5,150,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
13,12/18,Dallas,W 40-34,Home,6-8,2-2,4.0,Ov 48.0,175,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
14,12/22,NY Jets,W 19-3,Away,7-8,2-2,2.5,Un 36.5,125,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
15,01/01,Houston,W 31-3,Away,8-8,3-2,-3.5,Un 43.5,-193,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
16,01/07,Tennessee,W 20-16,Home,9-8,4-2,-6.0,Un 39.5,-265,2023-01-08 14:30:24.830384,/nfl/team/jacksonville-jaguars/
