,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Tennessee,W 21-20,Away,1-0,0-0,5.5,Un 44.0,200,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
1,09/18,Carolina,W 19-16,Home,2-0,0-0,1.0,Un 43.5,-103,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
2,09/26,Dallas,L 16-23,Home,2-1,0-1,-1.0,Ov 38.5,-117,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
3,10/02,Chicago,W 20-12,Home,3-1,0-1,-3.0,Un 39.0,-149,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
4,10/09,Green Bay,W 27-22,Neutral,4-1,0-1,8.5,Ov 42.0,315,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
5,10/16,Baltimore,W 24-20,Home,5-1,0-1,5.5,Un 45.5,200,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
6,10/23,Jacksonville,W 23-17,Away,6-1,0-1,3.0,Un 44.0,149,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
7,10/30,Seattle,L 13-27,Away,6-2,0-1,3.0,Un 44.5,145,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
8,11/13,Houston,1:00 pm,Home,,,-3.0,0,-165,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
9,11/20,Detroit,1:00 pm,Home,,,-2.5,0,-125,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
10,11/24,Dallas,4:30 pm,Away,,,7.0,0,242,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
11,12/04,Washington,1:00 pm,Home,,,-1.0,0,-110,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
12,12/11,Philadelphia,1:00 pm,Home,,,1.5,0,105,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
13,12/18,Washington,12:00 pm,Away,,,3.5,0,150,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
14,12/24,Minnesota,1:00 pm,Away,,,5.0,0,185,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
15,01/01,Indianapolis,1:00 pm,Home,,,3.0,0,125,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
16,01/08,Philadelphia,12:00 pm,Away,,,5.0,0,190,2022-11-01 07:50:09.216084,/nfl/team/new-york-giants/
