,Rank,Player,Team,Pos,Value,asof,url
0,1,Cameron Dicker,Los Angeles Chargers,K,95.0%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
1,2,Eddy Pineiro,Carolina Panthers,K,94.1%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
2,3,Jason Myers,Seattle Seahawks,K,93.8%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
3,4,Ka'imi Fairbairn,Houston Texans,K,93.3%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
4,5,Matt Gay,Los Angeles Rams,K,92.6%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
5,6,Daniel Carlson,Las Vegas Raiders,K,91.9%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
6,7,Cairo Santos,Chicago Bears,K,91.3%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
7,8,Brett Maher,Dallas Cowboys,K,90.6%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
8,9,Graham Gano,New York Giants,K,90.3%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
9,10,Joey Slye,Washington Commanders,K,88.5%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
10,11,Michael Badgley,Detroit Lions,K,88.0%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
11,11,Mason Crosby,Green Bay Packers,K,88.0%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
12,11,Matt Prater,Arizona Cardinals,K,88.0%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
13,14,Tyler Bass,Buffalo Bills,K,87.1%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
14,15,Nick Folk,New England Patriots,K,86.1%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
15,16,Riley Patterson,Jacksonville Jaguars,K,85.7%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
16,17,Younghoe Koo,Atlanta Falcons,K,85.3%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
17,18,Randy Bullock,Tennessee Titans,K,85.0%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
18,18,Justin Tucker,Baltimore Ravens,K,85.0%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
19,20,Robbie Gould,San Francisco 49ers,K,83.9%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
20,21,Jake Elliott,Philadelphia Eagles,K,83.3%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
21,21,Matthew Wright,Kansas City Chiefs,K,83.3%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
22,23,Chase McLaughlin,Indianapolis Colts,K,82.9%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
23,24,Greg Zuerlein,New York Jets,K,82.4%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
24,25,Evan McPherson,Cincinnati Bengals,K,81.5%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
25,26,Ryan Succop,Tampa Bay Buccaneers,K,81.1%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
26,27,Jason Sanders,Miami Dolphins,K,79.3%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
27,27,Wil Lutz,New Orleans Saints,K,79.3%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
28,29,Brandon McManus,Denver Broncos,K,77.1%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
29,30,Greg Joseph,Minnesota Vikings,K,76.7%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
30,31,Harrison Butker,Kansas City Chiefs,K,75.0%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
31,31,Cade York,Cleveland Browns,K,75.0%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
32,33,Chris Boswell,Pittsburgh Steelers,K,69.2%,2023-01-08 14:29:32.298579,/nfl/player-stat/field-goal-percentage
