,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Kansas City,L 21-44,Home,0-1,0-0,+6.0,Ov 54.0,220,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
1,09/18,Las Vegas,W 29-23,Away,1-1,0-0,+5.5,Pu 52.0,200,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
2,09/25,LA Rams,L 12-20,Home,1-2,0-1,+3.5,Un 49.0,150,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
3,10/02,Carolina,4:05 pm,Away,,,+1.5,44.0,105,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
4,10/09,Philadelphia,4:25 pm,Home,,,-1.0,0,-130,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
5,10/16,Seattle,4:05 pm,Away,,,-2.5,0,-135,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
6,10/20,New Orleans,8:15 pm,Home,,,-3.0,0,-165,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
7,10/30,Minnesota,1:00 pm,Away,,,+2.0,0,100,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
8,11/06,Seattle,4:05 pm,Home,,,-6.5,0,-255,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
9,11/13,LA Rams,4:25 pm,Away,,,+4.5,0,210,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
10,11/21,San Francisco,8:15 pm,Neutral,,,+1.5,48.0,100,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
11,11/27,LA Chargers,4:05 pm,Home,,,(Pick),0,105,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
12,12/12,New England,8:15 pm,Home,,,-2.5,0,-135,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
13,12/18,Denver,4:05 pm,Away,,,+3.5,0,175,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
14,12/25,Tampa Bay,8:20 pm,Home,,,+3.0,0,115,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
15,01/01,Atlanta,1:00 pm,Away,,,-3.5,0,-175,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
16,01/08,San Francisco,12:00 pm,Away,,,+3.0,0,135,2022-09-26 17:23:00.504001,/nfl/team/arizona-cardinals/
