,Rank,Player,Team,Pos,Value,asof,url
54,37,Mitch Trubisky,Pittsburgh Steelers,QB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
55,37,Marcus Maye,New Orleans Saints,S,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
56,37,T.Y. McGill,San Francisco 49ers,DT,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
57,37,Hayden Hurst,Cincinnati Bengals,TE,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
58,37,Innis Gaines,Green Bay Packers,S,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
59,37,Jon Feliciano,New York Giants,C,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
60,37,Demetrius Taylor,Detroit Lions,DL,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
61,37,Christian Barmore,New England Patriots,DL,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
62,37,Tyler Larsen,Washington Commanders,C,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
63,37,C.J. Goodwin,Dallas Cowboys,CB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
64,37,Zayne Anderson,Kansas City Chiefs,DB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
65,37,Nick Niemann,Los Angeles Chargers,LB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
66,37,Rashid Shaheed,New Orleans Saints,WR,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
67,37,Jaylen Watson,Kansas City Chiefs,CB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
68,37,T.J. Watt,Pittsburgh Steelers,LB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
69,37,Kevin Dotson,Pittsburgh Steelers,OL,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
70,37,Kyle Allen,Houston Texans,QB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
71,37,Jalen Reagor,Minnesota Vikings,WR,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
72,37,Kenneth Walker III,Seattle Seahawks,RB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
73,37,Tom Brady,Tampa Bay Buccaneers,QB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
74,37,Quincy Wilson,Pittsburgh Steelers,CB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
75,37,Isaiah Hodgins,New York Giants,WR,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
76,37,Kenneth Gainwell,Philadelphia Eagles,RB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
77,37,Ifeadi Odenigbo,Tampa Bay Buccaneers,DE,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
78,37,Cethan Carter,Miami Dolphins,TE,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
79,37,Jameis Winston,New Orleans Saints,QB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
80,37,Maurice Alexander,Detroit Lions,WR,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
81,37,K.J. Britt,Tampa Bay Buccaneers,LB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
82,37,Jamien Sherwood,New York Jets,LB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
83,37,Jamel Dean,Tampa Bay Buccaneers,CB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
84,37,Keandre Jones,Cincinnati Bengals,LB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
85,37,Kion Smith,Miami Dolphins,T,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
86,37,Qadree Ollison,Dallas Cowboys,RB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
87,37,Sam Tecklenburg,Carolina Panthers,C,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
