,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,Las Vegas,W 24-19,Home,1-0,1-0,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
1,09/15,Kansas City,L 24-27,Away,1-1,1-1,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
2,09/25,Jacksonville,4:05 pm,Home,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
3,10/02,Houston,1:00 pm,Away,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
4,10/09,Cleveland,1:00 pm,Away,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
5,10/17,Denver,8:15 pm,Home,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
6,10/23,Seattle,4:25 pm,Home,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
7,11/06,Atlanta,1:00 pm,Away,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
8,11/13,San Francisco,8:20 pm,Away,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
9,11/20,Kansas City,4:25 pm,Home,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
10,11/27,Arizona,4:05 pm,Away,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
11,12/04,Las Vegas,4:25 pm,Away,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
12,12/11,Miami,4:05 pm,Home,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
13,12/18,Tennessee,4:25 pm,Home,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
14,12/26,Indianapolis,8:15 pm,Away,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
15,01/01,LA Rams,8:20 pm,Home,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
16,01/08,Denver,12:00 pm,Away,,,2022-09-22 17:54:41.166750,/nfl/team/los-angeles-chargers/
