,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Houston,T 20-20,Away,0-0-1,0-0-1,-7.0,Un 46.0,-293,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
1,09/18,Jacksonville,L 0-24,Away,0-1-1,0-1-1,-3.0,Un 43.5,-153,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
2,09/25,Kansas City,W 20-17,Home,1-1-1,0-1-1,4.5,Un 51.0,185,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
3,10/02,Tennessee,1:00 pm,Home,,,-3.0,42.5,-180,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
4,10/06,Denver,8:15 pm,Away,,,3.0,0,135,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
5,10/16,Jacksonville,1:00 pm,Home,,,-9.5,0,-315,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
6,10/23,Tennessee,1:00 pm,Away,,,1.5,0,-110,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
7,10/30,Washington,4:25 pm,Home,,,-5.0,0,-230,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
8,11/06,New England,1:00 pm,Away,,,2.5,0,-110,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
9,11/13,Las Vegas,4:05 pm,Away,,,1.0,0,110,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
10,11/20,Philadelphia,1:00 pm,Home,,,-2.5,0,-145,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
11,11/28,Pittsburgh,8:15 pm,Home,,,-4.5,0,-205,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
12,12/04,Dallas,8:20 pm,Away,,,3.5,0,115,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
13,12/18,Minnesota,12:00 pm,Away,,,1.5,0,-110,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
14,12/26,LA Chargers,8:15 pm,Home,,,-2.0,0,100,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
15,01/01,NY Giants,1:00 pm,Away,,,-3.0,0,-145,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
16,01/08,Houston,12:00 pm,Home,,,-10.0,0,-540,2022-09-26 17:23:19.995814,/nfl/team/indianapolis-colts/
