,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,LA Chargers,L 19-24,Away,0-1,0-1,3.5,Un 52.5,163,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
1,09/18,Arizona,L 23-29,Home,0-2,0-1,-5.5,Pu 52.0,-240,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
2,09/25,Tennessee,L 22-24,Away,0-3,0-1,-2.0,Ov 45.5,-130,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
3,10/02,Denver,W 32-23,Home,1-3,1-1,-2.5,Ov 45.5,-140,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
4,10/10,Kansas City,8:15 pm,Away,,,7.0,51.0,265,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
5,10/23,Houston,4:05 pm,Home,,,-9.0,0,-435,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
6,10/30,New Orleans,1:00 pm,Away,,,2.5,0,-110,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
7,11/06,Jacksonville,1:00 pm,Away,,,-3.5,0,-145,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
8,11/13,Indianapolis,4:05 pm,Home,,,-1.0,0,-130,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
9,11/20,Denver,4:05 pm,Away,,,4.5,0,130,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
10,11/27,Seattle,4:05 pm,Away,,,-1.0,0,-130,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
11,12/04,LA Chargers,4:25 pm,Home,,,1.5,0,-110,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
12,12/08,LA Rams,8:15 pm,Away,,,6.5,0,160,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
13,12/18,New England,8:20 pm,Home,,,-2.0,0,-150,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
14,12/24,Pittsburgh,8:15 pm,Away,,,1.5,0,-130,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
15,01/01,San Francisco,4:05 pm,Home,,,-1.5,0,-130,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
16,01/08,Kansas City,12:00 pm,Home,,,2.0,0,110,2022-10-05 16:59:54.849244,/nfl/team/las-vegas-raiders/
