,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,San Francisco,W 19-10,Home,1-0,0-0,6.5,Un 38.5,202,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
1,09/18,Green Bay,L 10-27,Away,1-1,0-1,10.0,Un 42.0,355,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
2,09/25,Houston,W 23-20,Home,2-1,0-1,-3.0,Ov 39.5,-165,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
3,10/02,NY Giants,L 12-20,Away,2-2,0-1,3.0,Un 39.0,129,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
4,10/09,Minnesota,L 22-29,Away,2-3,0-2,8.5,Ov 43.5,310,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
5,10/13,Washington,L 7-12,Home,2-4,0-2,1.0,Un 38.5,109,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
6,10/24,New England,W 33-14,Away,3-4,0-2,8.5,Ov 40.0,320,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
7,10/30,Dallas,L 29-49,Away,3-5,0-2,9.5,Ov 43.0,357,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
8,11/06,Miami,L 32-35,Home,3-6,0-2,4.0,Ov 46.0,166,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
9,11/13,Detroit,L 30-31,Home,3-7,0-3,-3.0,Ov 48.5,-148,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
10,11/20,Atlanta,L 24-27,Away,3-8,0-3,2.5,Ov 48.0,115,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
11,11/27,NY Jets,L 10-31,Away,3-9,0-3,8.0,Ov 36.5,287,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
12,12/04,Green Bay,L 19-28,Home,3-10,0-4,3.5,Ov 44.5,160,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
13,12/18,Philadelphia,L 20-25,Home,3-11,0-4,8.5,Un 47.5,323,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
14,12/24,Buffalo,L 13-35,Home,3-12,0-4,8.0,Ov 40.5,280,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
15,01/01,Detroit,L 10-41,Away,3-13,0-5,4.0,Un 52.5,185,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
16,01/08,Minnesota,L 13-29,Home,3-14,0-6,6.5,Un 42.5,235,2023-01-14 19:03:39.385574,/nfl/team/chicago-bears/
