,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/08,Buffalo,L 10-31,Home,0-1,0-0,2.0,Un 51.5,107,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
1,09/18,Atlanta,W 31-27,Home,1-1,0-0,-10.5,Ov 46.0,-500,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
2,09/25,Arizona,W 20-12,Away,2-1,1-0,-3.5,Un 49.0,-180,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
3,10/03,San Francisco,L 9-24,Away,2-2,1-1,2.0,Un 42.0,110,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
4,10/09,Dallas,L 10-22,Home,2-3,1-1,-5.0,Un 41.5,-220,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
5,10/16,Carolina,W 24-10,Home,3-3,1-1,-10.0,Un 41.0,-425,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
6,10/30,San Francisco,L 14-31,Home,3-4,1-2,-1.0,Ov 42.5,-120,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
7,11/06,Tampa Bay,L 13-16,Away,3-5,1-2,3.0,Un 43.0,135,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
8,11/13,Arizona,L 17-27,Home,3-6,1-3,-3.5,Ov 38.0,-179,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
9,11/20,New Orleans,L 20-27,Away,3-7,1-3,2.5,Ov 39.5,115,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
10,11/27,Kansas City,L 10-26,Away,3-8,1-3,16.0,Un 42.0,810,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
11,12/04,Seattle,4:05 pm,Home,,,7.5,41.0,286,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
12,12/08,Las Vegas,8:15 pm,Home,,,5.5,43.0,175,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
13,12/19,Green Bay,8:15 pm,Away,,,1.5,0,-110,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
14,12/25,Denver,4:30 pm,Home,,,-2.5,49.5,-144,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
15,01/01,LA Chargers,8:20 pm,Away,,,1.5,0,110,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
16,01/08,Seattle,12:00 pm,Away,,,-5.5,0,-245,2022-11-30 02:28:40.116563,/nfl/team/los-angeles-rams/
