,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,NY Giants,L 20-21,Home,0-1,0-0,-5.5,Un 44.0,-240,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
1,09/19,Buffalo,L 7-41,Away,0-2,0-0,+10.0,Ov 47.5,355,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
2,09/25,Las Vegas,W 24-22,Home,1-2,0-0,+2.0,Ov 45.5,117,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
3,10/02,Indianapolis,W 24-17,Away,2-2,1-0,+4.0,Un 43.0,180,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
4,10/09,Washington,W 21-17,Away,3-2,1-0,-0.5,Un 43.0,-110,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
5,10/23,Indianapolis,W 19-10,Home,4-2,2-0,-2.5,Un 43.0,-145,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
6,10/30,Houston,W 17-10,Away,5-2,3-0,-1.0,Un 39.5,-120,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
7,11/06,Kansas City,L 17-20,Away,5-3,3-0,+14.0,Un 45.0,575,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
8,11/13,Denver,W 17-10,Home,6-3,3-0,-2.5,Un 39.5,-133,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
9,11/17,Green Bay,W 27-17,Away,7-3,3-0,+3.0,Ov 40.5,155,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
10,11/27,Cincinnati,L 16-20,Home,7-4,3-0,(Pick),Un 42.0,-108,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
11,12/04,Philadelphia,L 10-35,Away,7-5,3-0,+4.5,Ov 44.5,190,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
12,12/11,Jacksonville,L 22-36,Home,7-6,3-1,-3.0,Ov 41.5,-180,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
13,12/18,LA Chargers,L 14-17,Away,7-7,3-1,+3.0,Un 47.0,132,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
14,12/24,Houston,L 14-19,Home,7-8,3-2,-3.0,Un 34.0,-169,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
15,12/29,Dallas,L 13-27,Home,7-9,3-2,+13.5,Un 40.5,559,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
16,01/07,Jacksonville,L 16-20,Away,7-10,3-3,+6.0,Un 39.5,230,2023-01-08 14:30:35.000823,/nfl/team/tennessee-titans/
