,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Tennessee,W 21-20,Away,1-0,0-0,5.5,Un 44.0,200,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
1,09/18,Carolina,W 19-16,Home,2-0,0-0,1.0,Un 43.5,-103,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
2,09/26,Dallas,L 16-23,Home,2-1,0-1,-1.0,Ov 38.5,-117,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
3,10/02,Chicago,W 20-12,Home,3-1,0-1,-3.0,Un 39.0,-149,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
4,10/09,Green Bay,W 27-22,Neutral,4-1,0-1,8.5,Ov 42.0,315,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
5,10/16,Baltimore,W 24-20,Home,5-1,0-1,5.5,Un 45.5,200,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
6,10/23,Jacksonville,W 23-17,Away,6-1,0-1,3.0,Un 44.0,149,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
7,10/30,Seattle,L 13-27,Away,6-2,0-1,3.0,Un 44.5,145,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
8,11/13,Houston,W 24-16,Home,7-2,0-1,-4.5,Un 41.5,-220,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
9,11/20,Detroit,L 18-31,Home,7-3,0-1,-3.0,Ov 44.5,-162,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
10,11/24,Dallas,L 20-28,Away,7-4,0-2,10.0,Ov 45.5,363,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
11,12/04,Washington,T 20-20,Home,7-4-1,0-2-1,2.5,Pu 40.0,114,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
12,12/11,Philadelphia,L 22-48,Home,7-5-1,0-3-1,7.0,Ov 44.5,260,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
13,12/18,Washington,W 20-12,Away,8-5-1,1-3-1,4.0,Un 40.5,180,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
14,12/24,Minnesota,L 24-27,Away,8-6-1,1-3-1,4.5,Ov 48.0,188,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
15,01/01,Indianapolis,W 38-10,Home,9-6-1,1-3-1,-5.5,Ov 38.5,-228,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
16,01/08,Philadelphia,L 16-22,Away,9-7-1,1-4-1,16.5,Un 42.5,889,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
17,01/15,Minnesota,4:30 pm,Away,,,3.0,48.5,138,2023-01-14 19:03:51.225056,/nfl/team/new-york-giants/
