,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Jacksonville,W 28-22,Home,1-0,0-0,-3.0,Ov 43.0,-157,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
1,09/18,Detroit,L 27-36,Away,1-1,0-0,(Pick),Ov 48.0,-115,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
2,09/25,Philadelphia,L 8-24,Home,1-2,0-1,+5.5,Un 47.5,200,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
3,10/02,Dallas,L 10-25,Away,1-3,0-2,+3.0,Un 41.0,140,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
4,10/09,Tennessee,L 17-21,Home,1-4,0-2,+0.5,Un 43.0,-110,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
5,10/13,Chicago,W 12-7,Away,2-4,0-2,-1.0,Un 38.5,-120,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
6,10/23,Green Bay,W 23-21,Home,3-4,0-2,+4.0,Ov 41.5,175,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
7,10/30,Indianapolis,W 17-16,Away,4-4,0-2,+3.0,Un 40.0,130,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
8,11/06,Minnesota,L 17-20,Home,4-5,0-2,+3.0,Un 43.0,145,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
9,11/14,Philadelphia,W 32-21,Away,5-5,1-2,+11.0,Ov 43.0,420,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
10,11/20,Houston,W 23-10,Away,6-5,1-2,-3.0,Un 41.0,-152,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
11,11/27,Atlanta,W 19-13,Home,7-5,1-2,-3.5,Un 40.0,-183,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
12,12/04,NY Giants,T 20-20,Away,7-5-1,1-2-1,-2.5,Pu 40.0,-126,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
13,12/18,NY Giants,L 12-20,Home,7-6-1,1-3-1,-4.0,Un 40.5,-202,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
14,12/24,San Francisco,L 20-37,Away,7-7-1,1-3-1,+6.0,Ov 37.0,230,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
15,01/01,Cleveland,L 10-24,Home,7-8-1,1-3-1,-1.5,Un 41.0,-115,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
16,01/08,Dallas,W 26-6,Home,8-8-1,2-3-1,+7.5,Un 41.0,280,2023-01-14 19:03:56.448288,/nfl/team/washington-commanders/
