,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,LA Chargers,L 19-24,Away,0-1,0-1,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
1,09/18,Arizona,L 23-29,Home,0-2,0-1,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
2,09/25,Tennessee,1:00 pm,Away,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
3,10/02,Denver,4:25 pm,Home,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
4,10/10,Kansas City,8:15 pm,Away,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
5,10/23,Houston,4:05 pm,Home,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
6,10/30,New Orleans,1:00 pm,Away,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
7,11/06,Jacksonville,1:00 pm,Away,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
8,11/13,Indianapolis,4:05 pm,Home,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
9,11/20,Denver,4:05 pm,Away,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
10,11/27,Seattle,4:05 pm,Away,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
11,12/04,LA Chargers,4:25 pm,Home,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
12,12/08,LA Rams,8:15 pm,Away,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
13,12/18,New England,8:20 pm,Home,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
14,12/24,Pittsburgh,8:15 pm,Away,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
15,01/01,San Francisco,4:05 pm,Home,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
16,01/08,Kansas City,12:00 pm,Home,,,2022-09-22 17:54:39.785695,/nfl/team/las-vegas-raiders/
