,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/12,Denver,W 17-16,Home,1-0,0-0,6.0,Un 43.5,230,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
1,09/18,San Francisco,L 7-27,Away,1-1,0-1,8.5,Un 39.5,325,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
2,09/25,Atlanta,L 23-27,Home,1-2,0-1,-1.0,Ov 43.5,-116,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
3,10/02,Detroit,W 48-45,Away,2-2,0-1,3.5,Ov 48.5,150,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
4,10/09,New Orleans,L 32-39,Away,2-3,0-1,5.5,Ov 45.0,190,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
5,10/16,Arizona,W 19-9,Home,3-3,1-1,2.5,Un 50.5,115,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
6,10/23,LA Chargers,W 37-23,Away,4-3,1-1,4.5,Ov 51.0,195,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
7,10/30,NY Giants,W 27-13,Home,5-3,1-1,-3.0,Un 44.5,-170,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
8,11/06,Arizona,W 31-21,Away,6-3,2-1,2.0,Ov 49.0,118,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
9,11/13,Tampa Bay,L 16-21,Neutral,6-4,2-1,2.5,Un 45.0,125,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
10,11/27,Las Vegas,L 34-40,Home,6-5,2-1,-4.0,Ov 48.0,-194,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
11,12/04,LA Rams,W 27-23,Away,7-5,3-1,-6.5,Ov 41.0,-305,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
12,12/11,Carolina,L 24-30,Home,7-6,3-1,-4.0,Ov 44.0,-188,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
13,12/15,San Francisco,L 13-21,Home,7-7,3-2,3.0,Un 42.5,152,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
14,12/24,Kansas City,L 10-24,Away,7-8,3-2,10.0,Un 50.5,365,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
15,01/01,NY Jets,4:05 pm,Home,,,1.5,43.5,109,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
16,01/08,LA Rams,12:00 pm,Home,,,-3.0,42.5,-165,2023-01-01 15:49:31.367569,/nfl/team/seattle-seahawks/
